,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,TOT,22,24,6,-8,1,0,0,0,4,1,0,3.6,37,3.6,37,11:11,47,11,7,6
2,2008-09,BOS,22,6,0,-3,0,0,0,0,1,0,0,0.0,6,0.0,6,9:45,11,1,2,1
3,2008-09,TBL,22,18,6,-5,1,0,0,0,3,1,0,4.5,31,4.5,31,11:40,36,10,5,5
