,season,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,57,54,-11,8,5,0,1,15,6,0,9.5,,9.5,,16:11,,,,
2,2005-06,73,50,-13,17,10,0,0,14,12,1,13.9,,13.9,,17:36,,,,
3,2006-07,71,26,-19,7,3,0,2,13,9,0,6.1,,6.1,,16:13,,,,
4,2007-08,82,34,-9,19,7,0,3,19,15,1,10.2,439,10.2,439,19:22,37,18,48,60
5,2008-09,82,39,6,18,4,1,3,28,7,0,10.5,392,10.5,392,16:50,49,15,41,44
6,2010-11,56,22,5,15,1,0,1,4,2,0,11.9,212,11.9,212,12:51,39,6,19,25
