,season,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,1152,905,56.0,5.1,891,704,55.9,5.0,6.8,90.5,97.3,51.9,48.1
2,2008-09,1200,919,56.6,3.7,903,722,55.6,2.3,8.8,91.2,100.,62.9,37.1
3,2010-11,736,577,56.1,4.6,547,433,55.8,2.9,6.7,93.0,99.7,50.3,49.7
