,season,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,1219,1189,50.6,0.8,930,962,49.2,0.0,9.8,93.1,102.,52.5,47.5
2,2008-09,868,928,48.3,0.5,627,724,46.4,-1.2,10.2,91.2,101.,56.4,43.6
3,2009-10,959,1077,47.1,1.1,709,805,46.8,-0.3,11.6,90.9,102.,47.4,52.6
4,2010-11,1219,1001,54.9,3.8,902,769,54.0,3.0,10.6,93.1,103.,52.6,47.4
5,2011-12,712,530,57.3,5.6,517,387,57.2,5.4,9.7,87.6,97.3,57.5,42.5
6,2012-13,721,547,56.9,0.9,516,405,56.0,0.8,8.6,90.1,98.7,60.8,39.2
7,2013-14,481,446,51.9,-0.5,368,339,52.1,-1.3,7.4,91.0,98.4,55.1,44.9
