,gm_result,age,ith_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,ShotHand,Position,Url,Name,response_assists,response_goal,response_points,Year,Height,Weight,Drafts,draft_years
0,0.7,22.309,3.9,0.7,0.1,0.1,-0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,17.5,11.582,,,0.0,0.0,L,L,a/agostke01,Kenny Agostino,0.0,1.0,1.0,2014.0,183,202,140.0,2010.0
1,0.8,22.394,3.9,0.7,0.1,0.1,-0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,16.4,10.74,,,0.0,0.0,L,L,a/agostke01,Kenny Agostino,1.0,1.0,2.0,2014.0,183,202,140.0,2010.0
2,0.7,22.48,3.9,0.7,0.1,0.1,-0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,15.5,9.989,,,0.0,0.0,L,L,a/agostke01,Kenny Agostino,1.0,1.0,2.0,2014.0,183,202,140.0,2010.0
3,0.7,21.246,5.5,0.3,0.1,0.4,0.5,0.2,0.0,0.1,0.0,,,,14.9,11.888,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,1.0,1.0,2.0,2013.0,188,195,20.0,2010.0
4,0.7,21.252,6.5,0.4,0.1,0.4,0.6,0.2,0.0,0.1,0.0,,,,15.1,12.048,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,1.0,1.0,2.0,2013.0,188,195,20.0,2010.0
5,0.7,21.259,7.5,0.5,0.1,0.5,0.7,0.2,0.0,0.1,0.0,,,,15.2,12.228,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,2.0,1.0,3.0,2013.0,188,195,20.0,2010.0
6,0.8,21.265,8.5,0.4,0.1,0.5,0.6,0.2,0.0,0.1,0.0,,,,15.8,12.775,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,3.0,1.0,4.0,2013.0,188,195,20.0,2010.0
7,0.8,21.271,9.5,0.4,0.2,0.5,0.7,0.2,0.1,0.1,0.0,,,,15.8,12.555,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,4.0,0.0,4.0,2013.0,188,195,20.0,2010.0
8,0.8,21.277,10.5,0.4,0.1,0.5,0.7,0.2,0.1,0.0,0.0,,,,15.9,12.655,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,3.0,0.0,3.0,2013.0,188,195,20.0,2010.0
9,0.9,21.283,11.5,0.5,0.1,0.5,0.7,0.4,0.1,0.0,0.0,,,,16.1,12.577,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,4.0,0.0,4.0,2013.0,188,195,20.0,2010.0
10,1.0,21.29,12.5,0.5,0.1,0.5,0.6,0.4,0.1,0.0,0.0,,,,16.1,12.569,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,3.0,0.0,3.0,2013.0,188,195,20.0,2010.0
11,1.0,21.296,13.5,0.6,0.1,0.5,0.6,0.4,0.1,0.0,0.0,,,,16.7,12.962,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,2.0,1.0,3.0,2013.0,188,195,20.0,2010.0
12,1.0,21.302,14.5,0.7,0.1,0.4,0.5,0.4,0.1,0.0,0.0,,,,16.0,12.326,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,1.0,1.0,2.0,2013.0,188,195,20.0,2010.0
13,1.0,21.31,15.5,0.7,0.2,0.3,0.2,0.2,0.2,0.0,0.0,,,,15.7,12.007,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,2.0,1.0,3.0,2013.0,188,195,20.0,2010.0
14,1.0,21.319,16.5,0.6,0.2,0.3,0.1,0.4,0.2,0.0,0.0,,,,15.9,11.935,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,1.0,1.0,2.0,2013.0,188,195,20.0,2010.0
15,1.0,21.328,17.5,0.5,0.2,0.4,0.2,0.4,0.2,0.0,0.0,,,,16.3,11.68,,,0.0,0.0,R,R,b/bennebe01,Beau Bennett,2.0,1.0,3.0,2013.0,188,195,20.0,2010.0
