"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"soderca8520122013","Carl.Soderberg","C","BOS",6,20122013,26,"1.025","1.008",0,3,0,0,2,1,0,0,0,0,0,0,0,14.89,7.05,67.87
"sourash7620122013","Sheldon.Souray","D","ANA",43,20122013,36,"4.000","3.667",0,0,1,2,21,12,15,2,3,0,1,2,0.76,79.02,110.48,41.7
"spalini8820122013","Nick.Spaling","LC","NSH",45,20122013,23,"1.100","1.050",0,1,1,0,1,0,0,0,0,1,0,0,0,9.36,214.12,4.19
"spezzja8320122013","Jason.Spezza","C","OTT",5,20122013,29,"8.000","7.000",0,0,0,1,3,0,3,0,0,0,0,0,0,12.53,8.97,58.27
"spoonry9220122013","Ryan.Spooner","CL","BOS",4,20122013,20,"0.740","0.760",0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,12.91,34.48
"spurgja8920122013","Jared.Spurgeon","D","MIN",37,20122013,22,"0.535","0.527",1,8,2,1,24,11,11,1,5,1,0,1,0.51,118.81,76.72,60.76
"staaler8420122013","Eric.Staal","CL","CAR",48,20122013,27,"8.500","8.250",2,6,5,1,37,19,18,1,4,3,3,2,-0.37,164.03,96.04,63.07
"staalja9020122013","Jared.Staal","R","CAR",2,20122013,22,"0.575","0.567",0,1,0,0,0,0,0,0,0,0,0,0,0,1.38,8.79,13.52
"staaljo8820122013","Jordan.Staal","C","CAR",48,20122013,24,"4.500","4.000",2,3,4,2,16,11,2,0,3,2,3,0,-1.71,105.03,155.03,40.39
"staalma8720122013","Marc.Staal","D","NYR",21,20122013,25,"3.775","3.975",2,0,1,1,3,4,4,0,0,1,0,0,0,21.4,103.67,17.11
"staffdr8520122013","Drew.Stafford","RC","BUF",45,20122013,26,"4.000","4.000",3,5,1,1,24,7,5,0,1,1,1,1,0,97.59,156.63,38.39
"stajama8320122013","Matt.Stajan","C","CGY",42,20122013,28,"2.500","3.500",0,0,0,0,1,0,0,0,0,0,0,0,0,9.11,212.88,4.1
"stalbvi8620122013","Viktor.Stalberg","RL","CHI",46,20122013,26,"0.850","0.875",2,1,2,0,9,5,1,0,1,0,2,0,-1.2,99.59,156.73,38.85
