"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"abbotsp8820132014","Spencer.Abbott","R","TOR",1,20132014,25,"0.650","0.650",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,7.46,0
"abdelju8720132014","Justin.Abdelkader","RL","DET",68,20132014,26,"1.550","1.800",3,3,2,0,4,5,0,0,0,0,1,0,-1.05,57.25,343.22,14.3
"actonwi8720132014","Will.Acton","C","EDM",29,20132014,26,"0.680","0.665",0,0,0,0,0,0,0,0,0,0,1,0,-47.06,1.27,158.78,0.8
"adamscr7720132014","Craig.Adams","C","PIT",82,20132014,36,"0.550","0.700",0,0,0,0,0,1,0,0,0,0,1,0,-23.45,2.56,432.32,0.59
"adamxlu9020132014","Luke.Adam","L","BUF",12,20132014,23,"0.735","0.735",0,2,0,0,0,1,0,0,0,0,0,0,0,7.14,59.67,10.69
"agostke9220132014","Kenny.Agostino","L","CGY",7,20132014,21,"0.900","0.845",0,0,0,0,0,0,0,0,1,0,0,0,0,2.78,35.33,7.3
"akesoja9020132014","Jason.Akeson","R","PHI",1,20132014,23,"0.740","0.715",0,0,0,0,0,0,1,0,0,0,0,0,0,0.45,2.36,16.02
"alberan8120132014","Andrew.Alberts","D","VAN",10,20132014,32,"0.600","0.600",0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,46.74,0.34
"alberjo8920132014","John.Albert","C","WPG",9,20132014,24,"0.585","0.585",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,42.72,0
"alfreda7220132014","Daniel.Alfredsson","R","DET",66,20132014,40,"3.500","3.500",4,2,7,7,45,17,29,1,8,3,0,0,0,216.04,152.32,58.65
"allenbr8020132014","Bryan.Allen","D","ANA",68,20132014,33,"3.500","3.500",0,0,0,0,0,0,0,0,0,0,1,0,-13.11,4.58,363.43,1.24
"allenco9020132014","Conor.Allen","D","NYR",3,20132014,23,"0.925","0.925",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,14.47,0
"almquad9120132014","Adam.Almquist","D","DET",1,20132014,22,"0.620","0.600",0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,1.5,57.85
"alzneka8820132014","Karl.Alzner","D","WSH",81,20132014,24,"2.800","2.800",0,0,0,1,0,0,0,0,0,0,0,0,0,5.29,440.02,1.19
"anderjo8920132014","Joakim.Andersson","C","DET",63,20132014,24,"0.700","0.733",0,2,0,0,2,0,0,0,0,1,1,0,-3.84,15.64,329.76,4.53
"anisiar8820132014","Artem.Anisimov","C","CBJ",78,20132014,25,"2.750","3.283",0,13,1,2,29,15,9,1,2,4,0,1,0.38,157.13,281.57,35.82
"archida9020132014","Darren.Archibald","L","VAN",15,20132014,23,"0.660","0.660",0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,88.63,1.2
"arcobma8820132014","Mark.Arcobello","CR","EDM",40,20132014,25,"0.600","0.600",0,0,0,2,6,1,1,0,1,0,0,0,0,45.24,190.32,19.21
"arnolbi9220132014","Bill.Arnold","C","CGY",1,20132014,21,"0.900","0.887",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.62,0
"ashamar7820132014","Arron.Asham","R","NYR",6,20132014,35,"1.000","1.000",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,29.43,0
"ashtoca9120132014","Carter.Ashton","L","TOR",32,20132014,22,"0.810","0.840",0,0,0,0,0,0,0,0,1,0,0,0,0,1.2,172.76,0.69
"atkinca8920132014","Cam.Atkinson","R","CBJ",75,20132014,24,"1.125","1.150",1,8,5,0,35,10,10,0,5,3,1,1,0,163.54,259.84,38.63
"aucoike7820132014","Keith.Aucoin","C","STL",2,20132014,34,"0.625","0.625",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.57,10.63
"aulieke8920132014","Keith.Aulie","D","T.B",15,20132014,24,"0.975","0.975",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,81.85,0
"backeda8420132014","David.Backes","RC","STL",74,20132014,29,"4.750","4.500",12,5,5,1,18,21,6,0,3,0,3,1,-0.61,196.9,196.44,50.06
"backlmi8920132014","Mikael.Backlund","C","CGY",71,20132014,24,"1.500","1.500",1,5,3,3,16,11,3,0,7,1,3,3,0,137.51,221.88,38.26
"backsni8720132014","Nicklas.Backstrom","C","WSH",81,20132014,25,"6.000","6.700",3,11,15,23,47,15,20,0,9,4,5,2,-0.6,300.28,145.03,67.43
"baertsv9220132014","Sven.Baertschi","LR","CGY",23,20132014,20,"0.925","0.894",0,2,2,1,2,1,0,1,3,0,0,0,0,27.33,99.62,21.53
"bailejo8920132014","Josh.Bailey","RL","NYI",76,20132014,23,"2.200","3.300",1,5,5,3,14,3,8,0,5,0,0,1,0.47,127.98,289.54,30.65
"ballake8220132014","Keith.Ballard","D","MIN",44,20132014,30,"1.000","1.500",0,2,2,0,6,0,6,0,0,0,1,0,-2.06,29.18,199.05,12.79
"barbema9020132014","Mark.Barberio","D","T.B",49,20132014,23,"0.605","0.605",0,0,0,0,1,0,1,0,3,0,1,0,-4.52,13.28,229.51,5.47
"barchkr8020132014","Krys.Barch","L","FLA",55,20132014,33,"0.750","0.750",0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,318.83,0.25
"barkoal9520132014","Aleksander.Barkov","C","FLA",54,20132014,18,"0.925","0.925",1,8,2,1,9,3,7,1,4,2,0,0,0,139.03,159.53,46.57
"barrity9120132014","Tyson.Barrie","D","COL",62,20132014,22,"0.840","0.715",1,7,1,5,22,7,14,1,4,1,2,1,-0.35,170.47,160.92,51.44
"bartkma8820132014","Matt.Bartkowski","D","BOS",61,20132014,25,"0.650","0.650",0,0,0,0,1,0,0,0,0,0,0,1,5.48,10.94,270.73,3.88
"bartlvi8820132014","Victor.Bartley","D","NSH",48,20132014,25,"0.600","0.667",0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,235.16,1.14
"bassxco8720132014","Cody.Bass","R","CBJ",1,20132014,26,"0.600","0.600",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6.95,0
"beaglja8520132014","Jay.Beagle","RC","WSH",61,20132014,27,"1.000","0.900",0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,322.12,2.01
"beaucfr8020132014","Francois.Beauchemin","D","ANA",70,20132014,33,"3.500","3.500",2,4,0,2,16,7,19,2,3,1,1,0,-0.51,116.73,287.81,28.86
"beaulna9220132014","Nathan.Beaulieu","D","MTL",16,20132014,20,"0.925","0.925",0,1,0,0,3,1,3,0,0,1,0,0,0,18.69,52,26.44
"beckxta9120132014","Taylor.Beck","RL","NSH",7,20132014,22,"0.600","0.660",0,0,0,0,1,1,0,0,0,0,0,0,0,4.66,25.82,15.29
"belesma8820132014","Matt.Beleskey","L","ANA",55,20132014,25,"1.300","1.350",3,4,2,2,5,6,1,1,2,1,1,0,-0.87,68.79,238.94,22.35
"bellebr8820132014","Brett.Bellemore","D","CAR",62,20132014,25,"0.600","0.600",0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,353.12,2
"belovan8620132014","Anton.Belov","D","EDM",56,20132014,27,"0.925","0.925",4,0,1,1,11,5,12,1,2,2,1,0,-0.83,72.22,242.7,22.93
"bennebe9120132014","Beau.Bennett","LR","PIT",21,20132014,21,"0.900","0.900",1,0,0,0,3,3,1,0,1,0,0,1,2.58,23.23,75.65,23.49
"bennxja8920132014","Jamie.Benn","L","DAL",80,20132014,24,"5.000","5.250",10,16,7,6,50,28,22,2,13,7,4,1,-0.62,291.52,184.97,61.18
"bennxjo8720132014","Jordie.Benn","D","DAL",77,20132014,26,"0.600","0.700",0,0,0,1,7,2,1,2,1,1,1,0,-1.35,44.38,403.43,9.91
"benoian8420132014","Andre.Benoit","D","COL",77,20132014,29,"0.900","0.900",1,3,3,4,32,7,12,4,1,1,2,2,0,183.03,216.66,45.79
