Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Cody Franson,20132014,TOR,4,0,0,1,2,7,6,1,1,7
James van Riemsdyk,20132014,TOR,21,0,0,9,0,3,2,0,3,7
James Reimer,20132014,TOR,34,0,0,0,0,0,0,1,2,14
Tyler Bozak,20132014,TOR,42,0,0,4,0,1,2,0,2,7
Phil Kessel,20132014,TOR,81,0,2,5,1,6,4,0,0,7
Josh Gorges,20132014,MTL,26,0,0,0,0,1,0,0,0,0
Carey Price,20132014,MTL,31,0,0,0,0,0,1,0,4,24
Andrei Markov,20132014,MTL,79,0,0,2,1,7,10,0,2,13
Nicklas Backstrom,20132014,WSH,19,0,1,5,2,13,23,0,1,9
Troy Brouwer,20132014,WSH,20,0,0,12,0,3,6,0,3,29
Mike Green,20132014,WSH,52,0,0,3,0,11,1,0,1,12
Braden Holtby,20132014,WSH,70,0,0,0,0,0,0,0,3,28
Mikhail Grabovski,20132014,WSH,84,0,0,3,0,4,1,0,0,5
Niklas Hjalmarsson,20132014,CHI,4,0,0,0,0,0,0,0,0,0
Marcus Kruger,20132014,CHI,16,0,0,0,0,0,0,0,0,0
Joakim Nordstrom,20132014,CHI,42,0,0,0,0,0,0,0,0,0
Corey Crawford,20132014,CHI,50,0,0,0,0,0,1,0,1,28
Jonathan Toews,20132014,CHI,19,0,0,4,0,6,4,0,0,19
Johnny Oduya,20132014,CHI,27,0,0,0,0,0,0,0,0,1
Marian Hossa,20132014,CHI,81,0,0,4,0,5,3,0,2,8
Martin Erat,20132014,WSH,10,0,0,0,0,2,2,0,0,0
Eric Fehr,20132014,WSH,16,0,0,0,0,0,1,0,0,3
John Carlson,20132014,WSH,74,0,1,4,1,9,7,0,1,17
Nick Leddy,20132014,CHI,8,0,1,3,0,2,4,0,0,6
Brandon Saad,20132014,CHI,20,0,0,2,0,3,3,0,1,2
Andrew Shaw,20132014,CHI,65,0,0,5,0,2,2,0,1,17
Ondrej Pavelec,20132014,WPG,31,0,0,0,0,0,3,1,1,23
Dustin Byfuglien,20132014,WPG,33,0,0,8,0,9,7,1,0,5
Toby Enstrom,20132014,WPG,39,0,1,3,0,1,7,1,0,15
Devin Setoguchi,20132014,WPG,40,0,0,2,0,1,0,0,1,5
Mark Scheifele,20132014,WPG,55,0,0,1,0,2,1,0,0,6
Devan Dubnyk,20132014,EDM,40,0,0,0,0,0,0,0,3,19
Will Acton,20132014,EDM,41,0,0,0,0,0,0,0,0,0
Oscar Klefbom,20132014,EDM,77,0,0,0,0,1,1,0,0,4
Ales Hemsky,20132014,EDM,83,0,0,2,1,3,3,0,0,1
Jim Slater,20132014,WPG,19,0,0,0,0,0,0,0,0,0
Zach Bogosian,20132014,WPG,44,0,0,0,0,1,0,0,1,3
Michael Frolik,20132014,WPG,67,0,0,1,0,0,1,0,0,3
Justin Schultz,20132014,EDM,19,0,0,1,0,6,5,0,1,9
Boyd Gordon,20132014,EDM,27,0,0,1,0,0,2,0,0,0
EDM,64,0,1,3,0,2,0,0,0,2
Jacob Trouba,20132014,WPG,8,0,0,0,0,2,1,0,1,5
Jordan Eberle,20132014,EDM,14,0,0,7,1,8,4,0,1,7
Mark Arcobello,20132014,EDM,26,0,0,1,0,0,2,0,0,1
David Perron,20132014,EDM,57,0,1,7,1,2,2,0,1,4
Mason Raymond,20132014,TOR,12,0,0,6,0,2,3,2,1,7
Jonathan Bernier,20132014,TOR,45,0,0,0,0,0,1,1,2,25
Dave Bolland,20132014,TOR,63,0,0,0,0,1,0,0,0,1
Matt Read,20132014,PHI,24,0,0,0,0,1,1,0,0,4
Claude Giroux,20132014,PHI,28,0,0,7,0,11,19,0,0,9
Mark Streit,20132014,PHI,32,0,0,4,0,5,6,0,0,6
Steve Mason,20132014,PHI,35,0,0,0,0,0,0,0,0,44
Vincent Lecavalier,20132014,PHI,40,0,0,8,0,3,2,0,0,2
Nick Bonino,20132014,ANA,13,0,0,7,1,1,11,0,0,8
Francois Beauchemin,20132014,ANA,23,0,0,1,0,0,1,0,2,5
Viktor Fasth,20132014,ANA,30,0,0,0,0,0,0,0,0,1
Jakob Silfverberg,20132014,ANA,33,0,0,1,0,0,0,0,0,3
Matt Duchene,20132014,COL,9,1,0,4,1,6,5,0,0,9
Steve Downie,20132014,COL,17,0,0,1,0,1,0,1,0,2
Alex Tanguay,20132014,COL,40,0,0,0,0,0,2,0,0,2
Andre Benoit,20132014,COL,61,0,0,1,0,3,4,1,1,10
Ryan O'Reilly,20132014,COL,90,0,0,9,0,6,7,1,0,5
Andrew Cogliano,20132014,ANA,7,0,0,0,0,0,0,0,0,0
ANA,55,0,0,0,0,0,0,0,0,0
TJ Brodie,20132014,CGY,7,0,0,1,0,4,2,0,0,4
Mikael Backlund,20132014,CGY,11,0,0,5,0,3,3,0,1,6
Curtis Glencross,20132014,CGY,20,0,0,3,0,2,3,0,0,3
Karri Ramo,20132014,CGY,31,0,0,0,0,0,0,0,1,18
Michal Neuvirth,20132014,WSH,30,0,0,0,0,0,1,0,0,8
Joel Ward,20132014,WSH,42,0,0,6,1,1,2,0,0,4
Marcus Johansson,20132014,WSH,90,0,0,6,0,10,5,0,4,15
Matt Stajan,20132014,CGY,18,0,0,0,1,0,0,0,0,1
Jiri Hudler,20132014,CGY,24,0,0,2,0,8,3,0,2,8
CGY,54,0,1,1,0,0,0,0,0,3
Connor Carrick,20132014,WSH,58,0,0,0,0,0,0,0,0,0
Kevin Klein,20132014,NSH,8,0,0,0,0,0,0,0,0,0
Nick Spaling,20132014,NSH,13,0,0,3,0,2,1,0,0,2
Paul Gaustad,20132014,NSH,28,0,0,0,0,0,0,0,0,0
Carter Hutton,20132014,NSH,30,0,0,0,0,0,0,0,2,27
Alexander Steen,20132014,STL,20,0,0,7,0,6,4,0,3,11
Kevin Shattenkirk,20132014,STL,22,0,1,6,0,6,13,0,2,8
Chris Stewart,20132014,STL,25,0,0,3,0,1,2,0,0,8
Jaroslav Halak,20132014,STL,41,0,0,0,0,0,0,0,0,29
Vladimir Tarasenko,20132014,STL,91,0,0,5,0,1,1,0,1,4
Mike Fisher,20132014,NSH,12,0,0,4,0,5,2,0,3,12
Pekka Rinne,20132014,NSH,35,0,0,0,0,0,0,0,0,7
Roman Josi,20132014,NSH,59,0,1,1,0,5,5,0,2,8
Patrik Berglund,20132014,STL,21,0,0,2,0,0,2,0,0,5
Alex Pietrangelo,20132014,STL,27,0,0,2,1,7,7,0,1,9
David Backes,20132014,STL,42,0,2,8,0,5,1,0,2,10
T.J. Oshie,20132014,STL,74,0,0,4,1,6,3,0,2,13
Anze Kopitar,20132014,L.A,11,0,0,9,0,6,7,0,1,7
Justin Williams,20132014,L.A,14,0,0,4,0,1,2,1,1,4
Dustin Brown,20132014,L.A,23,0,0,1,0,2,1,1,2,8
Slava Voynov,20132014,L.A,26,0,0,1,1,7,4,1,0,6
Jonathan Quick,20132014,L.A,32,0,0,0,0,0,1,1,2,25
Charlie Coyle,20132014,MIN,3,0,0,2,0,1,0,0,0,9
Clayton Stoner,20132014,MIN,4,0,0,0,0,0,0,0,0,0
Jason Pominville,20132014,MIN,29,1,0,6,0,3,7,0,1,13
Niklas Backstrom,20132014,MIN,32,0,0,0,0,0,0,1,1,9
Mike Richards,20132014,L.A,10,0,1,3,1,3,4,1,0,4
Trevor Lewis,20132014,L.A,22,0,0,0,0,0,0,0,0,1
Robyn Regehr,20132014,L.A,44,0,0,0,0,0,0,0,0,1
Nino Niederreiter,20132014,MIN,22,0,0,2,0,2,2,0,0,5
Jonas Brodin,20132014,MIN,25,0,0,3,0,0,4,0,0,3
Jared Spurgeon,20132014,MIN,46,0,0,2,0,4,1,0,1,5
Mikael Granlund,20132014,MIN,64,0,0,2,0,4,6,0,0,7
Marc Staal,20132014,NYR,18,0,0,1,0,0,0,0,0,1
Jesper Fast,20132014,NYR,19,0,0,5,1,8,5,0,2,15
Derek Stepan,20132014,NYR,21,0,0,4,0,3,10,0,2,8
Henrik Lundqvist,20132014,NYR,30,0,0,0,0,0,2,0,3,25
Rick Nash,20132014,NYR,61,0,0,3,0,2,1,0,1,8
