Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Max Talbot,20112012,PHI,25,0,0,1,2,7,14,5,13,23
Ilya Bryzgalov,20112012,PHI,30,0,0,0,0,0,1,7,27,78
Andrej Meszaros,20112012,PHI,41,0,1,3,1,9,6,5,11,15
Daniel Briere,20112012,PHI,48,0,4,7,5,7,7,1,5,8
Jakub Voracek,20112012,PHI,93,1,1,15,3,7,7,1,6,7
Nathan Horton,20112012,BOS,18,1,0,8,2,8,3,1,5,6
Tim Thomas,20112012,BOS,30,0,0,0,0,0,1,7,36,92
Zdeno Chara,20112012,BOS,33,1,0,3,0,12,15,4,11,36
Dennis Seidenberg,20112012,BOS,44,0,1,4,0,3,5,7,21,26
David Krejci,20112012,BOS,46,0,3,17,4,12,11,1,2,9
Tomas Plekanec,20112012,MTL,14,0,0,8,1,10,7,3,3,6
Carey Price,20112012,MTL,31,0,0,0,0,0,2,10,27,77
Erik Cole,20112012,MTL,72,3,6,15,5,7,11,3,6,9
Hal Gill,20112012,MTL,75,0,0,0,0,2,4,1,1,13
P.K. Subban,20112012,MTL,76,0,1,1,3,7,8,8,15,26
Joffrey Lupul,20112012,TOR,19,1,4,10,4,15,10,3,3,12
James Reimer,20112012,TOR,34,0,0,0,0,0,0,4,18,41
Carl Gunnarsson,20112012,TOR,36,0,0,4,0,3,6,3,9,22
Tyler Bozak,20112012,TOR,42,2,2,10,2,10,8,1,9,13
Phil Kessel,20112012,TOR,81,1,1,23,5,15,11,2,3,9
Paul Martin,20112012,PIT,7,0,0,2,0,8,10,3,12,30
James Neal,20112012,PIT,18,1,8,13,3,12,13,2,6,14
Steve Sullivan,20112012,PIT,26,1,1,9,0,7,8,2,6,13
Marc-Andre Fleury,20112012,PIT,29,0,0,0,0,0,1,6,37,114
Evgeni Malkin,20112012,PIT,71,2,5,28,9,19,9,1,3,4
Alexandre Burrows,20112012,VAN,14,1,4,15,2,12,4,0,1,14
Daniel Sedin,20112012,VAN,22,0,4,16,1,12,8,0,5,6
Alexander Edler,20112012,VAN,23,0,0,4,1,8,10,3,8,25
Henrik Sedin,20112012,VAN,33,0,2,3,4,24,18,0,3,10
Maxim Lapierre,20112012,VAN,40,3,1,3,1,4,4,0,0,5
Mark Letestu,20112012,PIT,10,0,0,0,0,1,0,0,0,2
