Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Paul Martin,20122013,PIT,7,0,0,2,0,2,4,0,1,8
Pascal Dupuis,20122013,PIT,9,0,0,2,0,0,0,0,0,2
Brandon Sutter,20122013,PIT,16,0,0,3,0,0,1,0,0,2
Marc-Andre Fleury,20122013,PIT,29,0,0,0,0,0,2,0,2,19
Tyler Kennedy,20122013,PIT,48,0,0,1,0,1,1,0,0,4
Luke Schenn,20122013,PHI,22,0,0,0,0,0,0,0,0,1
Claude Giroux,20122013,PHI,28,0,1,5,1,6,8,0,1,8
Ilya Bryzgalov,20122013,PHI,30,0,0,0,0,0,1,0,3,31
Kimmo Timonen,20122013,PHI,44,0,1,2,2,8,4,0,0,12
Jason Spezza,20122013,OTT,19,0,0,1,0,0,1,0,0,0
Jakob Silfverberg,20122013,OTT,33,0,0,2,0,1,0,0,0,3
Craig Anderson,20122013,OTT,41,0,0,0,0,0,0,0,2,10
Sergei Gonchar,20122013,OTT,55,0,0,2,0,4,6,0,1,1
Erik Karlsson,20122013,OTT,65,0,0,2,0,2,0,0,0,1
Chris Thorburn,20122013,WPG,22,0,0,0,0,0,0,0,0,0
Grant Clitsome,20122013,WPG,24,0,2,0,0,0,1,0,1,0
Ondrej Pavelec,20122013,WPG,31,0,0,0,0,0,0,0,3,13
Toby Enstrom,20122013,WPG,39,0,0,1,0,2,4,0,0,3
Jim O'Brien,20122013,OTT,18,0,0,1,0,0,0,0,0,0
Erik Condra,20122013,OTT,22,0,0,0,0,0,0,0,0,0
Bryan Little,20122013,WPG,18,0,0,2,1,1,1,0,0,6
Blake Wheeler,20122013,WPG,26,0,0,2,0,5,0,0,2,2
Dustin Byfuglien,20122013,WPG,33,0,0,4,1,3,2,0,0,2
Patrick Sharp,20122013,CHI,10,0,0,1,0,3,3,0,1,2
Jonathan Toews,20122013,CHI,19,0,0,2,0,1,2,0,1,6
Corey Crawford,20122013,CHI,50,0,0,0,0,0,0,0,1,13
Marian Hossa,20122013,CHI,81,0,0,3,1,0,1,0,0,6
Patrick Kane,20122013,CHI,88,0,1,6,0,6,2,0,0,1
Drew Doughty,20122013,L.A,8,0,1,2,0,5,2,0,1,8
Jarret Stoll,20122013,L.A,28,0,0,1,0,1,3,0,0,3
Jonathan Quick,20122013,L.A,32,0,0,0,0,0,0,0,1,22
Joffrey Lupul,20122013,TOR,19,0,0,3,0,0,0,0,0,5
Ben Scrivens,20122013,TOR,30,0,0,0,0,0,0,0,0,8
Tyler Bozak,20122013,TOR,42,0,0,4,1,2,2,0,1,11
Michael Kostka,20122013,TOR,53,0,0,0,0,2,3,0,0,4
Phil Kessel,20122013,TOR,81,0,1,5,1,10,4,0,0,3
Josh Gorges,20122013,MTL,26,0,0,0,0,0,0,0,0,1
Carey Price,20122013,MTL,31,0,0,0,0,0,0,0,2,29
Ryan White,20122013,MTL,53,0,0,0,0,0,0,0,0,0
Francis Bouillon,20122013,MTL,55,0,0,0,0,0,0,0,0,8
Nazem Kadri,20122013,TOR,43,0,0,5,0,2,1,0,0,2
Leo Komarov,20122013,TOR,47,0,0,0,0,0,0,0,0,1
Brian Gionta,20122013,MTL,21,0,0,5,0,2,0,0,2,13
Jay McClement,20122013,TOR,11,0,0,0,0,0,0,0,0,0
Carl Gunnarsson,20122013,TOR,36,0,0,0,0,0,0,0,0,1
Nikolay Kulemin,20122013,TOR,41,0,0,0,0,0,0,0,0,0
Rene Bourque,20122013,MTL,17,0,0,2,0,1,0,0,0,7
Raphael Diaz,20122013,MTL,61,0,0,0,0,4,4,0,0,2
Dainius Zubrus,20122013,N.J,8,0,0,0,0,0,0,0,0,0
Patrik Elias,20122013,N.J,26,0,0,5,0,5,4,1,2,1
N.J,29,0,0,0,0,0,0,0,0,0
Martin Brodeur,20122013,N.J,30,1,0,0,0,0,1,0,1,14
Keith Aucoin,20122013,NYI,10,0,0,1,0,0,0,0,0,4
Evgeni Nabokov,20122013,NYI,20,0,0,0,0,0,2,0,0,24
Kyle Okposo,20122013,NYI,21,0,0,0,0,1,2,0,0,4
Michael Grabner,20122013,NYI,40,0,0,2,0,1,0,0,0,1
Andrew MacDonald,20122013,NYI,47,0,0,1,0,1,1,0,0,6
Mike Ribeiro,20122013,WSH,9,0,1,5,0,12,9,0,2,10
Wojtek Wolski,20122013,WSH,17,0,0,0,0,1,0,0,0,1
Joel Ward,20122013,WSH,42,0,0,1,0,2,0,1,0,2
Braden Holtby,20122013,WSH,70,0,0,0,1,0,0,1,2,32
John Carlson,20122013,WSH,74,0,0,0,0,2,3,1,0,8
Tom Pyatt,20122013,T.B,11,0,0,0,0,0,0,0,0,0
Anders Lindback,20122013,T.B,39,0,0,0,0,0,1,0,0,14
Nate Thompson,20122013,T.B,44,0,0,0,0,0,0,0,0,2
Victor Hedman,20122013,T.B,77,0,0,0,0,1,1,0,0,4
Matt Hendricks,20122013,WSH,26,0,0,0,0,0,0,0,0,0
Mike Green,20122013,WSH,52,0,0,4,0,7,3,0,2,11
Matthew Carle,20122013,T.B,25,0,0,2,0,2,1,0,0,6
Martin St. Louis,20122013,T.B,26,0,0,3,0,6,11,0,0,5
Marc-Andre Bergeron,20122013,T.B,47,0,0,0,0,0,2,0,0,2
Cory Conacher,20122013,T.B,89,0,0,1,0,1,2,0,0,1
Karl Alzner,20122013,WSH,27,0,0,0,0,0,0,0,0,0
Ryan Malone,20122013,T.B,12,0,0,2,0,0,0,0,0,10
Teddy Purcell,20122013,T.B,16,0,0,3,0,9,1,0,0,8
Steven Stamkos,20122013,T.B,91,0,0,10,0,5,3,0,0,6
Nicklas Backstrom,20122013,WSH,19,0,0,3,0,2,13,0,2,12
Jason Chimera,20122013,WSH,25,0,0,0,0,0,0,0,0,0
Jiri Tlusty,20122013,CAR,19,0,1,3,0,2,2,0,1,0
Chris Terry,20122013,CAR,25,0,0,0,0,1,1,0,1,1
Cam Ward,20122013,CAR,30,0,0,0,0,0,0,0,1,7
Jay Harrison,20122013,CAR,44,0,0,0,0,0,0,0,0,0
Alex Kovalev,20122013,FLA,27,0,0,1,0,1,0,1,0,2
Brian Campbell,20122013,FLA,51,1,0,5,0,2,9,0,0,9
Jose Theodore,20122013,FLA,60,0,0,0,0,0,0,1,0,12
Tomas Kopecky,20122013,FLA,82,0,0,4,0,3,2,1,0,5
Peter Mueller,20122013,FLA,88,0,0,2,0,1,1,1,0,11
Drayson Bowman,20122013,CAR,21,0,0,0,0,0,0,0,0,0
Justin Faulk,20122013,CAR,27,0,0,1,0,0,2,0,0,6
Tomas Fleischmann,20122013,FLA,14,0,0,2,0,8,3,0,0,3
Scottie Upshall,20122013,FLA,19,0,0,1,0,0,0,0,0,1
Jordan Staal,20122013,CAR,11,0,0,1,2,2,2,0,0,4
Justin Abdelkader,20122013,DET,8,0,0,0,0,0,0,0,0,0
Drew Miller,20122013,DET,20,0,0,1,0,0,0,0,0,0
Jimmy Howard,20122013,DET,35,0,0,0,0,0,0,1,1,27
Niklas Kronwall,20122013,DET,55,1,0,1,0,4,10,0,0,11
Alexander Steen,20122013,STL,20,0,1,2,0,3,3,0,2,2
Chris Stewart,20122013,STL,25,0,0,6,1,3,1,0,1,3
Alex Pietrangelo,20122013,STL,27,0,0,2,0,3,1,0,1,8
Jaroslav Halak,20122013,STL,41,0,0,0,0,0,0,0,2,8
Vladimir Tarasenko,20122013,STL,91,0,1,2,0,1,0,0,1,6
Kyle Quincey,20122013,DET,27,0,0,0,0,1,0,1,1,1
Jonas Gustavsson,20122013,DET,50,0,0,0,0,0,0,0,0,3
Jonathan Ericsson,20122013,DET,52,0,0,0,0,0,0,0,0,0
David Backes,20122013,STL,42,0,0,0,0,2,2,0,0,6
David Perron,20122013,STL,57,0,0,2,0,2,2,0,0,5
T.J. Oshie,20122013,STL,74,0,0,2,0,3,4,0,0,1
Kevin Shattenkirk,20122013,STL,22,0,0,2,1,2,4,0,1,4
Cory Emmerton,20122013,DET,25,0,0,0,0,0,1,0,0,0
