Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Chris Pronger,20112012,PHI,20,0,0,1,0,2,3,0,0,1
Claude Giroux,20112012,PHI,28,0,0,6,1,16,14,0,0,4
Ilya Bryzgalov,20112012,PHI,30,0,0,0,0,0,1,1,1,44
Andrej Meszaros,20112012,PHI,41,0,0,2,0,1,0,0,0,6
Jaromir Jagr,20112012,PHI,68,0,0,8,0,5,7,0,0,13
Zdeno Chara,20112012,BOS,33,1,1,6,1,5,4,0,1,4
Patrice Bergeron,20112012,BOS,37,1,2,2,0,6,2,0,0,6
Dennis Seidenberg,20112012,BOS,44,0,0,0,0,4,4,2,3,5
Brad Marchand,20112012,BOS,63,0,0,5,0,0,1,2,2,4
Andreas Nodl,20112012,PHI,15,0,0,0,0,0,0,0,0,0
Kimmo Timonen,20112012,PHI,44,0,1,3,0,7,10,0,1,15
Tyler Seguin,20112012,BOS,19,0,0,5,2,4,4,0,0,3
Tim Thomas,20112012,BOS,30,0,0,0,0,0,0,2,4,22
Rich Peverley,20112012,BOS,49,0,0,1,0,3,6,1,1,5
Paul Martin,20112012,PIT,7,0,0,0,0,2,2,0,1,3
Pascal Dupuis,20112012,PIT,9,0,0,0,1,0,0,0,0,2
Matt Cooke,20112012,PIT,24,0,1,0,0,1,4,0,0,0
Marc-Andre Fleury,20112012,PIT,29,0,0,0,0,0,1,1,3,33
Evgeni Malkin,20112012,PIT,71,0,1,11,1,17,4,1,1,12
Keith Ballard,20112012,VAN,4,0,0,0,0,0,0,0,0,0
Christopher Tanev,20112012,VAN,8,0,0,0,0,0,0,0,0,0
Maxim Lapierre,20112012,VAN,40,0,0,0,0,0,0,0,0,0
VAN,54,0,0,0,0,0,0,0,0,0
James Neal,20112012,PIT,18,0,1,17,0,5,7,1,1,14
Steve Sullivan,20112012,PIT,26,0,0,5,1,6,9,1,1,17
Kris Letang,20112012,PIT,58,1,0,3,0,6,5,0,1,16
Dan Hamhuis,20112012,VAN,2,0,0,1,1,4,5,0,1,6
Manny Malhotra,20112012,VAN,27,0,0,0,0,0,0,0,0,1
Jannik Hansen,20112012,VAN,36,0,0,0,0,0,0,0,0,0
Pavel Kubina,20112012,T.B,13,0,0,0,0,0,0,0,0,5
Teddy Purcell,20112012,T.B,16,0,0,8,1,5,5,0,0,5
Ryan Shannon,20112012,T.B,22,0,0,1,0,1,1,0,0,0
Dwayne Roloson,20112012,T.B,30,0,0,0,0,0,0,0,0,20
Marc-Andre Bergeron,20112012,T.B,47,0,0,1,0,2,6,0,0,1
Jiri Tlusty,20112012,CAR,19,0,0,2,0,1,3,0,1,2
Joni Pitkanen,20112012,CAR,25,0,1,1,0,1,5,0,0,5
Cam Ward,20112012,CAR,30,0,0,0,0,0,0,1,2,33
Jussi Jokinen,20112012,CAR,36,0,0,3,0,5,10,0,0,7
Ryan Malone,20112012,T.B,12,0,0,5,0,4,6,0,0,9
Martin St. Louis,20112012,T.B,26,0,0,3,0,6,6,0,1,15
Steven Stamkos,20112012,T.B,91,0,1,11,0,8,4,0,0,9
Tim Gleason,20112012,CAR,6,0,0,0,0,1,1,0,0,1
Brandon Sutter,20112012,CAR,16,0,0,1,0,0,1,0,0,1
Daniel Alfredsson,20112012,OTT,11,0,2,4,0,3,4,1,1,12
Colin Greening,20112012,OTT,14,0,0,4,1,3,0,0,0,5
Filip Kuba,20112012,OTT,17,0,0,3,0,3,5,1,1,6
Craig Anderson,20112012,OTT,41,0,0,0,0,0,1,0,3,28
Mika Zibanejad,20112012,OTT,93,0,0,0,0,0,1,0,0,0
Justin Abdelkader,20112012,DET,8,0,0,0,0,0,0,0,0,2
Jimmy Howard,20112012,DET,35,0,0,0,0,0,1,0,4,26
Darren Helm,20112012,DET,43,0,0,0,0,0,0,0,0,0
Jonathan Ericsson,20112012,DET,52,0,0,0,0,0,0,0,0,0
Jason Spezza,20112012,OTT,19,0,2,8,0,3,11,1,3,10
Nikita Filatov,20112012,OTT,21,0,0,0,0,0,0,0,0,1
Sergei Gonchar,20112012,OTT,55,0,0,2,0,6,5,0,4,10
Erik Karlsson,20112012,OTT,65,1,0,2,2,15,7,0,3,8
Brad Stuart,20112012,DET,23,0,0,1,0,0,0,0,0,0
Niklas Kronwall,20112012,DET,55,0,0,6,1,2,4,0,2,7
David Legwand,20112012,NSH,11,0,0,4,0,5,8,0,1,4
Craig Smith,20112012,NSH,15,1,0,5,0,2,5,0,1,4
Ryan Suter,20112012,NSH,20,0,0,3,1,13,7,0,0,18
Pekka Rinne,20112012,NSH,35,0,0,0,0,0,1,0,1,40
Sergei Kostitsyn,20112012,NSH,74,0,0,1,0,5,2,0,0,3
Marc Methot,20112012,CBJ,3,0,0,0,0,0,0,0,0,0
Grant Clitsome,20112012,CBJ,14,0,0,1,0,1,3,0,0,3
Derek MacKenzie,20112012,CBJ,24,0,0,1,0,0,0,0,0,0
Antoine Vermette,20112012,CBJ,50,0,0,2,2,1,2,0,0,4
Luca Sbisa,20112012,ANA,5,0,0,0,0,1,1,0,1,1
Sheldon Brookbank,20112012,ANA,21,0,0,0,0,0,0,0,0,1
ANA,41,0,0,0,0,0,0,0,0,0
ANA,49,0,0,0,0,0,0,0,0,0
Marc-Andre Gragnani,20112012,BUF,17,0,0,1,0,1,5,0,0,6
Thomas Vanek,20112012,BUF,26,0,1,9,1,5,6,0,2,9
Jason Pominville,20112012,BUF,29,0,1,6,2,8,8,0,1,6
Ryan Miller,20112012,BUF,30,0,0,0,0,0,0,0,3,29
Luke Adam,20112012,BUF,72,0,0,0,0,1,2,0,0,5
Cam Fowler,20112012,ANA,4,0,0,2,0,4,5,0,1,16
Saku Koivu,20112012,ANA,11,0,0,0,0,3,2,0,0,8
Francois Beauchemin,20112012,ANA,23,0,0,3,0,2,0,0,1,8
Drew Stafford,20112012,BUF,21,0,0,3,0,3,1,0,2,7
Brandon Dubinsky,20112012,NYR,17,0,0,0,0,1,1,0,1,10
Ryan Callahan,20112012,NYR,24,0,0,13,1,1,2,0,3,11
Henrik Lundqvist,20112012,NYR,30,0,0,0,1,0,1,0,3,27
Drew Doughty,20112012,L.A,8,0,0,3,1,6,3,0,2,11
Mike Richards,20112012,L.A,10,0,0,2,1,7,3,0,1,8
Anze Kopitar,20112012,L.A,11,0,1,7,1,3,14,0,1,5
Jonathan Quick,20112012,L.A,32,0,0,0,0,0,2,0,4,35
Alex Auld,20112012,OTT,35,0,0,0,0,0,0,0,2,6
Matthew Lombardi,20112012,TOR,15,0,0,0,0,0,0,1,0,1
TOR,24,0,0,4,0,6,3,0,0,11
James Reimer,20112012,TOR,34,0,0,0,0,0,0,0,0,17
Brian Lee,20112012,OTT,5,0,0,0,0,0,0,0,0,1
Milan Michalek,20112012,OTT,9,0,1,9,1,4,0,1,2,14
Matt Frattin,20112012,TOR,39,0,0,0,0,1,0,1,1,2
Nikolay Kulemin,20112012,TOR,41,0,0,1,0,4,0,0,0,3
Mikhail Grabovski,20112012,TOR,84,0,0,5,0,5,0,0,0,5
Erik Condra,20112012,OTT,22,0,0,0,0,0,0,0,0,1
Joffrey Lupul,20112012,TOR,19,0,0,8,0,8,5,1,1,4
Tyler Bozak,20112012,TOR,42,0,0,4,0,4,4,0,0,12
Phil Kessel,20112012,TOR,81,0,0,10,0,5,8,2,1,7
