"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"kopitan8720132014","Anze.Kopitar","C","L.A",82,"20132014",26,"7.500","6.800",75,95,12,9,122,43,51,28,24,38,8,14,0.31,1159.63,2651.25,30.43
"muzzija8920132014","Jake.Muzzin","D","L.A",76,"20132014",24,"1.000","1.000",151,162,7,7,124,55,106,75,47,12,21,9,-0.62,1168.51,2358.99,33.13
"doughdr8920132014","Drew.Doughty","D","L.A",78,"20132014",23,"6.700","7.000",147,124,9,1,99,69,90,59,49,14,23,13,-0.43,1393.37,2214.91,38.62
"bergepa8520132014","Patrice.Bergeron","C","BOS",80,"20132014",28,"4.550","5.000",45,80,12,9,155,75,73,43,23,37,10,13,0.17,1059.89,2814.51,27.36
"vlasima8720132014","Marc-Edouard.Vlasic","D","S.J",81,"20132014",26,"4.250","4.250",43,111,8,6,107,70,103,108,34,12,4,6,0.09,1344.16,2554.73,34.48
"williju8120132014","Justin.Williams","R","L.A",82,"20132014",31,"3.750","3.650",41,127,7,12,176,68,51,19,62,23,14,17,0.17,1082.76,2728.12,28.41
"marchbr8820132014","Brad.Marchand","L","BOS",82,"20132014",25,"4.000","4.500",65,103,17,7,112,49,36,16,48,39,22,16,-0.33,1093.52,2884.07,27.49
"toewsjo8820132014","Jonathan.Toews","C","CHI",76,"20132014",25,"6.500","6.300",24,119,15,10,122,33,32,15,24,40,6,13,0.37,1133.28,2556.59,30.71
"thornjo7920132014","Joe.Thornton","C","S.J",82,"20132014",34,"6.000","7.000",45,29,25,14,69,30,35,30,66,64,11,10,-0.05,1128.89,2821.93,28.57
"seabrbr8520132014","Brent.Seabrook","D","CHI",82,"20132014",28,"5.000","5.800",144,141,12,11,107,48,67,117,47,23,9,3,-0.25,1434.34,2563.4,35.88
"keithdu8320132014","Duncan.Keith","D","CHI",79,"20132014",30,"7.650","5.538",31,89,11,20,129,55,93,70,56,34,11,3,-0.33,1453.73,2395.23,37.77
"jagrxja7220132014","Jaromir.Jagr","R","N.J",82,"20132014",41,"2.000","2.000",4,74,14,14,157,61,54,8,46,33,15,9,-0.29,1227.53,2715.9,31.13
"sharppa8120132014","Patrick.Sharp","L","CHI",82,"20132014",31,"6.500","5.900",49,106,16,10,199,66,95,22,18,37,10,14,0.19,1232.99,2764.75,30.84
"stralan8620132014","Anton.Stralman","D","NYR",81,"20132014",27,"1.800","1.700",67,151,4,8,89,24,63,51,43,23,10,9,-0.04,1348.47,2538.57,34.69
"karlser9020132014","Erik.Karlsson","D","OTT",82,"20132014",23,"5.500","6.500",104,112,11,12,170,95,137,82,89,57,12,13,0.04,1636.37,2183.91,42.83
"kingxdw8920132014","Dwight.King","RL","L.A",77,"20132014",24,"0.750","0.750",107,103,5,8,88,41,32,11,30,10,7,7,0,985.7,2589.1,27.57
"zajactr8520132014","Travis.Zajac","C","N.J",80,"20132014",28,"3.500","5.750",51,99,10,6,109,38,45,18,19,36,10,9,-0.05,1179.73,2677.56,30.58
"smithre9120132014","Reilly.Smith","RL","BOS",82,"20132014",22,"0.900","0.900",60,130,15,6,104,43,34,13,35,34,5,5,0,1032.94,2944.64,25.97
"paveljo8420132014","Joe.Pavelski","RC","S.J",82,"20132014",29,"4.000","4.000",39,58,11,8,116,83,65,46,39,40,10,16,0.32,1123.03,2827.79,28.43
"hossama7920132014","Marian.Hossa","R","CHI",72,"20132014",34,"7.900","5.275",36,63,11,7,159,42,88,21,18,53,8,7,-0.06,1021.98,2493.46,29.07
"saadxbr9220132014","Brandon.Saad","LR","CHI",78,"20132014",20,"0.843","0.764",44,96,16,4,112,40,53,15,21,41,9,16,0.41,1012.37,2805.34,26.52
"browndu8420132014","Dustin.Brown","LR","L.A",79,"20132014",28,"3.500","3.175",213,144,3,5,142,54,72,10,34,23,10,30,1.16,1030.67,2640.7,28.07
"leddyni9120132014","Nick.Leddy","D","CHI",82,"20132014",22,"2.000","2.700",47,105,6,10,91,23,57,43,33,11,4,5,0.05,1132.65,2865.09,28.33
"greenan8220132014","Andrew.Greene","D","N.J",82,"20132014",30,"3.250","3.000",73,111,2,8,88,66,83,80,36,27,15,9,-0.25,1415.99,2527.43,35.91
"burnsbr8520132014","Brent.Burns","DR","S.J",69,"20132014",28,"5.760","5.760",135,39,7,8,171,88,78,22,27,37,10,9,-0.06,947.06,2376.28,28.5
"sedinda8020132014","Daniel.Sedin","L","VAN",73,"20132014",32,"6.100","6.100",33,70,14,4,146,48,44,17,18,24,9,16,0.39,1077.15,2397.22,31
"pietral9020132014","Alex.Pietrangelo","D","STL",81,"20132014",23,"5.000","6.500",20,122,12,11,109,74,109,100,26,30,8,6,-0.08,1462.77,2335.65,38.51
"charazd7720132014","Zdeno.Chara","D","BOS",77,"20132014",36,"8.000","6.917",132,90,8,5,110,49,89,65,44,16,14,7,-0.31,1376.92,2357.59,36.87
"toffoty9220132014","Tyler.Toffoli","RL","L.A",62,"20132014",21,"0.765","0.717",56,64,7,7,93,47,47,6,23,18,3,7,0.36,673.58,2228.45,23.21
"carteje8520132014","Jeff.Carter","CR","L.A",72,"20132014",28,"6.500","5.273",60,67,11,5,165,67,70,23,38,25,10,10,0,925.33,2407.7,27.76
"mitchwi7720132014","Willie.Mitchell","D","L.A",76,"20132014",36,"3.500","3.500",84,162,2,7,64,37,54,96,44,9,21,3,-0.88,1222.04,2297.62,34.72
"voynosl9020132014","Slava.Voynov","D","L.A",82,"20132014",23,"2.750","4.167",114,116,11,5,87,56,79,54,50,13,13,11,-0.09,1352.4,2458.48,35.49
"steenal8420132014","Alex.Steen","LC","STL",68,"20132014",29,"3.567","3.363",39,88,6,6,110,70,69,21,7,28,16,25,0.57,944.11,2239.46,29.66
"schwaja9220132014","Jaden.Schwartz","LC","STL",80,"20132014",21,"0.900","NA",45,89,15,9,120,46,48,26,11,51,9,14,0.28,1078.76,2668.72,28.79
"shawxan9120132014","Andrew.Shaw","CR","CHI",80,"20132014",22,"0.565","0.565",161,187,5,9,105,30,44,16,17,22,17,15,-0.12,991.52,2902.91,25.46
"boychjo8420132014","Johnny.Boychuk","D","BOS",75,"20132014",29,"3.400","3.367",129,197,8,4,116,47,80,109,29,14,12,7,-0.23,1287.19,2355.53,35.34
"tarasvl9120132014","Vladimir.Tarasenko","R","STL",64,"20132014",21,"0.900","0.900",20,67,14,5,94,67,52,8,15,29,4,20,1.19,807.5,2221.03,26.66
"krugxto9120132014","Torey.Krug","D","BOS",79,"20132014",22,"0.925","0.917",48,89,4,9,108,46,91,70,27,20,7,6,-0.05,1114.61,2717.86,29.08
"erikslo8520132014","Loui.Eriksson","RL","BOS",61,"20132014",28,"4.600","4.250",10,80,6,8,80,33,18,9,14,27,1,8,0.57,742.73,2201.18,25.23
