"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"williju8120122013","Justin.Williams","R","L.A",48,20122013,30,"3.900","3.650",27,74,9,8,116,36,37,10,28,13,6,7,0.09,665.54,1615.22,29.18
"muzzija8920122013","Jake.Muzzin","D","L.A",45,20122013,23,"0.578","0.578",65,105,4,1,47,24,48,28,18,7,6,6,0,671.96,1476.28,31.28
"kopitan8720122013","Anze.Kopitar","C","L.A",47,20122013,25,"6.500","6.800",62,63,10,4,66,32,22,21,23,19,5,8,0.26,705.44,1533.03,31.51
"sedinda8020122013","Daniel.Sedin","L","VAN",47,20122013,31,"6.100","6.100",15,43,10,7,99,26,32,6,17,14,4,12,0.72,669.25,1539.78,30.3
"seguity9220122013","Tyler.Seguin","CR","BOS",48,20122013,20,"0.900","0.900",21,31,6,6,118,50,49,6,25,13,5,5,0,663.22,1655.61,28.6
"sedinhe8020122013","Henrik.Sedin","C","VAN",48,20122013,31,"6.100","6.100",21,27,8,11,45,12,17,8,10,18,6,13,0.61,690.81,1566.02,30.61
"doughdr8920122013","Drew.Doughty","D","L.A",48,20122013,22,"6.500","7.000",114,93,3,3,74,41,61,36,29,3,12,9,-0.19,946.98,1333.78,41.52
"bergepa8520122013","Patrice.Bergeron","C","BOS",42,20122013,27,"4.550","5.000",24,32,7,8,86,39,29,17,19,19,6,10,0.41,578.38,1433.52,28.75
"browndu8420122013","Dustin.Brown","LR","L.A",46,20122013,27,"3.500","3.175",134,69,3,2,98,42,42,7,13,11,8,16,0.73,661.78,1512.91,30.43
"clarkda8420122013","David.Clarkson","R","N.J",48,20122013,28,"3.000","2.667",77,97,2,4,117,35,28,5,13,7,11,13,0.18,648.71,1601.66,28.83
"pacioma8820122013","Max.Pacioretty","L","MTL",44,20122013,23,"1.750","1.625",56,100,9,7,111,48,43,16,10,22,6,7,0.1,576.56,1448.57,28.47
"marchbr8820122013","Brad.Marchand","L","BOS",45,20122013,24,"3.000","2.500",33,61,10,6,59,22,25,18,25,24,5,9,0.4,599.22,1573.53,27.58
"lucicmi8820122013","Milan.Lucic","L","BOS",46,20122013,24,"4.250","4.083",129,86,9,8,63,37,45,14,33,19,12,5,-0.64,661.16,1560.25,29.76
"stralan8620122013","Anton.Stralman","D","NYR",48,20122013,26,"1.600","1.700",68,103,2,1,52,22,53,34,19,7,8,4,-0.33,730.92,1596.78,31.4
"zidlima7720122013","Marek.Zidlicky","D","N.J",48,20122013,35,"4.000","4.000",49,41,2,1,55,30,51,32,22,9,15,4,-0.86,768.81,1481.56,34.16
"charazd7720122013","Zdeno.Chara","D","BOS",48,20122013,35,"6.000","6.917",86,55,7,2,76,34,52,47,24,7,14,5,-0.63,856.02,1462.8,36.92
"deshada8620122013","David.Desharnais","C","MTL",48,20122013,26,"0.950","0.850",20,40,7,6,46,19,15,17,10,20,8,11,0.29,627.24,1571.92,28.52
"burroal8120122013","Alex.Burrows","RL","VAN",47,20122013,31,"2.000","2.000",44,53,6,3,90,29,26,9,7,16,10,11,0.1,617.88,1591.15,27.97
"eliaspa7620122013","Patrik.Elias","CL","N.J",48,20122013,36,"5.000","6.000",13,35,7,3,72,20,33,9,12,17,4,7,0.3,590.85,1659.52,26.26
"datsypa7820122013","Pavel.Datsyuk","CL","DET",47,20122013,34,"6.700","6.700",29,36,10,9,67,34,45,21,20,48,5,9,0.36,671.48,1530.4,30.5
"toewsjo8820122013","Jonathan.Toews","C","CHI",47,20122013,24,"6.000","6.300",20,64,8,9,95,28,34,11,12,40,6,15,0.82,656.81,1603.13,29.06
"boyleda7620122013","Dan.Boyle","D","S.J",46,20122013,36,"6.667","6.667",24,41,2,2,49,36,44,68,32,12,7,3,-0.31,770.52,1449.15,34.71
"hortona8520122013","Nathan.Horton","R","BOS",43,20122013,27,"5.500","4.000",36,37,3,5,90,23,36,10,10,8,6,5,-0.1,607.87,1458.8,29.41
"krejcda8620122013","David.Krejci","C","BOS",47,20122013,26,"5.250","5.250",39,45,11,3,69,31,32,25,20,12,9,4,-0.43,704.25,1567.9,30.99
"subbapk8920122013","P.K..Subban","D","MTL",42,20122013,23,"NA","NA",48,66,5,2,57,21,40,33,32,4,11,9,-0.18,668.68,1276.11,34.38
"hagelca8820122013","Carl.Hagelin","L","NYR",48,20122013,24,"0.688","0.662",44,79,9,5,117,28,43,22,16,9,8,18,0.83,720.06,1607.64,30.93
"gallabr9220122013","Brendan.Gallagher","R","MTL",44,20122013,20,"0.690","0.685",42,86,8,4,87,24,52,33,8,16,8,13,0.58,516.2,1496.97,25.64
"wiercpa9020122013","Patrick.Wiercioch","D","OTT",42,20122013,22,"0.875","0.875",20,47,5,2,43,18,38,26,16,1,8,3,-0.57,525.44,1457.96,26.49
"tallihe7920122013","Henrik.Tallinder","D","N.J",25,20122013,33,"3.500","3.375",14,51,0,2,18,13,37,12,6,6,4,1,-0.47,379.78,772.52,32.96
"koivumi8320122013","Mikko.Koivu","C","MIN",48,20122013,29,"5.400","6.750",41,17,7,5,86,42,40,15,12,21,10,8,-0.17,718.5,1597.92,31.02
"visnolu7620122013","Lubomir.Visnovsky","D","NYI",35,20122013,36,"3.000","5.600",19,25,1,3,48,11,40,40,18,12,6,3,-0.29,611.96,1132.97,35.07
"stepade9020122013","Derek.Stepan","C","NYR",48,20122013,22,"0.875","0.821",44,40,12,4,75,38,46,21,12,25,3,2,-0.08,724.41,1603.29,31.12
"saadxbr9220122013","Brandon.Saad","LR","CHI",46,20122013,19,"0.618","0.764",39,43,10,3,77,25,20,9,11,20,4,8,0.4,606.26,1611.4,27.34
"parisza8420122013","Zach.Parise","L","MIN",48,20122013,28,"12.000","7.538",52,73,7,3,120,31,27,34,12,17,4,10,0.51,710.85,1605.58,30.69
"nashxri8420122013","Rick.Nash","LR","NYR",44,20122013,28,"7.600","7.800",45,51,7,7,116,32,37,23,22,18,9,10,0.09,672.8,1449.82,31.7
"crosbsi8720122013","Sidney.Crosby","C","PIT",36,20122013,25,"7.500","8.700",21,31,18,8,74,29,23,16,19,13,6,13,0.77,546.28,1160.24,32.01
"zajactr8520122013","Travis.Zajac","C","N.J",48,20122013,27,"4.800","3.888",29,48,5,3,53,28,21,7,7,17,6,5,-0.09,651.92,1598.44,28.97
"hossama7920122013","Marian.Hossa","R","CHI",40,20122013,33,"7.900","5.275",12,29,5,6,66,27,33,11,13,33,8,7,-0.12,521.52,1385.16,27.35
"rozsimi7820122013","Michal.Rozsival","D","CHI",27,20122013,34,"2.000","2.000",41,76,3,7,6,13,14,22,12,9,4,0,-0.57,419.07,904.59,31.66
"hamildo9320122013","Dougie.Hamilton","D","BOS",42,20122013,19,"0.925","0.894",56,47,6,3,61,24,38,30,24,7,6,0,-0.6,605,1414.4,29.96
"sangubo8820122013","Bobby.Sanguinetti","D","CAR",37,20122013,24,"0.700","0.700",45,55,1,1,40,15,27,31,10,9,1,6,0.64,468.82,1298.23,26.53
"mcdonry8920122013","Ryan.McDonagh","D","NYR",47,20122013,23,"0.875","0.875",58,62,7,5,72,30,54,58,24,21,11,9,-0.13,934.3,1343.78,41.01
"greenan8220122013","Andrew.Greene","D","N.J",48,20122013,29,"2.750","3.000",37,59,1,5,40,29,42,47,12,22,6,9,0.22,809.31,1441.06,35.96
"shattke8920122013","Kevin.Shattenkirk","D","STL",48,20122013,23,"0.875","0.875",50,47,4,7,55,27,47,48,16,14,6,1,-0.39,769.52,1528.31,33.49
"oduyajo8120122013","Johnny.Oduya","D","CHI",48,20122013,30,"4.000","3.375",22,108,1,5,41,23,39,55,17,14,4,2,-0.15,786.59,1523.92,34.04
"carteje8520122013","Jeff.Carter","CR","L.A",48,20122013,27,"6.250","5.273",23,52,3,1,78,49,46,12,20,19,6,4,-0.2,612.58,1668.17,26.86
"henriad9020122013","Adam.Henrique","CL","N.J",42,20122013,22,"0.525","0.575",25,31,3,0,47,23,16,10,5,16,3,5,0.22,557.02,1423.3,28.13
"shoredr9120122013","Drew.Shore","CR","FLA",43,20122013,21,"0.900","0.900",36,73,6,2,80,25,39,18,8,16,4,3,-0.1,581.33,1516.22,27.71
"hicketh8920122013","Thomas.Hickey","D","NYI",39,20122013,23,"0.700","0.700",21,70,1,2,37,14,39,44,14,11,4,2,-0.21,572.35,1350.97,29.76
"abdelju8720122013","Justin.Abdelkader","RL","DET",48,20122013,25,"1.400","1.800",115,67,2,1,82,23,21,12,8,9,7,11,0.38,629.83,1617.17,28.03
"ponikal8020122013","Alexei.Ponikarovsky","L","N.J/WPG",42,20122013,32,"1.800","1.800",76,35,2,3,46,30,20,15,6,3,5,3,-0.24,496.45,1496.83,24.91
"kunitch7920122013","Chris.Kunitz","L","PIT",48,20122013,32,"3.725","3.725",99,47,12,10,57,33,33,13,13,12,7,6,-0.09,643.33,1624.4,28.37
"karlser9020122013","Erik.Karlsson","D","OTT",17,20122013,22,"5.000","6.500",10,19,3,2,49,20,47,13,13,15,2,4,0.37,327.66,456.33,41.79
"vlasima8720122013","Marc-Edouard.Vlasic","D","S.J",48,20122013,25,"3.700","3.100",22,78,1,2,44,29,43,61,31,9,2,6,0.29,815.82,1489.97,35.38
"martial8720122013","Alec.Martinez","D","L.A",27,20122013,25,"0.738","0.738",30,54,0,3,24,14,17,27,11,2,3,1,-0.33,360.77,911.09,28.37
"faynema8720122013","Mark.Fayne","D","N.J",31,20122013,25,"1.200","1.300",18,41,2,3,30,14,32,29,8,6,7,2,-0.64,471.43,965.57,32.81
"alfreda7220122013","Daniel.Alfredsson","R","OTT",47,20122013,39,"1.000","4.875",23,34,4,1,54,27,35,20,24,25,6,5,-0.09,642.46,1580.27,28.9
"voynosl9020122013","Slava.Voynov","D","L.A",48,20122013,22,"0.787","0.762",72,87,4,6,57,31,48,34,31,4,5,4,-0.07,840.48,1440.28,36.85
"condrer8620122013","Erik.Condra","RL","OTT",48,20122013,26,"0.650","0.625",12,74,2,4,63,24,24,21,11,21,10,10,0,520.56,1748.82,22.94
"tarasvl9120122013","Vladimir.Tarasenko","R","STL",38,20122013,20,"0.900","0.900",26,32,7,1,60,29,21,7,6,14,4,10,0.81,446.38,1381.47,24.42
"seidede8120122013","Dennis.Seidenberg","D","BOS",46,20122013,31,"3.250","3.250",94,130,2,5,59,29,58,76,9,7,3,0,-0.21,844.67,1384.06,37.9
"leddyni9120122013","Nick.Leddy","D","CHI",48,20122013,21,"0.900","0.900",36,56,2,3,41,15,21,36,17,9,5,2,-0.27,672.18,1638.33,29.09
"harrope8320122013","Peter.Harrold","D","N.J",23,20122013,29,"0.525","0.525",17,38,0,1,23,10,14,9,5,4,2,3,0.18,336.75,786.52,29.98
"zettehe8020122013","Henrik.Zetterberg","CL","DET",46,20122013,31,"7.750","6.083",18,38,5,8,108,31,35,7,22,21,5,9,0.37,653.91,1486.89,30.55
"malkiev8620122013","Evgeni.Malkin","CR","PIT",31,20122013,26,"9.000","8.700",10,37,5,4,62,31,19,9,15,21,9,11,0.27,450.46,1013.98,30.76
"thornjo7920122013","Joe.Thornton","C","S.J",48,20122013,33,"7.000","7.000",18,34,10,4,54,14,20,17,34,33,5,4,-0.09,643.9,1661.89,27.93
"benoian8420122013","Andre.Benoit","D","OTT",33,20122013,28,"0.650","0.650",24,57,1,3,34,20,41,49,14,6,2,0,-0.26,454.73,1116.05,28.95
"kindlja8720122013","Jakub.Kindl","D","DET",41,20122013,25,"1.050","0.883",39,55,2,5,50,21,33,29,23,8,9,3,-0.6,604.35,1327.18,31.29
"richabr8020122013","Brad.Richards","C","NYR",46,20122013,32,"12.000","6.667",25,46,9,7,69,33,43,39,21,28,5,3,-0.18,669,1553.78,30.1
"quincky8520122013","Kyle.Quincey","D","DET",36,20122013,27,"3.550","3.775",24,47,1,0,27,22,26,29,11,4,4,2,-0.22,539.75,1113.83,32.64
"filppva8420122013","Valtteri.Filppula","CL","DET",41,20122013,28,"3.500","3.000",13,44,6,2,58,22,22,9,15,14,2,6,0.43,553.77,1348.67,29.11
"hjalmni8720122013","Niklas.Hjalmarsson","D","CHI",46,20122013,25,"3.500","3.500",19,76,3,5,38,19,32,65,30,21,10,1,-0.69,784.21,1420.66,35.57
"bickebr8620122013","Bryan.Bickell","L","CHI",48,20122013,26,"0.600","0.542",107,87,8,6,71,24,42,12,11,23,4,7,0.3,606.7,1703.82,26.26
"irwinma8720122013","Matt.Irwin","D","S.J",38,20122013,24,"0.650","0.650",37,90,2,3,51,16,57,54,27,14,3,2,-0.1,606.62,1248.01,32.71
"hamhuda8220122013","Dan.Hamhuis","D","VAN",47,20122013,29,"4.250","4.500",40,55,5,7,42,34,53,45,22,16,3,2,-0.08,776.2,1432.83,35.14
"reddewa7720122013","Wade.Redden","D","BOS/STL",29,20122013,35,"0.800","0.800",16,39,1,2,21,18,21,29,5,7,2,1,-0.15,402.24,985.8,28.98
"kronwni8120122013","Niklas.Kronwall","D","DET",48,20122013,31,"4.500","4.750",36,46,5,3,30,18,30,67,19,9,15,10,-0.37,814.5,1432.51,36.25
"staaljo8820122013","Jordan.Staal","C","CAR",48,20122013,24,"4.500","4.000",93,59,6,4,81,28,27,14,15,26,6,9,0.25,713.52,1574.28,31.19
"loktian9020122013","Andrei.Loktionov","CL","N.J",28,20122013,22,"0.575","0.604",6,23,2,0,29,11,12,8,7,18,2,1,-0.18,339.54,994.17,25.46
"smithbr8920122013","Brendan.Smith","D","DET",34,20122013,23,"0.875","0.875",16,75,1,5,23,14,26,29,25,9,7,8,0.12,517.58,1074,32.52
"stalbvi8620122013","Viktor.Stalberg","RL","CHI",47,20122013,26,"0.850","0.875",41,54,8,2,87,35,34,14,9,21,3,7,0.44,542.03,1717.91,23.98
"krugema9020122013","Marcus.Kruger","C","CHI",47,20122013,22,"0.900","0.735",12,79,3,3,43,10,12,21,5,17,11,4,-0.81,521.55,1738.39,23.08
"gonchse7420122013","Sergei.Gonchar","D","OTT",45,20122013,38,"5.500","5.500",15,62,5,8,51,22,41,48,22,7,12,1,-0.87,754.38,1377.25,35.39
"coylech9220122013","Charlie.Coyle","RC","MIN",37,20122013,20,"0.900","0.900",49,49,5,1,38,19,18,8,9,14,6,9,0.36,500.17,1291.98,27.91
"boychjo8420122013","Johnny.Boychuk","D","BOS",44,20122013,28,"3.100","3.367",67,103,3,2,64,26,42,73,13,3,4,5,0.08,756.47,1367.04,35.62
"anderjo8920122013","Joakim.Andersson","C","DET",38,20122013,23,"0.637","0.613",12,37,4,0,37,12,11,10,16,3,4,4,0,388.29,1432.56,21.32
"sobotvl8720122013","Vladimir.Sobotka","C","STL",48,20122013,25,"1.300","1.300",88,56,4,3,55,20,23,6,4,12,12,12,0,584.08,1713.74,25.42
"neilxch7920122013","Chris.Neil","R","OTT",48,20122013,33,"2.000","2.000",198,73,3,1,76,22,23,10,9,13,9,7,-0.21,578.45,1690.92,25.49
"letankr8720122013","Kris.Letang","D","PIT",35,20122013,25,"3.500","3.500",40,52,10,8,58,22,36,45,16,7,1,0,-0.1,624.73,1022.27,37.93
"drewida8420122013","Davis.Drewiske","D","L.A/MTL",29,20122013,27,"0.650","0.617",19,60,2,3,23,15,27,20,10,1,5,1,-0.71,338.27,977.98,25.7
"ericsjo8420122013","Jonathan.Ericsson","D","DET",45,20122013,28,"3.250","3.250",51,53,4,5,30,20,33,30,22,5,9,3,-0.46,786.25,1341.44,36.95
"garrija8420122013","Jason.Garrison","D","VAN",47,20122013,27,"5.500","4.600",29,73,3,2,53,40,45,50,20,10,11,2,-0.72,747.23,1461.8,33.83
"tavarjo9020122013","John.Tavares","C","NYI",48,20122013,21,"4.000","5.500",32,57,9,2,88,36,46,20,33,24,6,15,0.7,775.67,1580.22,32.92
"steenal8420122013","Alex.Steen","LC","STL",40,20122013,28,"3.567","3.363",23,33,7,6,81,33,37,11,10,11,4,4,0,565.1,1353.47,29.45
