Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
James Neal,20122013,PIT,18,0,4,7,1,4,3,2,1,4
Eric Tangradi,20122013,PIT,25,0,0,0,0,0,0,0,2,1
Marc-Andre Fleury,20122013,PIT,29,0,0,0,0,0,0,3,13,48
Kris Letang,20122013,PIT,58,0,0,3,4,6,9,2,6,10
Evgeni Malkin,20122013,PIT,71,2,1,2,2,3,4,0,2,6
Nicklas Grossmann,20122013,PHI,8,0,0,1,0,3,0,1,3,8
Sean Couturier,20122013,PHI,14,0,1,3,1,3,3,3,2,2
Max Talbot,20122013,PHI,25,0,1,3,1,2,2,0,0,6
Ilya Bryzgalov,20122013,PHI,30,0,0,0,0,0,2,6,11,48
Jakub Voracek,20122013,PHI,93,0,3,8,2,7,6,1,5,1
Pascal Dupuis,20122013,PIT,9,0,0,14,1,4,12,3,4,12
Chris Kunitz,20122013,PIT,14,1,1,11,1,11,10,2,6,6
Brooks Orpik,20122013,PIT,44,0,0,0,0,3,4,1,8,24
Sidney Crosby,20122013,PIT,87,0,4,8,2,16,8,3,1,5
Scott Hartnell,20122013,PHI,19,1,1,2,1,1,0,1,0,5
Luke Schenn,20122013,PHI,22,1,0,0,0,2,6,3,7,16
Claude Giroux,20122013,PHI,28,1,1,4,7,8,2,1,2,6
Kimmo Timonen,20122013,PHI,44,0,0,2,0,2,6,3,4,11
Jason Spezza,20122013,OTT,19,0,0,0,0,2,0,0,1,0
Jakob Silfverberg,20122013,OTT,33,0,2,5,1,6,1,0,3,6
Craig Anderson,20122013,OTT,41,0,0,0,0,0,0,3,11,21
Patrick Wiercioch,20122013,OTT,46,0,0,2,1,4,2,0,5,8
Mark Stone,20122013,OTT,61,0,1,1,0,2,4,0,4,5
Andrew Ladd,20122013,WPG,16,1,5,8,2,8,12,1,2,6
Bryan Little,20122013,WPG,18,0,1,4,3,11,5,2,4,10
Grant Clitsome,20122013,WPG,24,0,0,2,1,6,4,3,9,14
Blake Wheeler,20122013,WPG,26,0,4,9,4,6,6,1,3,6
Ondrej Pavelec,20122013,WPG,31,0,0,0,0,0,0,4,22,62
Colin Greening,20122013,OTT,14,0,0,5,1,3,3,0,3,6
Zack Smith,20122013,OTT,15,0,1,3,1,3,5,0,1,3
Chris Neil,20122013,OTT,25,0,1,3,1,2,1,0,2,6
Erik Karlsson,20122013,OTT,65,1,0,2,0,3,2,0,2,4
Ron Hainsey,20122013,WPG,6,0,0,0,2,3,6,2,8,14
Evander Kane,20122013,WPG,9,1,4,10,1,10,2,0,4,6
Olli Jokinen,20122013,WPG,12,0,2,5,0,2,3,0,3,6
Mark Scheifele,20122013,WPG,55,0,0,0,0,0,0,0,0,2
Kyle Turris,20122013,OTT,7,0,1,6,1,6,3,1,3,3
Daniel Alfredsson,20122013,OTT,11,0,2,3,1,3,1,0,3,10
Guillaume Latendresse,20122013,OTT,73,0,0,4,1,2,1,0,1,4
Dustin Byfuglien,20122013,WPG,33,1,0,3,1,5,8,3,6,18
Toby Enstrom,20122013,WPG,39,0,0,3,1,0,3,0,2,5
Brent Seabrook,20122013,CHI,7,0,0,5,0,2,4,4,5,16
Daniel Carcillo,20122013,CHI,13,1,0,1,0,1,0,3,2,1
Jonathan Toews,20122013,CHI,19,0,4,15,4,6,10,4,1,5
Corey Crawford,20122013,CHI,50,0,0,0,0,0,0,8,13,45
Marian Hossa,20122013,CHI,81,3,1,7,2,3,6,1,3,4
Drew Doughty,20122013,L.A,8,0,0,2,0,3,3,4,8,16
Justin Williams,20122013,L.A,14,2,1,3,1,8,7,0,5,5
Dustin Penner,20122013,L.A,25,0,0,2,2,4,4,1,0,3
Jonathan Quick,20122013,L.A,32,0,0,0,0,0,0,3,14,37
Jeff Carter,20122013,L.A,77,1,4,11,1,3,1,1,2,5
Jeremy Morin,20122013,CHI,27,0,0,3,0,2,5,4,8,16
Patrick Kane,20122013,CHI,88,0,4,9,4,13,5,2,1,7
Simon Gagne,20122013,L.A,12,0,0,0,2,1,1,0,1,1
Dustin Brown,20122013,L.A,23,0,1,8,1,2,2,3,2,6
Slava Voynov,20122013,L.A,26,0,1,3,1,4,6,1,5,15
Alec Martinez,20122013,L.A,27,0,0,1,0,0,3,0,2,6
Sheldon Brookbank,20122013,CHI,17,0,0,0,0,0,0,1,3,4
Bryan Bickell,20122013,CHI,29,1,2,6,2,6,6,0,1,1
Brandon Bollig,20122013,CHI,52,0,0,0,0,0,0,1,2,2
Michael Frolik,20122013,CHI,67,0,0,3,0,3,4,4,1,5
