Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
James Reimer,20132014,TOR,34,0,0,0,0,0,0,5,17,40
Tyler Bozak,20132014,TOR,42,1,5,12,6,13,11,3,14,16
Jake Gardiner,20132014,TOR,51,0,3,7,1,9,11,2,12,30
Phil Kessel,20132014,TOR,81,1,14,22,8,22,13,3,5,17
Carey Price,20132014,MTL,31,0,0,0,0,0,2,9,39,101
Francis Bouillon,20132014,MTL,55,0,0,2,1,1,2,3,13,14
Raphael Diaz,20132014,MTL,61,0,0,0,2,6,3,0,6,3
Lars Eller,20132014,MTL,81,2,3,7,2,6,6,1,3,11
Greg McKegg,20132014,Carl Gunnarsson,20132014,TOR,36,1,0,2,0,5,9,8,21,20
Carter Ashton,20132014,TOR,37,0,0,0,1,1,1,0,0,2
Nikolay Kulemin,20132014,TOR,41,1,2,6,2,5,4,3,4,5
Nazem Kadri,20132014,TOR,43,3,3,14,3,16,11,0,9,11
Brian Gionta,20132014,MTL,21,0,4,13,7,8,6,3,3,9
Jarred Tinordi,20132014,MTL,24,0,0,0,0,0,2,1,1,6
Max Pacioretty,20132014,MTL,67,2,9,28,2,15,4,0,7,16
Mason Raymond,20132014,TOR,12,0,7,12,4,12,10,7,5,15
Paul Ranger,20132014,TOR,15,1,1,4,4,2,2,0,8,13
Troy Bodie,20132014,TOR,40,0,0,3,2,1,4,0,1,4
Dave Bolland,20132014,TOR,63,2,1,5,0,3,1,1,2,1
Alex Galchenyuk,20132014,MTL,27,2,2,9,1,12,5,2,4,6
Cody Franson,20132014,TOR,4,1,0,4,3,12,13,4,16,26
James van Riemsdyk,20132014,TOR,21,3,4,23,6,12,13,1,17,20
Josh Gorges,20132014,MTL,26,0,0,1,2,6,4,2,8,20
Andrei Markov,20132014,MTL,79,1,1,5,3,18,15,7,14,46
P.K. Subban,20132014,MTL,76,1,2,7,6,13,24,6,14,44
Jay McClement,20132014,TOR,11,0,1,3,2,3,1,4,4,4
Daniel Briere,20132014,MTL,48,2,4,7,0,9,3,1,7,6
David Desharnais,20132014,MTL,51,1,3,12,5,17,14,3,8,16
Joffrey Lupul,20132014,TOR,19,0,8,14,2,11,9,6,7,12
Nicklas Backstrom,20132014,WSH,19,1,3,14,4,20,37,2,7,17
Troy Brouwer,20132014,WSH,20,2,2,21,0,7,11,4,10,34
Mike Green,20132014,WSH,52,0,1,8,1,19,9,2,10,29
Braden Holtby,20132014,WSH,70,0,0,0,0,0,2,6,22,94
Mikhail Grabovski,20132014,WSH,84,0,1,11,6,10,6,2,1,15
Niklas Hjalmarsson,20132014,CHI,4,0,1,2,4,4,14,6,13,21
Marcus Kruger,20132014,CHI,16,1,1,6,6,8,6,2,0,5
Joakim Nordstrom,20132014,CHI,42,0,1,0,1,1,0,0,0,2
Corey Crawford,20132014,CHI,50,0,0,0,0,0,1,11,33,115
Karl Alzner,20132014,WSH,27,0,0,2,3,2,11,6,6,20
Joel Ward,20132014,WSH,42,2,1,21,3,6,16,1,5,13
Jonathan Toews,20132014,CHI,19,3,6,19,1,24,15,4,7,35
Bryan Bickell,20132014,CHI,29,0,2,9,1,3,0,0,1,10
Michal Rozsival,20132014,CHI,32,0,1,0,0,3,4,2,6,17
Patrick Kane,20132014,CHI,88,1,3,25,1,23,16,2,4,14
Jeremy Morin,20132014,Johnny Oduya,20132014,CHI,27,0,0,3,1,3,8,9,12,22
Marian Hossa,20132014,CHI,81,4,1,25,5,14,11,3,7,17
Alex Ovechkin,20132014,WSH,8,0,8,43,0,17,11,0,2,26
Connor Carrick,20132014,WSH,58,0,0,1,0,0,5,1,1,7
Marcus Johansson,20132014,WSH,90,0,0,8,2,26,8,2,10,24
Brandon Saad,20132014,CHI,20,1,2,16,2,18,8,5,8,16
Michal Handzus,20132014,CHI,26,0,1,3,1,4,7,3,2,2
Brooks Laich,20132014,WSH,21,0,4,4,1,4,2,2,3,13
Jack Hillen,20132014,WSH,38,0,0,0,0,1,0,0,0,2
Brandon Bollig,20132014,CHI,52,0,3,4,0,6,1,1,3,11
Jason Chimera,20132014,WSH,25,0,2,13,2,16,9,3,5,11
Martin Erat,20132014,WSH,10,0,0,1,1,11,11,2,1,5
Eric Fehr,20132014,WSH,16,1,5,7,0,12,6,2,0,9
John Carlson,20132014,WSH,74,1,1,8,1,13,13,4,11,48
Nick Leddy,20132014,CHI,8,0,1,6,0,10,14,2,10,27
Andrew Shaw,20132014,CHI,65,1,3,16,0,8,11,4,10,34
Jimmy Hayes,20132014,CHI,22,0,0,0,0,0,0,0,0,1
Ondrej Pavelec,20132014,WPG,31,0,0,0,0,0,3,6,31,98
Dustin Byfuglien,20132014,WPG,33,2,0,18,3,14,19,2,15,20
Toby Enstrom,20132014,WPG,39,0,3,7,2,5,13,4,10,46
Devin Setoguchi,20132014,WPG,40,0,2,9,1,9,6,0,3,10
Mark Scheifele,20132014,WPG,55,2,2,9,2,8,11,2,5,15
Devan Dubnyk,20132014,EDM,40,0,0,0,0,0,0,3,18,58
Will Acton,20132014,EDM,41,0,0,3,1,0,1,0,0,0
Anton Belov,20132014,Oscar Klefbom,20132014,EDM,77,0,0,1,0,2,4,1,6,23
Ales Hemsky,20132014,EDM,83,0,2,7,2,8,6,0,3,7
Jim Slater,20132014,WPG,19,0,1,0,0,0,1,0,1,2
Zach Bogosian,20132014,WPG,44,0,0,3,0,5,3,4,15,25
Michael Frolik,20132014,WPG,67,0,5,10,2,14,11,7,5,10
Justin Schultz,20132014,EDM,19,0,1,10,1,11,10,1,13,32
Boyd Gordon,20132014,EDM,27,1,1,4,1,6,6,3,3,2
EDM,64,0,3,8,1,8,4,1,4,6
Jacob Trouba,20132014,WPG,8,1,3,6,1,8,10,2,15,24
Jordan Eberle,20132014,EDM,14,1,3,24,3,20,14,1,4,19
Mark Arcobello,20132014,EDM,26,0,0,4,4,3,7,1,0,3
David Perron,20132014,EDM,57,2,5,21,4,16,9,3,8,8
Andrew Ladd,20132014,WPG,16,1,3,19,6,12,13,2,8,20
Bryan Little,20132014,WPG,18,1,5,17,8,16,17,3,4,21
Blake Wheeler,20132014,WPG,26,1,6,21,3,24,14,2,4,10
Taylor Hall,20132014,EDM,4,1,7,19,6,19,28,0,3,16
Ladislav Smid,20132014,Mark Fraser,20132014,EDM,5,0,0,2,0,0,1,1,5,11
Ryan Smyth,20132014,EDM,94,1,3,6,0,6,7,4,1,14
Mark Stuart,20132014,WPG,5,0,1,1,2,2,7,3,15,22
Chris Thorburn,20132014,WPG,22,0,0,2,0,4,5,1,2,4
Eric Tangradi,20132014,WPG,27,0,0,3,0,2,1,1,2,2
Mike Brown,20132014,Steven Pinizzotto,20132014,EDM,13,0,0,0,0,1,1,0,1,0
Luke Gazdic,20132014,EDM,20,0,1,1,0,1,1,0,0,3
Tyler Pitlick,20132014,Nick Schultz,20132014,EDM,15,0,0,0,0,2,2,0,4,16
Olli Jokinen,20132014,WPG,12,0,3,15,5,14,6,2,7,8
James Wright,20132014,WPG,17,0,0,0,1,0,1,1,2,7
Andrew Ference,20132014,EDM,21,0,2,1,0,4,11,4,10,19
Jonathan Bernier,20132014,TOR,45,0,0,0,0,0,1,11,43,97
Nicklas Grossmann,20132014,PHI,8,0,0,1,2,4,7,3,15,19
Sean Couturier,20132014,PHI,14,2,4,7,4,11,10,4,4,13
Max Talbot,20132014,PHI,25,0,0,1,0,0,1,0,2,0
Steve Mason,20132014,PHI,35,0,0,0,0,0,1,12,29,133
Zac Rinaldo,20132014,PHI,36,0,0,2,0,2,0,0,3,3
Luke Schenn,20132014,PHI,22,0,1,3,1,5,2,5,3,29
Matt Read,20132014,PHI,24,2,4,16,0,8,9,2,4,6
Mark Streit,20132014,PHI,32,0,4,6,6,12,16,1,12,30
Vincent Lecavalier,20132014,PHI,40,0,3,17,0,12,5,1,6,5
Claude Giroux,20132014,PHI,28,4,4,20,3,23,32,2,11,19
Jakub Voracek,20132014,PHI,93,1,4,18,3,19,17,4,8,29
Cody Hodgson,20132014,BUF,19,2,5,13,2,16,6,0,2,10
Drew Stafford,20132014,BUF,21,1,5,10,2,11,5,2,4,10
Matt Moulson,20132014,Thomas Vanek,20132014,BUF,26,1,2,12,0,15,8,0,8,8
Ryan Miller,20132014,BUF,30,0,0,0,1,0,1,4,14,53
Rasmus Ristolainen,20132014,BUF,55,0,0,2,0,2,0,0,2,9
Pavel Datsyuk,20132014,DET,13,2,2,13,4,8,8,4,3,17
Jimmy Howard,20132014,DET,35,0,0,0,0,0,0,14,26,82
Henrik Zetterberg,20132014,DET,40,2,4,10,1,19,12,5,7,11
Jonathan Ericsson,20132014,DET,52,1,0,0,0,3,7,2,6,24
Niklas Kronwall,20132014,DET,55,0,0,8,3,10,28,8,13,41
Christian Ehrhoff,20132014,BUF,10,1,2,3,4,5,18,3,11,34
Mikhail Grigorenko,20132014,BUF,25,0,0,2,0,1,0,0,2,1
Zemgus Girgensons,20132014,BUF,28,1,2,5,4,6,4,2,4,8
Brian Flynn,20132014,BUF,65,0,2,4,1,4,2,2,4,2
Joakim Andersson,20132014,DET,18,0,1,7,2,3,4,2,1,4
Kyle Quincey,20132014,DET,27,0,0,4,4,0,5,2,17,20
Todd Bertuzzi,20132014,DET,44,2,0,7,0,4,3,2,7,19
DET,71,0,2,2,1,2,1,1,1,5
Henrik Tallinder,20132014,BUF,20,0,0,2,0,2,4,2,5,11
Tyler Myers,20132014,BUF,57,1,2,6,1,6,6,0,6,14
Cory Emmerton,20132014,DET,25,0,0,0,0,1,1,0,0,0
Mikael Samuelsson,20132014,DET,37,0,0,1,0,2,0,0,1,1
Nick Bonino,20132014,ANA,13,2,3,17,4,10,13,5,5,17
Francois Beauchemin,20132014,ANA,23,0,0,4,2,4,7,11,22,46
Viktor Fasth,20132014,ANA,30,0,0,0,0,0,0,2,1,7
Jakob Silfverberg,20132014,ANA,33,1,1,7,1,8,4,0,4,7
Matt Duchene,20132014,COL,9,2,3,18,7,24,16,2,1,16
Steve Downie,20132014,COL,17,0,0,1,1,3,2,3,0,4
Alex Tanguay,20132014,COL,40,0,1,3,0,1,6,0,1,7
Andre Benoit,20132014,COL,61,1,1,5,2,9,10,4,7,38
Ryan O'Reilly,20132014,COL,90,2,3,23,1,15,20,6,8,16
Andrew Cogliano,20132014,ANA,7,1,8,13,1,10,8,3,2,7
Saku Koivu,20132014,ANA,11,0,1,10,3,5,10,3,2,7
Daniel Winnik,20132014,ANA,34,1,3,2,4,15,5,1,3,9
Tyson Barrie,20132014,COL,4,0,3,10,1,10,14,0,8,33
Jamie McGinn,20132014,COL,11,0,1,18,2,8,9,4,7,15
Cory Sarich,20132014,COL,16,0,0,1,0,1,8,4,8,16
Nathan MacKinnon,20132014,COL,29,0,2,22,3,19,17,2,11,18
ANA,55,0,0,0,0,0,10,3,15,28
Teemu Selanne,20132014,ANA,8,0,1,8,1,9,8,0,1,15
Mathieu Perreault,20132014,ANA,22,0,2,16,1,13,11,1,3,10
Ryan Getzlaf,20132014,ANA,15,4,5,22,7,28,21,1,8,15
Matt Beleskey,20132014,ANA,39,1,3,5,3,6,6,0,4,11
Sami Vatanen,20132014,ANA,45,0,0,6,1,8,6,0,5,21
Nate Guenin,20132014,COL,5,0,0,1,0,4,4,0,9,25
John Mitchell,20132014,COL,7,1,0,10,3,10,8,2,1,13
Cody McLeod,20132014,COL,55,0,0,5,0,4,4,0,0,6
Mark Fistric,20132014,ANA,28,0,0,0,2,1,2,0,5,14
Erik Johnson,20132014,COL,6,1,1,7,3,12,15,5,7,44
Jan Hejda,20132014,COL,8,1,0,5,0,2,9,6,15,32
Pierre-Alexandre Parenteau,20132014,COL,15,0,2,12,1,10,8,4,4,11
Mark Barberio,20132014,T.B,8,0,0,5,0,0,5,2,3,18
Teddy Purcell,20132014,T.B,16,1,1,10,2,18,10,4,4,21
Alex Killorn,20132014,T.B,17,2,2,13,1,8,15,7,6,17
Anders Lindback,20132014,T.B,39,0,0,0,0,0,0,5,7,41
Valtteri Filppula,20132014,T.B,51,4,2,19,4,17,12,4,4,22
Daniel Paille,20132014,BOS,20,1,3,5,4,2,3,2,0,4
Shawn Thornton,20132014,BOS,22,0,2,3,0,2,1,0,3,3
Tuukka Rask,20132014,BOS,40,0,0,0,0,0,2,13,29,118
Torey Krug,20132014,BOS,47,0,1,13,0,10,16,4,7,27
Adam McQuaid,20132014,BOS,54,1,0,0,0,2,3,1,5,10
Tyler Johnson,20132014,T.B,9,1,6,17,2,11,13,1,4,24
Matthew Carle,20132014,T.B,25,0,0,2,2,9,18,6,17,32
Richard Panik,20132014,T.B,71,0,0,3,1,4,5,2,5,2
Ondrej Palat,20132014,T.B,18,0,3,20,6,20,10,4,9,18
Andrej Sustr,20132014,T.B,62,0,0,1,0,0,7,2,2,10
Victor Hedman,20132014,T.B,77,1,1,11,5,21,16,5,9,22
Milan Lucic,20132014,BOS,17,1,4,19,3,18,14,4,4,26
David Krejci,20132014,BOS,46,2,3,14,3,21,26,5,6,25
Damien Brunner,20132014,Tim Sestito,20132014,Reid Boucher,20132014,N.J,12,0,1,10,0,12,2,1,4,6
Patrik Elias,20132014,N.J,26,3,2,13,5,14,16,1,2,13
Anton Volchenkov,20132014,N.J,28,0,0,0,2,4,2,3,6,10
Ryane Clowe,20132014,N.J,29,0,1,6,3,11,5,1,2,6
Cory Schneider,20132014,N.J,35,0,0,0,0,0,0,4,14,67
Pascal Dupuis,20132014,PIT,9,0,1,6,1,9,2,1,2,6
Chris Kunitz,20132014,PIT,14,1,4,29,2,15,16,1,11,41
Marc-Andre Fleury,20132014,PIT,29,0,0,0,0,0,0,10,24,131
Robert Bortuzzo,20132014,PIT,41,0,0,0,2,3,4,1,4,14
