"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"abdelju8720142015","Justin.Abdelkader","RL","DET",71,20142015,27,"2.000","1.800",8,7,5,1,28,11,2,0,2,0,5,4,-0.31,196.39,205.8,48.83
"actonwi8720142015","Will.Acton","C","EDM",3,20142015,27,"0.650","0.665",0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,17.54,0.47
"adamscr7720142015","Craig.Adams","C","PIT",67,20142015,37,"0.850","0.700",0,0,0,0,0,0,0,0,0,0,2,0,-70.94,1.69,353.73,0.48
"adamxlu9020142015","Luke.Adam","L","CBJ",3,20142015,24,"0.650","0.650",1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,17.93,3.02
"agozzan9120142015","Andrew.Agozzino","LC","COL",1,20142015,23,"0.590","0.590",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,7.88,0
"akesoja9020142015","Jason.Akeson","R","PHI",13,20142015,24,"0.575","0.575",0,0,0,0,0,0,0,0,1,0,1,0,-16.55,3.62,68.08,5.06
"allenbr8020142015","Bryan.Allen","D","ANA/MTL",11,20142015,34,"3.500","3.500",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,38.73,0
"allenco9020142015","Conor.Allen","D","NYR",4,20142015,24,"0.925","0.925",0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,16.93,1.31
"altxxma9120142015","Mark.Alt","D","PHI",1,20142015,22,"0.790","0.782",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,5.83,0
"alzneka8820142015","Karl.Alzner","D","WSH",80,20142015,25,"2.800","2.800",0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,365.16,0.47
"anderjo8920142015","Joakim.Andersson","C","DET",68,20142015,25,"0.765","0.733",0,1,0,0,2,0,0,0,0,0,0,0,0,5.77,367.17,1.55
"anderjo9420142015","Josh.Anderson","RL","CBJ",6,20142015,20,"0.642","0.709",0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,33.25,0.15
"andrean9120142015","Andy.Andreoff","CL","L.A",18,20142015,23,"0.550","0.550",0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,76.88,1.46
"andrisv9320142015","Sven.Andrighetto","RL","MTL",12,20142015,21,"0.625","0.633",0,2,0,0,3,0,1,0,1,0,0,0,0,17.36,50.28,25.66
"angelmi8520142015","Mike.Angelidis","L","T.B",3,20142015,29,"0.650","0.650",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,11.47,0
"anisiar8820142015","Artem.Anisimov","C","CBJ",51,20142015,26,"3.100","3.283",3,6,4,0,13,7,4,0,5,0,0,1,0.76,79.27,163.26,32.68
"arcobma8820142015","Mark.Arcobello","CR","EDM/NSH/PIT/ARI",74,20142015,26,"0.600","0.600",1,4,2,1,12,6,6,0,5,0,3,1,-1.83,65.42,291.7,18.32
"armiajo9320142015","Joel.Armia","R","BUF",1,20142015,21,"0.925","0.902",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1.98,0
"arvidvi9320142015","Viktor.Arvidsson","LR","NSH",6,20142015,21,"0.615","0.632",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,35.73,0
"ashtoca9120142015","Carter.Ashton","L","TOR",7,20142015,23,"0.851","0.851",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,37.42,0
"atkinca8920142015","Cam.Atkinson","R","CBJ",77,20142015,25,"1.175","1.150",1,4,1,2,35,11,13,0,4,1,1,1,0,178,205.14,46.46
