"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"carteje8520112012","Jeff.Carter","CR","CBJ/L.A",55,20112012,26,"6.000","5.273",14,48,5,4,113,53,36,14,12,20,6,4,-0.15,790.54,1801.72,30.5
"sauermi8720112012","Michael.Sauer","D","NYR",19,20112012,24,"1.250","1.250",17,32,1,1,10,7,8,27,5,7,2,1,-0.2,299.7,567.75,34.55
"pitkajo8320112012","Joni.Pitkanen","D","CAR",30,20112012,27,"4.500","4.500",25,57,3,2,34,22,18,30,9,6,7,1,-0.76,475.57,904.98,34.45
"mcmilca8820112012","Carson.McMillan","RC","MIN",11,20112012,23,"0.565","0.555",19,15,1,1,7,6,5,9,0,2,2,0,-1.01,119.36,423.59,21.98
"janssca8420112012","Cam.Janssen","R","N.J",48,20112012,27,"0.525","0.525",72,21,1,0,17,5,2,3,4,2,5,1,-1.05,227.62,2077.74,9.87
"erixoti9120112012","Tim.Erixon","D","NYR",18,20112012,20,"0.900","0.900",15,33,1,1,6,5,4,13,2,1,4,2,-0.57,212.28,629.46,25.22
"widemde8320112012","Dennis.Wideman","D","WSH",82,20112012,28,"4.500","3.938",86,173,9,6,107,57,68,95,51,18,21,7,-0.57,1469.78,2493.97,37.08
"rosehja8520112012","Jay.Rosehill","L","TOR",31,20112012,26,"0.600","0.600",53,23,0,0,15,0,5,5,6,3,7,2,-1.63,183.98,1307.53,12.34
"osullpa8520112012","Patrick.O'Sullivan","RL","PHX",23,20112012,26,"NA","NA",7,21,1,0,23,11,9,4,2,5,1,2,0.29,210.26,906.45,18.83
"nessxaa9020112012","Aaron.Ness","D","NYI",9,20112012,21,"0.713","0.792",2,14,0,0,5,6,5,17,1,2,1,0,-0.42,141.54,309.93,31.35
"laakste8720112012","Teemu.Laakso","D","NSH",9,20112012,24,"0.675","0.675",7,18,0,0,3,1,6,7,6,0,4,1,-1.85,97.37,294.59,24.84
"mcbaija8820112012","Jamie.McBain","D","CAR",76,20112012,23,"0.735","0.685",12,77,6,6,69,41,71,93,32,25,1,5,0.2,1189.88,2437.56,32.8
"lilesjo8020112012","John-Michael.Liles","D","TOR",66,20112012,30,"4.550","4.200",55,92,2,6,63,30,57,102,41,13,7,8,0.05,1093.59,2091.59,34.33
"latengu8720112012","Guillaume.Latendresse","L","MIN",16,20112012,24,"2.600","2.500",34,13,3,1,22,11,8,3,3,12,7,2,-1.61,186.52,543.17,25.56
"konopze8120112012","Zenon.Konopka","CL","OTT",55,20112012,30,"0.700","0.700",54,38,1,1,31,9,8,11,11,3,11,7,-0.64,375.9,2213.02,14.52
"babchan8420112012","Anton.Babchuk","D","CGY",32,20112012,27,"2.500","2.500",16,20,3,3,28,15,31,44,10,8,1,1,0,365.73,1181.65,23.64
"nugenry9320112012","Ryan.Nugent-Hopkins","C","EDM",62,20112012,18,"0.925","0.925",34,45,8,6,86,39,47,31,24,32,4,6,0.14,857.92,2026.97,29.74
"gagnesa8920112012","Sam.Gagner","C","EDM",75,20112012,22,"2.275","2.275",19,74,14,9,103,59,51,23,25,25,7,3,-0.23,1042.73,2499.85,29.43
"zanongr8020112012","Greg.Zanon","D","BOS/MIN",56,20112012,31,"2.100","1.933",103,67,0,4,36,22,32,108,10,8,10,2,-0.55,866.9,1873.68,31.63
"stralan8620112012","Anton.Stralman","D","NYR",53,20112012,25,"0.900","0.900",72,76,4,5,43,14,30,64,10,8,7,2,-0.39,771.08,1760.57,30.46
"steckda8220112012","David.Steckel","C","TOR",76,20112012,29,"1.100","1.100",154,85,2,3,68,27,30,45,25,28,4,5,0.08,771.12,2922.07,20.88
"stamkst9020112012","Steven.Stamkos","CR","T.B",82,20112012,21,"8.000","7.500",102,79,15,7,158,63,78,31,34,37,19,24,0.22,1363.33,2553.04,34.81
"richami8520112012","Mike.Richards","CL","L.A",73,20112012,26,"6.600","5.750",87,58,6,6,91,62,62,30,25,31,12,13,0.06,924.73,2484.56,27.12
"crabbjo8320112012","Joey.Crabb","R","TOR",67,20112012,28,"0.750","0.750",94,94,6,8,59,31,30,25,24,19,6,10,0.31,774.08,2513.96,23.54
"lebdabr8220112012","Brett.Lebda","D","CBJ",30,20112012,29,"0.700","0.700",20,33,1,2,32,14,16,18,9,7,7,3,-0.54,440.56,955.57,31.56
"clitsgr8520112012","Grant.Clitsome","D","CBJ/WPG",63,20112012,26,"1.100","1.250",76,79,4,3,52,31,34,49,27,9,11,0,-0.77,861.6,2077.57,29.31
"mikkebr8720112012","Brendan.Mikkelson","D","T.B",41,20112012,24,"0.722","0.722",40,51,1,0,36,15,21,44,11,4,3,2,-0.12,511.7,1492.89,25.53
"kampfst8820112012","Steven.Kampfer","D","BOS/MIN",23,20112012,22,"0.635","0.635",17,34,2,1,16,12,18,29,6,3,3,1,-0.4,301.75,833.34,26.58
"byronpa8920112012","Paul.Byron","C","CGY",22,20112012,22,"0.570","0.555",26,10,1,1,10,3,5,2,9,8,1,4,0.82,220.11,874.85,20.1
"lecavvi8020112012","Vincent.Lecavalier","C","T.B",64,20112012,31,"10.000","7.727",94,54,11,7,104,39,48,26,22,22,11,10,-0.06,926.46,2118.63,30.42
"weissst8320112012","Stephen.Weiss","LC","FLA",80,20112012,28,"4.000","3.100",76,77,13,10,79,44,25,50,22,43,15,12,-0.16,1154.01,2700.93,29.94
"deshada8620112012","David.Desharnais","C","MTL",81,20112012,25,"0.750","0.850",31,53,15,8,55,16,29,41,18,32,7,10,0.16,1118.85,2605.12,30.04
"armstco8220112012","Colby.Armstrong","RL","TOR",29,20112012,28,"3.000","3.000",37,33,0,2,13,5,7,4,7,6,2,3,0.23,263.69,1149.61,18.66
"almonco8920112012","Cody.Almond","CL","MIN",10,20112012,22,"0.620","0.585",15,8,0,0,6,2,4,7,1,1,3,0,-1.98,90.85,404.39,18.34
"morribr7520112012","Brendan.Morrison","CL","CGY/CHI",39,20112012,36,"0.850","0.850",8,15,1,2,35,11,15,21,16,21,5,8,0.4,453.43,1416.38,24.25
"stonemi9020112012","Michael.Stone","D","PHX",13,20112012,21,"0.613","0.592",16,18,2,0,12,7,5,17,2,0,1,1,0,175.47,439.88,28.52
"skillja8720112012","Jack.Skille","RL","FLA",46,20112012,24,"0.825","0.825",95,59,6,0,65,26,29,16,6,10,5,10,0.58,515.85,1647.31,23.85
"jonesda8420112012","David.Jones","R","COL",72,20112012,27,"2.500","2.500",83,81,7,6,87,47,48,16,8,14,6,5,-0.07,913.52,2587.78,26.09
"hainsro8120112012","Ron.Hainsey","D","WPG",56,20112012,30,"5.000","4.500",26,72,6,2,44,23,40,105,21,5,8,1,-0.44,945.61,1793.67,34.52
"anisiar8820112012","Artem.Anisimov","C","NYR",79,20112012,23,"1.875","1.875",69,117,10,7,91,43,51,36,11,31,9,9,0,957.63,2777.84,25.64
"staplti8220112012","Tim.Stapleton","C","WPG",63,20112012,29,"0.525","0.525",25,35,5,4,53,21,8,21,4,19,3,3,0,516.49,2511.92,17.05
"rinalza9020112012","Zac.Rinaldo","LR","PHI",66,20112012,21,"0.560","0.540",173,92,5,2,51,17,22,18,9,4,23,14,-1.08,501.22,2458.03,16.94
"wallati8420112012","Tim.Wallace","R","NYI/T.B",49,20112012,27,"0.700","0.700",103,57,4,2,22,6,16,10,8,14,7,4,-0.43,416.21,2005.27,17.19
"setogde8720112012","Devin.Setoguchi","R","MIN",69,20112012,24,"2.750","3.000",69,48,3,4,118,35,61,21,16,24,10,15,0.32,951.05,2313.97,29.13
"niedeni9220112012","Nino.Niederreiter","LR","NYI",55,20112012,19,"0.900","0.870",127,55,0,0,71,23,21,13,12,21,2,5,0.33,540.73,2195.4,19.76
"hartite9020112012","Teemu.Hartikainen","LR","EDM",17,20112012,21,"0.875","0.875",36,27,2,1,22,5,7,10,5,4,3,2,-0.28,217.63,591.61,26.89
"boumala9020112012","Lance.Bouma","C","CGY",27,20112012,21,"0.595","0.565",45,27,2,0,23,15,7,24,6,8,0,4,0.9,266.36,1041.34,20.37
"smithde8420112012","Derek.Smith","D","CGY",47,20112012,26,"0.700","0.700",26,50,5,0,31,34,22,49,18,12,4,2,-0.18,652.76,1562.42,29.47
"schleda8720112012","David.Schlemko","D","PHX",46,20112012,24,"0.550","0.550",49,81,3,6,51,23,35,68,18,4,4,4,0,719.66,1517.2,32.17
"webermi8720112012","Mike.Weber","D","BUF",51,20112012,23,"0.900","0.950",110,61,1,3,43,13,50,74,32,13,13,5,-0.59,819.04,1668.78,32.92
"gordoan8520112012","Andrew.Gordon","R","ANA",36,20112012,25,"0.525","0.537",45,33,2,1,34,17,14,3,7,2,1,4,0.57,315.84,1329.57,19.2
"gerbena8720112012","Nathan.Gerbe","LR","BUF",62,20112012,24,"1.250","1.450",52,45,12,5,120,29,43,12,16,14,7,9,0.15,793.36,2196.93,26.53
"barchkr8020112012","Krys.Barch","L","DAL/FLA",51,20112012,31,"0.850","0.838",66,25,1,2,22,13,6,10,5,5,9,1,-1.29,370.9,2080.63,15.13
"potteco8420112012","Corey.Potter","D","EDM",62,20112012,27,"0.525","0.525",74,43,3,4,70,28,58,65,34,26,8,9,0.06,970.34,1974.3,32.95
"okposky8820112012","Kyle.Okposo","R","NYI",79,20112012,23,"1.000","2.800",47,114,10,6,113,54,47,30,27,58,10,9,-0.05,1139.05,2723.89,29.49
"nodlxan8720112012","Andreas.Nodl","LR","CAR/PHI",60,20112012,24,"0.845","0.845",67,59,4,1,59,35,24,14,11,22,1,5,0.36,659.86,2211.47,22.98
"mcdonry8920112012","Ryan.McDonagh","D","NYR",82,20112012,22,"0.875","0.875",99,75,10,9,92,47,57,139,47,31,18,9,-0.33,1619.15,2258.18,41.76
