Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Anze Kopitar,20142015,L.A,11,1,1,13,5,25,18,3,5,12
Dustin Brown,20142015,L.A,23,1,2,8,0,12,4,2,1,11
Jonathan Quick,20142015,L.A,32,0,0,0,0,0,1,9,36,136
Justin Braun,20142015,S.J,61,0,1,0,1,7,14,4,13,23
Justin Williams,20142015,L.A,14,0,1,17,1,9,13,2,6,17
Slava Voynov,20142015,L.A,26,0,0,0,1,0,1,0,0,2
Robyn Regehr,20142015,L.A,44,0,2,1,0,4,6,7,7,24
Dwight King,20142015,L.A,74,0,2,11,3,6,4,2,4,7
Tye McGinn,20142015,S.J,25,0,0,1,0,2,2,2,0,4
Scott Hannan,20142015,S.J,27,0,0,2,0,3,2,2,8,15
Chris Tierney,20142015,S.J,50,0,1,5,1,9,5,1,0,6
Tommy Wingels,20142015,S.J,57,0,1,14,3,11,7,2,5,7
Kyle Clifford,20142015,L.A,13,0,2,4,2,4,3,0,7,9
Trevor Lewis,20142015,L.A,22,0,1,8,1,7,8,2,1,5
Alec Martinez,20142015,L.A,27,1,0,5,1,8,7,3,8,19
Jarret Stoll,20142015,L.A,28,0,0,6,3,3,5,3,7,14
Mirco Mueller,20142015,S.J,41,0,0,1,0,1,2,1,4,10
Mike Richards,20142015,L.A,10,0,1,4,2,6,3,2,0,5
Alexander Wennberg,20142015,CBJ,41,1,0,3,2,7,7,0,4,13
Artem Anisimov,20142015,CBJ,42,1,1,5,1,13,5,1,2,9
Scott Hartnell,20142015,CBJ,43,0,5,23,4,17,11,5,4,22
David Savard,20142015,CBJ,58,0,0,11,1,9,15,4,13,35
Sergei Bobrovsky,20142015,CBJ,72,0,0,0,0,0,2,8,21,105
Josh Gorges,20142015,BUF,4,0,0,0,0,1,5,0,7,8
Zemgus Girgensons,20142015,BUF,28,1,2,12,2,3,10,0,2,10
Tyler Myers,20142015,BUF,57,0,0,4,0,4,5,0,6,21
Chris Stewart,20142015,BUF,80,1,3,7,3,8,3,1,3,5
Marcus Foligno,20142015,BUF,82,0,2,6,4,5,3,2,2,6
Fedor Tyutin,20142015,CBJ,51,0,0,3,0,4,8,3,7,23
Drew Stafford,20142015,BUF,21,0,2,7,1,7,7,0,0,4
Matt Moulson,20142015,BUF,26,0,2,11,2,15,11,5,1,12
Tyler Ennis,20142015,BUF,63,0,4,16,2,19,5,0,2,14
Tim Erixon,20142015,William Karlsson,20142015,CBJ,20,0,0,2,0,2,4,1,1,10
James Wisniewski,20142015,CBJ,21,0,0,8,1,11,9,5,7,24
Michael Chaput,20142015,CBJ,39,0,0,1,0,2,2,0,0,0
Jared Boll,20142015,CBJ,40,0,0,1,0,3,1,1,2,3
Cody McCormick,20142015,BUF,8,0,1,0,1,2,0,0,1,1
Torrey Mitchell,20142015,BUF,17,0,1,5,0,4,3,3,3,5
Andrej Meszaros,20142015,BUF,41,2,0,5,0,3,4,3,11,13
Nicolas Deslauriers,20142015,BUF,44,0,0,5,0,6,4,0,2,3
Andre Benoit,20142015,BUF,61,0,1,0,1,2,5,1,6,14
Cam Atkinson,20142015,CBJ,13,1,4,17,1,8,9,1,4,16
Ryan Johansen,20142015,CBJ,19,5,3,18,6,18,21,2,6,22
