Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Ben Bishop,20142015,T.B,30,0,0,0,1,0,1,0,2,37
Valtteri Filppula,20142015,T.B,51,0,0,2,0,6,8,0,3,11
Steven Stamkos,20142015,T.B,91,0,0,11,0,8,4,0,1,8
Derek MacKenzie,20142015,FLA,17,0,0,1,0,0,0,0,0,0
Ryan Callahan,20142015,T.B,24,0,0,10,0,4,2,0,3,8
Victor Hedman,20142015,T.B,77,0,1,2,0,2,6,0,1,0
Jussi Jokinen,20142015,FLA,36,0,0,2,0,3,4,0,0,5
Erik Gudbranson,20142015,FLA,44,0,0,0,0,1,3,0,0,3
Craig Anderson,20142015,OTT,41,0,0,0,0,0,0,0,0,18
Eric Gryba,20142015,OTT,62,0,0,0,0,0,0,0,0,0
Mark Borowiecki,20142015,OTT,74,0,0,0,0,0,0,0,0,0
Mika Zibanejad,20142015,OTT,93,0,0,4,0,4,6,0,1,6
Ryan Ellis,20142015,NSH,4,0,0,2,0,3,1,0,0,2
Filip Forsberg,20142015,NSH,9,1,0,5,0,6,7,1,1,4
Craig Smith,20142015,NSH,15,0,0,6,0,1,2,0,1,5
Derek Roy,20142015,NSH,21,0,0,0,0,1,1,0,0,0
Pekka Rinne,20142015,NSH,35,0,0,0,0,0,0,1,1,25
Cody Ceci,20142015,OTT,5,0,0,1,1,1,1,0,0,1
Milan Michalek,20142015,OTT,9,0,0,5,0,2,3,0,1,4
Alex Chiasson,20142015,OTT,90,0,0,3,0,3,0,0,0,8
Olli Jokinen,20142015,NSH,13,0,0,0,0,0,0,0,0,0
Paul Gaustad,20142015,NSH,28,0,0,0,0,0,0,0,0,0
Roman Josi,20142015,NSH,59,0,0,3,0,7,5,2,1,8
Brent Seabrook,20142015,CHI,7,0,1,3,0,4,6,0,0,8
Marcus Kruger,20142015,CHI,16,0,0,0,0,0,0,0,0,0
Ben Smith,20142015,CHI,28,0,0,0,0,0,0,0,0,1
Corey Crawford,20142015,CHI,50,0,0,0,0,0,0,0,1,33
Jamie Benn,20142015,DAL,14,0,2,8,0,8,5,0,1,17
Kari Lehtonen,20142015,DAL,32,0,0,0,0,0,1,0,3,35
Ales Hemsky,20142015,DAL,83,0,0,1,1,3,3,0,0,3
Jason Spezza,20142015,DAL,90,0,0,4,0,8,14,0,3,12
Tyler Seguin,20142015,DAL,91,0,0,13,0,12,4,0,2,6
Patrick Sharp,20142015,CHI,10,0,0,8,0,4,2,0,0,3
Jonathan Toews,20142015,CHI,19,0,0,6,0,4,6,0,0,16
Andrew Shaw,20142015,CHI,65,0,0,5,0,0,1,0,1,15
Patrick Kane,20142015,CHI,88,0,0,5,1,8,7,0,0,8
Ryan Garbutt,20142015,DAL,16,0,0,0,0,0,0,0,0,0
Cody Eakin,20142015,DAL,20,0,0,2,0,1,1,0,0,4
Alex Goligoski,20142015,DAL,33,0,0,0,2,3,3,0,0,7
Karri Ramo,20142015,CGY,31,0,0,0,0,0,0,0,1,16
Jordan Eberle,20142015,EDM,14,1,0,5,2,6,7,0,0,6
Justin Schultz,20142015,EDM,19,0,0,0,0,7,5,1,2,9
Ben Scrivens,20142015,EDM,30,0,0,0,0,0,1,1,2,24
Benoit Pouliot,20142015,EDM,67,0,0,4,0,3,0,1,1,4
Ryan Nugent-Hopkins,20142015,EDM,93,0,1,1,0,3,9,1,1,8
Paul Byron,20142015,CGY,32,0,0,1,0,0,0,0,0,1
Teddy Purcell,20142015,EDM,16,0,2,3,0,6,1,0,1,9
Leon Draisaitl,20142015,EDM,29,0,0,1,0,0,1,0,0,2
David Perron,20142015,EDM,57,0,0,0,0,3,1,0,0,2
EDM,59,0,0,1,0,0,0,0,0,1
TJ Brodie,20142015,CGY,7,0,0,3,0,2,3,0,0,5
Curtis Glencross,20142015,CGY,20,0,0,2,0,4,2,0,0,2
Jiri Hudler,20142015,CGY,24,0,0,5,0,6,3,0,1,14
Thomas Hickey,20142015,NYI,14,0,0,0,0,0,0,0,0,0
Cal Clutterbuck,20142015,NYI,15,0,0,0,0,1,0,0,0,0
Jaroslav Halak,20142015,NYI,41,0,0,0,0,0,0,1,2,35
Casey Cizikas,20142015,NYI,53,0,0,0,0,0,1,0,0,0
Nathan Gerbe,20142015,CAR,14,0,0,2,0,2,4,0,1,4
Elias Lindholm,20142015,CAR,16,0,1,3,0,4,7,0,1,7
Justin Faulk,20142015,CAR,27,0,2,5,1,6,5,0,0,7
Cam Ward,20142015,CAR,30,0,0,0,0,0,0,0,2,31
Victor Rask,20142015,CAR,49,0,0,2,0,4,5,0,2,12
Johnny Boychuk,20142015,NYI,55,0,0,5,0,5,5,1,1,8
Eric Staal,20142015,CAR,12,0,0,7,0,7,2,0,2,7
Jiri Tlusty,20142015,CAR,19,0,0,5,0,1,2,0,1,3
Riley Nash,20142015,CAR,20,0,0,1,1,3,1,0,0,6
Kyle Okposo,20142015,NYI,21,0,1,5,0,5,7,1,1,11
Brock Nelson,20142015,NYI,29,0,0,10,1,3,1,0,1,12
John Tavares,20142015,NYI,91,0,1,12,0,7,11,1,1,10
Tim Gleason,20142015,CAR,6,0,0,0,0,0,0,0,0,0
Jay McClement,20142015,CAR,18,0,0,0,0,0,0,0,0,2
Frans Nielsen,20142015,NYI,51,0,0,4,1,8,5,2,0,9
Brad Malone,20142015,CAR,24,0,0,0,0,0,0,0,0,0
Jay Harrison,20142015,CAR,44,0,0,0,0,0,0,0,0,0
Ron Hainsey,20142015,CAR,65,0,0,0,0,1,0,0,0,1
Nicklas Backstrom,20142015,WSH,19,0,0,3,0,14,16,2,0,8
Troy Brouwer,20142015,WSH,20,2,0,6,0,2,4,0,0,29
Braden Holtby,20142015,WSH,70,0,0,0,0,0,2,3,0,48
John Carlson,20142015,WSH,74,0,0,3,0,9,4,0,0,5
Marcus Johansson,20142015,WSH,90,0,0,3,0,1,11,2,0,21
Chris Kelly,20142015,BOS,23,0,0,0,0,0,0,0,0,0
Zdeno Chara,20142015,BOS,33,0,0,4,0,0,1,0,1,7
Adam McQuaid,20142015,BOS,54,0,0,0,0,0,0,0,0,0
Joel Ward,20142015,WSH,42,1,0,5,0,3,2,1,0,7
Mike Green,20142015,WSH,52,0,0,1,0,11,5,4,0,12
Andre Burakovsky,20142015,WSH,65,0,0,2,0,0,1,1,0,5
Evgeny Kuznetsov,20142015,WSH,92,0,1,3,0,5,4,1,0,4
Stephane Robidas,20142015,TOR,12,0,0,0,0,0,0,0,0,1
Leo Komarov,20142015,TOR,47,0,0,0,0,1,0,0,0,0
Blake Comeau,20142015,PIT,17,0,0,0,0,1,0,1,0,0
Nazem Kadri,20142015,TOR,43,0,0,3,0,2,2,0,0,6
Morgan Rielly,20142015,TOR,44,0,0,1,0,4,4,0,0,6
Jake Gardiner,20142015,TOR,51,0,0,0,0,1,7,0,0,5
David Clarkson,20142015,TOR,71,0,0,1,0,0,0,0,0,5
Roman Polak,20142015,TOR,46,0,0,0,0,0,0,0,0,0
Kyle Turris,20142015,OTT,7,0,0,4,1,6,5,0,0,11
Curtis Lazar,20142015,OTT,27,0,0,0,0,0,0,0,0,0
Robin Lehner,20142015,OTT,40,0,0,0,0,0,0,0,2,15
Jordin Tootoo,20142015,N.J,22,0,0,3,0,6,0,0,1,4
N.J,23,0,1,8,1,1,0,0,0,9
