"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"abdelju8720112012","Justin.Abdelkader","RL","DET",80,20112012,24,"0.825","0.787",1,1,0,0,0,1,0,0,2,1,0,0,0,9.72,454.8,2.09
"adamscr7720112012","Craig.Adams","C","PIT",80,20112012,34,"0.725","0.675",0,1,0,0,0,0,0,0,0,0,0,0,0,2.64,458.67,0.57
"adamxlu9020112012","Luke.Adam","L","BUF",51,20112012,21,"0.738","0.738",0,3,1,2,18,6,4,0,3,2,1,1,0,73.58,202.81,26.62
"alberan8120112012","Andrew.Alberts","D","VAN",43,20112012,30,"1.225","1.225",0,0,0,0,0,0,0,0,0,0,1,0,-19.73,3.04,247.78,1.21
"alfreda7220112012","Daniel.Alfredsson","R","OTT",74,20112012,38,"4.500","4.875",4,4,3,4,36,19,18,0,11,3,1,0,-0.27,219.9,186.59,54.1
"aliuxak8920112012","Akim.Aliu","R","CGY",2,20112012,22,"0.765","0.713",0,0,0,0,0,0,0,0,0,0,0,1,87.8,0.68,10.17,6.3
"allenbr8020112012","Bryan.Allen","D","CAR",81,20112012,31,"3.150","2.900",0,1,0,0,0,2,1,0,1,0,2,2,0,13.15,451.48,2.83
"almonco8920112012","Cody.Almond","CL","MIN",10,20112012,22,"0.620","0.585",0,1,0,0,0,0,0,0,0,0,1,0,-163.64,0.37,35.45,1.02
"alzneka8820112012","Karl.Alzner","D","WSH",79,20112012,22,"1.300","1.285",0,0,0,1,0,1,0,0,0,0,0,0,0,6.83,386.35,1.74
"anderjo8920112012","Joakim.Andersson","C","DET",4,20112012,22,"0.613","0.613",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,21.85,0
"angelmi8520112012","Mike.Angelidis","L","T.B",6,20112012,26,"0.525","0.525",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,35.67,0
"anisiar8820112012","Artem.Anisimov","C","NYR",78,20112012,23,"1.875","1.875",3,13,0,0,16,14,6,0,3,1,0,2,0.94,127.02,306.52,29.3
"antroni8020112012","Nik.Antropov","RC","WPG",67,20112012,31,"4.250","4.062",3,3,5,1,7,7,4,0,3,0,1,2,0.46,131.22,196.56,40.03
"armstco8220112012","Colby.Armstrong","RL","TOR",28,20112012,28,"3.000","3.000",0,0,0,0,0,0,0,0,0,0,0,1,19.05,3.15,143.31,2.15
"arnotja7420112012","Jason.Arnott","C","STL",72,20112012,36,"2.500","2.500",1,2,3,5,27,13,17,1,2,0,2,2,0,163.53,200.39,44.93
"ashamar7820112012","Arron.Asham","R","PIT",62,20112012,33,"0.775","0.775",0,0,0,0,0,1,1,0,0,0,1,0,-11.94,5.03,363.62,1.36
"ashtoca9120112012","Carter.Ashton","L","TOR",14,20112012,20,"0.900","0.840",0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,59.52,1.48
"atkinca8920112012","Cam.Atkinson","R","CBJ",27,20112012,22,"0.713","0.775",2,1,1,0,8,0,4,0,3,0,1,0,-0.85,70.96,111.49,38.89
"aucoiad7320112012","Adrian.Aucoin","D","PHX",63,20112012,38,"2.200","2.000",2,0,0,0,4,3,3,0,0,1,2,0,-4.21,28.53,285.52,9.09
"aucoike7820112012","Keith.Aucoin","C","WSH",26,20112012,32,"0.525","0.512",0,2,0,0,3,1,0,0,1,1,0,0,0,30.38,85.4,26.24
"aulieke8920112012","Keith.Aulie","D","T.B/TOR",35,20112012,22,"0.525","0.558",0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,186.18,0.25
"averyse8020112012","Sean.Avery","LR","NYR",15,20112012,31,"4.000","3.875",0,0,0,0,0,0,1,0,0,0,0,0,0,0.13,102,0.13
"babchan8420112012","Anton.Babchuk","D","CGY",31,20112012,27,"2.500","2.500",1,1,2,0,17,10,18,4,1,1,0,0,0,73.32,87.05,45.72
"backeda8420112012","David.Backes","RC","STL",82,20112012,27,"4.500","4.500",9,12,6,3,25,19,9,0,3,0,2,0,-0.62,194.31,222.29,46.64
"backlmi8920112012","Mikael.Backlund","C","CGY",40,20112012,22,"0.787","0.846",0,2,0,1,3,0,0,0,0,0,0,2,2.73,43.95,162.55,21.28
"backsni8720112012","Nicklas.Backstrom","C","WSH",41,20112012,23,"6.000","6.700",1,4,10,6,16,5,5,0,3,2,5,0,-2.17,138.47,84.24,62.17
"baertsv9220112012","Sven.Baertschi","LR","CGY",5,20112012,18,"0.925","0.925",0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,9.81,21.22
"bailejo8920112012","Josh.Bailey","RL","NYI",76,20112012,21,"0.800","1.050",0,7,3,0,11,2,3,2,5,2,1,0,-0.7,86.03,300.78,22.24
"ballake8220112012","Keith.Ballard","D","VAN",45,20112012,28,"4.200","4.200",1,0,0,0,0,0,1,0,1,0,0,0,0,9.37,270.98,3.34
"barchkr8020112012","Krys.Barch","L","DAL/FLA",51,20112012,31,"0.850","0.838",0,0,0,0,0,0,0,0,0,0,2,0,-90.57,1.32,264.38,0.5
"barkeca8620112012","Cam.Barker","D","EDM",24,20112012,25,"2.250","2.250",1,1,0,0,17,5,13,3,1,0,0,0,0,57.23,79.58,41.83
"barrity9120112012","Tyson.Barrie","D","COL",6,20112012,20,"0.615","0.715",0,0,0,0,1,0,3,1,2,0,0,0,0,12.14,10,54.84
"bartkma8820112012","Matt.Bartkowski","D","BOS",3,20112012,23,"0.685","0.660",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,20.43,0
"bassxco8720112012","Cody.Bass","R","CBJ",14,20112012,24,"0.600","0.600",0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,101.77,1.36
"beaglja8520112012","Jay.Beagle","RC","WSH",39,20112012,25,"0.525","0.512",0,0,0,0,1,0,0,0,0,0,0,0,0,2.67,176.03,1.5
"beaucfr8020112012","Francois.Beauchemin","D","ANA",80,20112012,31,"3.650","3.800",1,2,2,0,20,5,16,4,1,1,0,1,0.52,115.78,311.42,27.1
"belaner7720112012","Eric.Belanger","C","EDM",76,20112012,33,"2.000","1.750",0,3,3,1,9,6,9,1,1,2,0,0,0,81.86,316.18,20.57
"belesma8820112012","Matt.Beleskey","L","ANA",68,20112012,23,"0.625","0.738",1,2,1,0,0,1,1,0,0,0,1,0,-3.68,16.3,353.71,4.41
"bellxbr8320112012","Brendan.Bell","D","NYR",1,20112012,28,"0.525","0.525",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,7.83,0
"bellxma8020112012","Mark.Bell","CL","ANA",5,20112012,31,"0.575","0.575",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,25.57,0
"bennxja8920112012","Jamie.Benn","L","DAL",69,20112012,22,"0.670","0.630",4,16,5,3,23,15,10,0,5,2,4,0,-1.55,155.11,203.23,43.29
"bennxjo8720112012","Jordie.Benn","D","DAL",3,20112012,24,"0.550","0.550",0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,13.28,16.9
"bergema8020112012","Marc-Andre.Bergeron","D","T.B",43,20112012,30,"1.000","1.000",1,1,2,6,22,9,16,4,3,2,1,1,0,114.82,118,49.32
"bergepa8520112012","Patrice.Bergeron","C","BOS",80,20112012,26,"5.900","5.000",1,6,7,2,24,11,10,1,3,0,1,1,0,198.07,204.67,49.18
"bergese8420112012","Sean.Bergenheim","L","FLA",62,20112012,27,"2.750","2.750",8,9,0,0,19,6,6,0,0,1,3,0,-1.72,104.38,265.71,28.2
"bergfni8720112012","Niclas.Bergfors","RL","NSH",11,20112012,24,"0.575","0.575",0,0,0,0,3,0,0,0,0,0,0,0,0,6.46,55.58,10.41
"berglpa8820112012","Patrik.Berglund","C","STL",82,20112012,23,"2.100","2.250",6,3,3,1,36,24,17,3,6,3,2,0,-0.63,189.93,226.68,45.59
"bernist8520112012","Steve.Bernier","R","N.J",31,20112012,26,"0.525","0.525",0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,136.78,8.86
"bertuto7520112012","Todd.Bertuzzi","RL","DET",70,20112012,36,"1.625","1.938",3,2,1,3,11,7,1,0,3,1,3,0,-1.61,111.88,283.68,28.28
"bickebr8620112012","Bryan.Bickell","L","CHI",69,20112012,25,"0.525","0.542",2,4,0,0,3,0,0,1,1,1,1,0,-1.81,33.1,369.42,8.22
"bickest8620112012","Stu.Bickel","RD","NYR",51,20112012,24,"0.600","0.600",0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,261.98,0.29
"biekske8120112012","Kevin.Bieksa","D","VAN",75,20112012,30,"7.000","4.600",6,3,1,7,18,7,15,3,5,0,1,0,-0.48,125.67,299.73,29.54
"bissopa8520112012","Paul.Bissonnette","LR","PHX",29,20112012,26,"0.625","0.613",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,164.68,0.07
"bitzxby8420112012","Byron.Bitz","R","VAN",10,20112012,27,"0.700","0.700",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,48.63,0
"blakeja7320112012","Jason.Blake","L","ANA",44,20112012,38,"3.000","4.000",1,6,1,0,13,3,1,0,1,0,0,0,0,63.54,162.29,28.14
"blumxjo8920112012","Jonathon.Blum","D","NSH",33,20112012,22,"0.787","0.817",1,1,0,0,4,3,3,0,2,0,0,0,0,36.92,151.71,19.57
"blundmi8620112012","Mike.Blunden","RL","MTL",39,20112012,24,"0.615","0.615",0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,234.44,0.53
