"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"doughdr8920142015","Drew.Doughty","D","L.A",82,"20142015",24,"7.000","7.000",127,125,12,9,139,66,118,95,51,6,21,8,-0.45,1734.92,2236.9,43.68
"muzzija8920142015","Jake.Muzzin","D","L.A",76,"20142015",25,"1.000","1.000",170,174,10,9,109,57,99,88,55,14,9,9,0,1373.86,2316.93,37.22
"kopitan8720142015","Anze.Kopitar","C","L.A",79,"20142015",27,"7.500","6.800",90,89,15,9,92,37,42,34,28,24,4,14,0.55,1088.53,2742.97,28.41
"thornjo7920142015","Joe.Thornton","C","S.J",78,"20142015",35,"6.750","6.750",36,63,15,10,84,39,43,21,75,53,10,13,0.17,1070,2740.13,28.08
"ribeimi8020142015","Mike.Ribeiro","C","NSH",82,"20142015",34,"1.050","1.050",41,57,17,13,64,34,23,18,27,26,7,7,0,1220.26,2734.32,30.86
"keithdu8320142015","Duncan.Keith","D","CHI",80,"20142015",31,"7.600","5.538",15,117,7,8,95,46,101,83,51,35,8,1,-0.29,1472.92,2421.48,37.82
"tatarto9020142015","Tomas.Tatar","LR","DET",82,"20142015",23,"2.750","2.750",83,77,6,6,127,71,79,16,26,20,7,14,0.4,1061.31,2759.53,27.78
"bergepa8520142015","Patrice.Bergeron","C","BOS",81,"20142015",29,"8.750","6.875",46,81,12,6,158,48,66,45,20,38,15,10,-0.28,1058.62,2916.39,26.63
"staaler8420142015","Eric.Staal","CL","CAR",77,"20142015",29,"9.250","8.250",62,118,8,11,179,80,70,27,37,33,11,17,0.31,1162.77,2646.35,30.53
"gaborma8220142015","Marian.Gaborik","LR","L.A",69,"20142015",32,"6.075","4.875",37,66,8,5,112,43,44,5,35,16,6,6,0,922.16,2426.64,27.54
"forsbfi9420142015","Filip.Forsberg","LR","NSH",82,"20142015",20,"0.925","0.894",102,96,13,9,161,103,79,25,39,43,5,18,0.7,1114.23,2840.35,28.18
"datsypa7820142015","Pavel.Datsyuk","CL","DET",63,"20142015",36,"10.000","7.500",51,68,13,5,97,39,43,24,21,52,2,14,0.78,924.34,2030.74,31.28
"paveljo8420142015","Joe.Pavelski","RC","S.J",82,"20142015",30,"6.000","6.000",90,63,9,9,143,65,58,64,44,49,8,19,0.57,1167.62,2828.48,29.22
"williju8120142015","Justin.Williams","R","L.A",81,"20142015",32,"3.050","3.650",29,117,6,8,126,51,58,17,48,23,9,13,0.22,1096.8,2832.01,27.92
"faulkju9220142015","Justin.Faulk","D","CAR",82,"20142015",22,"2.500","4.833",124,101,10,8,152,50,95,88,35,52,8,5,-0.12,1505.55,2539.89,37.22
"leddyni9120142015","Nick.Leddy","D","NYI",78,"20142015",23,"3.400","2.700",60,68,5,10,83,33,50,82,31,32,4,2,-0.1,1258.03,2570.83,32.86
"ekholma9020142015","Mattias.Ekholm","D","NSH",80,"20142015",24,"1.038","1.038",49,140,3,7,69,18,72,82,39,25,17,6,-0.52,1275.77,2586.88,33.03
"stralan8620142015","Anton.Stralman","D","T.B",82,"20142015",28,"4.500","4.500",81,96,7,9,106,38,64,51,22,18,9,6,-0.14,1279.96,2584,33.13
"nealxja8720142015","James.Neal","RL","NSH",67,"20142015",27,"5.000","5.000",67,49,8,5,154,74,101,24,22,33,12,15,0.19,951.05,2283.21,29.41
"carteje8520142015","Jeff.Carter","CR","L.A",82,"20142015",29,"6.750","5.273",68,50,14,13,143,83,60,22,30,22,7,10,0.17,1035.45,2936.37,26.07
"crosbsi8720142015","Sidney.Crosby","C","PIT",77,"20142015",27,"12.000","8.700",59,92,18,11,144,59,40,21,36,29,13,18,0.26,1139.18,2498.01,31.32
"tavarjo9020142015","John.Tavares","C","NYI",82,"20142015",23,"6.000","5.500",44,86,19,6,164,73,77,32,76,85,14,13,-0.05,1282.38,2734.27,31.93
"marchbr8820142015","Brad.Marchand","L","BOS",77,"20142015",26,"4.500","4.500",63,110,12,4,133,53,61,20,38,36,28,18,-0.57,1057.11,2723.08,27.96
