Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Max Talbot,20132014,PHI,25,0,0,1,0,0,1,0,2,0
Steve Mason,20132014,PHI,35,0,0,0,0,0,1,8,24,85
Zac Rinaldo,20132014,PHI,36,0,0,2,0,2,0,0,3,3
Luke Schenn,20132014,PHI,22,0,1,3,0,5,2,5,3,28
Matt Read,20132014,PHI,24,0,2,13,0,7,8,1,4,2
Mark Streit,20132014,PHI,32,0,4,2,6,7,8,1,12,23
Vincent Lecavalier,20132014,PHI,40,0,3,9,0,8,3,1,6,3
Cody Hodgson,20132014,BUF,19,1,4,4,2,8,4,0,1,5
Drew Stafford,20132014,BUF,21,1,5,7,2,7,4,0,4,4
Thomas Vanek,20132014,BUF,26,0,2,8,0,9,5,0,7,1
Ryan Miller,20132014,BUF,30,0,0,0,1,0,0,0,12,33
Rasmus Ristolainen,20132014,BUF,55,0,0,2,0,2,0,0,2,7
Pavel Datsyuk,20132014,DET,13,1,2,7,2,5,6,4,3,7
Jimmy Howard,20132014,DET,35,0,0,0,0,0,0,12,22,52
Henrik Zetterberg,20132014,DET,40,2,2,7,1,10,7,5,4,5
Jonathan Ericsson,20132014,DET,52,1,0,0,0,3,6,2,5,21
Niklas Kronwall,20132014,DET,55,0,0,3,2,3,13,5,9,31
Christian Ehrhoff,20132014,BUF,10,0,1,2,4,3,7,2,9,17
Mikhail Grigorenko,20132014,BUF,25,0,0,2,0,0,0,0,2,1
Zemgus Girgensons,20132014,BUF,28,0,2,5,4,5,4,1,4,5
Brian Flynn,20132014,BUF,65,0,2,3,1,4,2,1,4,2
Joakim Andersson,20132014,DET,18,0,1,7,1,3,4,2,1,3
Kyle Quincey,20132014,DET,27,0,0,4,4,0,5,2,16,19
Todd Bertuzzi,20132014,DET,44,2,0,1,0,3,3,1,6,9
DET,71,0,2,2,0,1,0,1,1,3
Henrik Tallinder,20132014,BUF,20,0,0,2,0,2,4,0,5,10
Tyler Myers,20132014,BUF,57,1,1,3,1,2,3,0,6,10
Cory Emmerton,20132014,DET,25,0,0,0,0,1,1,0,0,0
Mikael Samuelsson,20132014,DET,37,0,0,1,0,0,0,0,1,0
Andrew Cogliano,20132014,ANA,7,1,1,13,0,9,8,2,2,6
Saku Koivu,20132014,ANA,11,0,0,9,0,5,10,3,1,6
Francois Beauchemin,20132014,ANA,23,0,0,3,2,4,5,8,15,40
Viktor Fasth,20132014,ANA,30,0,0,0,0,0,0,2,1,6
Daniel Winnik,20132014,ANA,34,0,2,2,3,14,5,0,1,9
Tyson Barrie,20132014,COL,4,0,2,7,0,9,8,0,7,22
Jamie McGinn,20132014,COL,11,0,1,13,2,6,7,3,6,9
Cory Sarich,20132014,COL,16,0,0,1,0,1,8,4,5,16
Nathan MacKinnon,20132014,COL,29,0,2,14,3,11,14,2,5,13
Alex Tanguay,20132014,COL,40,0,1,2,0,1,4,0,1,5
Teemu Selanne,20132014,ANA,8,0,1,4,0,7,7,0,1,13
Mathieu Perreault,20132014,ANA,22,0,1,12,1,11,8,1,3,7
Jakob Silfverberg,20132014,ANA,33,0,1,6,1,8,3,0,4,3
Matt Duchene,20132014,COL,9,1,1,13,6,17,11,2,1,7
Steve Downie,20132014,COL,17,0,0,0,0,2,2,2,0,2
Andre Benoit,20132014,COL,61,1,1,4,0,6,4,3,5,28
Ryan O'Reilly,20132014,COL,90,2,3,14,0,9,13,4,6,10
Ryan Getzlaf,20132014,ANA,15,3,5,16,7,15,16,1,7,7
Matt Beleskey,20132014,ANA,39,1,3,5,2,4,4,0,4,4
Sami Vatanen,20132014,ANA,45,0,0,4,1,4,4,0,4,20
Nate Guenin,20132014,COL,5,0,0,1,0,4,4,0,6,23
John Mitchell,20132014,COL,7,0,0,8,3,10,6,2,0,10
Cody McLeod,20132014,COL,55,0,0,4,0,4,4,0,0,6
Mark Fistric,20132014,ANA,28,0,0,0,1,0,2,0,3,14
Erik Johnson,20132014,COL,6,1,0,6,3,4,11,4,4,31
