Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Tomas Plekanec,20142015,MTL,14,0,2,13,4,10,7,2,1,9
Alex Galchenyuk,20142015,MTL,27,0,3,14,1,11,5,3,5,9
Nathan Beaulieu,20142015,MTL,28,0,0,1,0,2,4,3,5,15
Carey Price,20142015,MTL,31,0,0,0,0,0,1,9,24,88
Mike Weaver,20142015,MTL,43,0,0,0,0,0,4,1,2,7
Nazem Kadri,20142015,TOR,43,0,2,11,2,6,8,3,3,11
Jonathan Bernier,20142015,TOR,45,0,0,0,0,0,1,12,22,56
Roman Polak,20142015,TOR,46,0,1,3,0,1,3,3,5,14
Stuart Percy,20142015,TOR,50,0,0,0,0,1,0,0,1,2
Brandon Kozun,20142015,TOR,67,0,0,2,0,1,1,0,0,1
Alexei Emelin,20142015,MTL,74,0,0,3,1,2,8,3,6,18
P.K. Subban,20142015,MTL,76,0,1,6,3,8,18,6,10,24
Tyler Bozak,20142015,TOR,42,1,0,7,2,9,8,2,6,8
Morgan Rielly,20142015,TOR,44,2,2,3,0,7,6,5,11,14
Jake Gardiner,20142015,TOR,51,1,1,2,2,4,6,2,7,18
Phil Kessel,20142015,TOR,81,0,2,13,3,6,10,2,3,7
Jiri Sekac,20142015,MTL,26,1,1,6,2,3,7,0,2,9
Lars Eller,20142015,MTL,81,0,4,9,2,4,3,3,2,6
Leo Komarov,20142015,TOR,47,0,4,3,3,6,5,2,3,3
David Clarkson,20142015,TOR,71,0,0,8,0,1,4,4,1,6
David Desharnais,20142015,MTL,51,2,1,8,4,8,12,3,4,18
Max Pacioretty,20142015,MTL,67,0,3,20,1,10,10,2,5,7
Stephane Robidas,20142015,TOR,12,0,1,0,1,0,4,3,8,10
Joffrey Lupul,20142015,TOR,19,1,0,7,1,4,4,4,7,7
Tom Gilbert,20142015,MTL,77,1,1,2,0,3,5,3,7,22
Andrei Markov,20142015,MTL,79,0,3,2,2,8,8,6,10,33
Sean Couturier,20142015,PHI,14,0,4,7,0,10,6,1,2,14
Matt Read,20142015,PHI,24,0,1,5,1,8,9,0,2,11
Steve Mason,20142015,PHI,35,0,0,0,0,0,2,2,9,58
Andrew MacDonald,20142015,PHI,47,0,0,1,0,2,4,2,6,14
Jakub Voracek,20142015,PHI,93,2,1,7,2,20,14,0,1,8
Dougie Hamilton,20142015,BOS,27,0,1,4,4,3,15,3,4,21
Zdeno Chara,20142015,BOS,33,0,0,3,0,3,4,1,8,20
Carl Soderberg,20142015,BOS,34,2,0,6,2,13,12,3,3,11
Tuukka Rask,20142015,BOS,40,0,0,0,0,0,0,11,19,92
Brad Marchand,20142015,BOS,63,0,3,16,0,13,4,3,7,4
Michael Del Zotto,20142015,PHI,15,0,0,8,1,7,6,2,4,18
Luke Schenn,20142015,PHI,22,1,1,1,2,3,5,1,5,15
Claude Giroux,20142015,PHI,28,1,3,7,0,12,11,1,3,15
Chris Kelly,20142015,BOS,23,1,0,4,1,8,8,5,2,6
Torey Krug,20142015,BOS,47,0,2,7,0,7,8,5,6,24
Adam McQuaid,20142015,BOS,54,0,0,1,0,2,4,3,4,13
Alexander Edler,20142015,VAN,23,0,0,3,1,3,9,1,9,26
Shawn Matthias,20142015,VAN,27,2,4,10,1,3,2,1,4,2
Ryan Miller,20142015,VAN,30,0,0,0,0,0,0,5,17,60
Jannik Hansen,20142015,VAN,36,0,2,9,0,10,4,3,2,7
VAN,51,1,1,3,3,6,7,2,3,8
Kris Russell,20142015,CGY,4,0,0,3,0,7,9,2,15,44
Joe Colborne,20142015,CGY,8,0,1,5,5,6,5,1,1,6
Johnny Gaudreau,20142015,CGY,13,1,0,15,2,11,11,2,10,12
Deryk Engelland,20142015,CGY,29,0,1,1,1,2,4,1,7,11
Paul Byron,20142015,CGY,32,0,2,3,0,4,7,2,3,5
Radim Vrbata,20142015,VAN,17,1,1,14,2,12,6,0,3,6
Ryan Stanton,20142015,VAN,18,0,1,2,2,2,4,4,4,15
Daniel Sedin,20142015,VAN,22,0,1,13,1,18,11,1,1,6
Henrik Sedin,20142015,VAN,33,0,1,7,1,15,17,1,3,10
Mark Giordano,20142015,CGY,5,1,0,6,1,10,14,3,3,20
TJ Brodie,20142015,CGY,7,0,0,7,1,9,9,3,9,34
Mikael Backlund,20142015,CGY,11,0,1,6,1,7,7,1,1,8
Lance Bouma,20142015,CGY,17,0,3,12,3,8,5,2,3,6
Mason Raymond,20142015,CGY,21,0,2,10,0,7,3,0,4,2
Linden Vey,20142015,VAN,7,0,2,4,1,5,6,2,5,5
Zack Kassian,20142015,VAN,9,0,2,7,1,3,2,2,3,3
Derek Dorsett,20142015,VAN,15,2,1,2,1,4,6,1,1,3
Dennis Wideman,20142015,CGY,6,0,4,5,1,6,18,3,10,29
Ladislav Smid,20142015,CGY,15,0,0,0,0,0,1,1,3,3
Curtis Glencross,20142015,CGY,20,1,0,6,0,6,6,2,1,10
Sean Monahan,20142015,CGY,23,1,1,16,1,11,8,2,3,11
Jiri Hudler,20142015,CGY,24,0,3,20,1,21,12,1,2,8
Antti Niemi,20142015,S.J,31,0,0,0,0,0,3,6,23,80
Logan Couture,20142015,S.J,39,1,2,13,3,11,5,2,6,8
Marc-Edouard Vlasic,20142015,S.J,44,0,2,6,0,4,5,4,11,18
Justin Braun,20142015,S.J,61,0,1,0,1,6,12,4,8,18
Matt Nieto,20142015,S.J,83,0,3,4,0,8,5,3,5,7
Justin Williams,20142015,L.A,14,0,1,12,1,5,8,2,6,12
Slava Voynov,20142015,L.A,26,0,0,0,0,0,0,0,0,2
Jonathan Quick,20142015,L.A,32,0,0,0,0,0,0,6,30,93
Robyn Regehr,20142015,L.A,44,0,2,1,0,3,6,6,5,21
Dwight King,20142015,L.A,74,0,2,11,3,5,3,2,3,7
Tye McGinn,20142015,S.J,25,0,0,1,0,1,2,2,0,4
Scott Hannan,20142015,S.J,27,0,0,2,0,3,2,2,6,14
Chris Tierney,20142015,S.J,50,0,1,4,0,8,3,1,0,5
Tommy Wingels,20142015,S.J,57,0,0,8,2,6,5,1,3,5
Kyle Clifford,20142015,L.A,13,0,2,4,2,4,3,0,7,9
Trevor Lewis,20142015,L.A,22,0,0,8,1,7,7,2,1,3
Alec Martinez,20142015,L.A,27,1,0,4,1,4,7,3,7,15
Jarret Stoll,20142015,L.A,28,0,0,3,1,2,5,3,6,9
Mirco Mueller,20142015,S.J,41,0,0,1,0,1,2,1,3,10
Brent Burns,20142015,S.J,88,1,2,7,2,13,9,2,6,24
Drew Doughty,20142015,L.A,8,1,1,4,1,11,10,7,10,28
Mike Richards,20142015,L.A,10,0,1,3,2,4,2,2,0,5
Alexander Wennberg,20142015,CBJ,41,0,0,2,2,4,6,0,3,7
Artem Anisimov,20142015,CBJ,42,1,1,5,0,9,4,0,1,7
Scott Hartnell,20142015,CBJ,43,0,4,13,3,14,6,4,3,10
David Savard,20142015,CBJ,58,0,0,8,0,5,9,4,12,22
Sergei Bobrovsky,20142015,CBJ,72,0,0,0,0,0,2,6,17,65
Josh Gorges,20142015,BUF,4,0,0,0,0,1,4,0,6,6
Zemgus Girgensons,20142015,BUF,28,0,2,9,1,3,8,0,2,3
Tyler Myers,20142015,BUF,57,0,0,3,0,2,3,0,6,11
Chris Stewart,20142015,BUF,80,1,2,3,2,6,1,1,3,4
Marcus Foligno,20142015,BUF,82,0,2,6,4,4,2,2,2,4
Fedor Tyutin,20142015,CBJ,51,0,0,3,0,3,6,0,6,21
Drew Stafford,20142015,BUF,21,0,2,5,0,6,4,0,0,2
Matt Moulson,20142015,BUF,26,0,2,8,2,9,7,3,1,6
Tyler Ennis,20142015,BUF,63,0,3,9,2,10,3,0,1,8
Tim Erixon,20142015,CBJ,20,0,0,1,0,1,1,1,1,7
James Wisniewski,20142015,CBJ,21,0,0,1,0,7,5,4,6,13
Michael Chaput,20142015,CBJ,39,0,0,1,0,2,2,0,0,0
Jared Boll,20142015,CBJ,40,0,0,1,0,3,1,1,2,3
Cody McCormick,20142015,BUF,8,0,0,0,1,2,0,0,1,1
Torrey Mitchell,20142015,BUF,17,0,1,5,0,4,3,2,3,4
Andrej Meszaros,20142015,BUF,41,2,0,4,0,3,3,2,9,10
Nicolas Deslauriers,20142015,BUF,44,0,0,5,0,5,4,0,2,2
Andre Benoit,20142015,BUF,61,0,0,0,1,1,5,1,5,14
Adam Henrique,20142015,N.J,14,1,3,6,1,7,6,3,1,10
Michael Ryder,20142015,N.J,17,1,1,4,1,7,3,1,2,3
Jordin Tootoo,20142015,N.J,22,0,2,1,1,3,3,2,7,12
Ryane Clowe,20142015,N.J,29,0,0,1,0,2,1,0,1,1
Cory Schneider,20142015,N.J,35,0,0,0,0,0,2,5,19,60
PHI,18,0,0,7,1,4,1,0,2,5
Vincent Lecavalier,20142015,PHI,40,1,1,5,1,5,3,1,2,4
Bryce Salvador,20142015,N.J,24,0,0,0,0,2,0,0,0,3
Brayden Schenn,20142015,PHI,10,1,1,9,1,10,6,0,1,9
Wayne Simmonds,20142015,PHI,17,0,0,13,3,3,6,3,1,7
Mark Streit,20142015,PHI,32,0,0,5,0,8,8,3,8,26
Damon Severson,20142015,N.J,28,2,0,3,0,0,5,0,2,15
Travis Zajac,20142015,N.J,19,0,0,4,1,6,3,3,3,11
N.J,23,1,2,9,0,5,7,2,2,6
Jaromir Jagr,20142015,N.J,68,0,4,5,1,8,3,3,2,5
Jon Merrill,20142015,N.J,7,0,0,0,2,1,6,1,9,10
Dainius Zubrus,20142015,N.J,8,0,0,4,0,2,2,3,5,8
Martin Havlat,20142015,N.J,9,0,0,2,0,3,3,1,2,2
Patrik Elias,20142015,N.J,26,0,1,7,2,6,6,1,0,1
Ben Lovejoy,20142015,ANA,6,0,1,0,0,3,5,0,3,8
Tim Jackman,20142015,ANA,18,0,1,4,0,0,2,0,2,1
John Gibson,20142015,ANA,36,0,0,0,0,0,0,7,10,26
