name,0,1,2,3
bennja01,356.087577194,-25.8928486957,-3.67784517811,-5.26178560021
getzlry01,129.059602228,-3.2508692713,-4.24129277772,6.49777791786
keithdu01,112.727870863,14.1475723506,5.41670168333,-0.375045180098
ovechal01,505.822809282,-58.5770556969,-13.9577026565,-4.46378852588
perryco01,295.076570272,-13.1220852496,-7.94969390069,-4.43675449045
toewsjo01,66.9787246656,-15.3223164975,3.15042621223,14.3043200773
fatadr01,-152.308173788,-17.1236830381,-1.64242617485,-26.1939549727
gocma01,-26.1824182362,5.7004579409,3.97535824367,1.83432107627
hemskal01,184.222758878,-4.43804894036,-2.03085715418,-0.0417683653861
hollwry01,-61.0327821499,31.1673092507,11.2897414415,-9.82997234916
johnsaa01,-112.472428034,-0.0201426485424,1.60046573513,-8.16947299682
jokinju01,69.4214364392,6.36981208254,19.4225357818,2.44754066749
jurcimi01,-10.1987502333,26.5996184124,10.8065536278,-3.22198078975
keithma01,-155.318374007,-33.3360255343,32.1987775636,-4.45225761458
koivumi01,73.9576855621,0.280325310036,-13.6402421332,3.63541652194
kovalil01,363.407388417,-23.1264127958,-18.8659506865,-8.82002568723
krajilu01,-90.9880455848,7.17102143094,-3.23420175816,-1.53647483323
laichbr01,36.4708409563,25.8390409934,12.4591513615,5.77885235585
mccleja01,22.0256249393,33.5288669763,-5.68707047297,-2.70014369065
mccorco01,-74.5347742809,9.57537344194,-14.3508724998,-3.17734059671
nolanbr01,-157.758318984,-14.8080903059,0.780968566978,-30.1163985586
novotji01,-7.86938566158,19.0368866089,0.452967313248,1.63030600147
paetsna01,-66.0765901966,18.3154753711,12.8140862332,0.859711941285
perrajo01,-10.4240477225,0.678390012757,4.67963466691,-0.450602877468
plihato01,-98.6770182254,-14.723348906,9.65291549124,4.76514833587
royde01,210.900040091,-7.37385649845,3.55226252453,8.5655112392
ruututu01,37.7270033492,18.5155976528,15.1096356536,5.2776330573
sjostfr01,19.2825451439,20.202343169,-4.29051038239,3.21756442964
spezzja01,213.566298936,-9.10452368362,3.24900266667,3.68290253229
spillma01,-147.024330275,-13.6851825355,-11.634931615,-2.51405429987
thorbch01,-46.5298406628,37.1369125108,-6.23693779076,-1.94394311188
tootojo01,36.2792965846,5.56804552816,8.88336175648,7.56103514029
tyutife01,100.688331803,12.6954037049,16.056970988,-3.36080551224
weissst01,77.7931018184,10.7340996204,7.76468521592,3.31541480975
wellwky01,-48.1143112219,13.3691920594,17.5007609657,9.29093685911
woywije01,-109.540813899,-2.65922221174,-3.83225319261,2.93113637293
babchan01,123.985034231,0.31745271173,7.73084990062,5.59284278971
bennja01,356.087577194,-25.8928486957,-3.67784517811,-5.26178560021
bergese01,87.9019310412,-1.34823087568,-8.61301635377,1.09288986454
bouchpi02,55.5446741102,12.8608215676,3.0824630871,5.62300945517
bouwmja01,178.811014515,6.21216072921,-4.60600906597,-5.3629000501
boychjo01,-155.423611257,-21.9497112068,8.20610275466,-10.1684205319
campbgr01,30.8601307946,29.3313291138,1.26951357355,-4.22696207256
chriser01,76.6123513476,2.6651286102,-11.7086501697,-6.69606087156
daleytr01,26.6335452012,27.2666287814,11.3748871574,-0.778298604572
deveaan01,-137.122753605,-7.25867267251,8.72878726216,-14.487606812
eagerbe01,-130.679197142,5.90830462366,2.53179313358,-16.4079812548
emingst01,-137.733692437,-10.0686836006,10.4149923468,-4.43848044047
ericsjo01,-113.848214995,-12.8611574657,4.3431204167,-4.21900730644
filppva01,58.9972467142,19.6234342332,9.80224472749,6.56730640205
fleisto01,57.973218833,11.0909826272,13.0957625977,10.5237474015
foyma01,-103.848110696,0.0309588693121,-11.6514419536,8.24372960217
goertst01,-135.33200663,-8.92336935468,-7.25065560278,6.77420716733
gordobo01,12.1632193945,19.4362960353,-5.48692818149,4.3593652562
grebede01,-50.0084729941,29.5244295744,7.6478786141,7.72880189144
greenma01,-74.222532474,8.96340989555,4.44825155076,-7.69731503614
higgich01,244.464816628,-3.6428425844,-7.5195502806,-6.65603720486
hudleji01,51.270587694,14.3244096584,33.0746530465,6.45047331168
janssca01,-116.738805178,27.2038773463,9.29935197022,-11.7093779524
jonesma01,-108.370440672,21.7114905392,-15.6293773034,-13.1354249977
keithdu01,112.727870863,14.1475723506,5.41670168333,-0.375045180098
lindsjo01,-114.034496663,-6.46311583655,3.89378888803,7.73182627937
lupuljo01,118.971528976,-8.11806842764,-12.0561631088,-3.64752296416
nashri01,315.195926295,-20.7305559373,-7.08753350074,-1.76936488265
nielsfr01,31.7439114912,6.04915270317,-2.33302883758,3.38775957141
nystrer01,-77.7462894152,8.86839511115,2.76365634118,-5.16785191958
paillda01,-7.63987227214,26.4728834646,5.90842882522,1.60039994494
pitkajo01,48.4625212232,8.26604269175,-4.76672830393,0.173703819433
rangepa01,-6.2204412327,-4.53820717046,-7.45843354626,2.71141422681
romeaa01,-127.120938118,-5.89339984127,-16.0983342657,1.07700378299
seminal01,277.385028803,-35.2043660337,2.17319144231,4.38039985547
stajama01,65.3529766366,21.7168450642,6.39106337899,7.41833135172
steenal01,106.988372293,16.6623615233,-0.0304710306638,-6.64670127956
talboma01,20.2598339507,27.8034384083,-7.05939926958,1.23130740479
toewsjo01,66.9787246656,-15.3223164975,3.15042621223,14.3043200773
tolleol01,-136.782969291,-12.4229804867,11.322824994,2.29510630604
upshasc01,57.8562942878,3.57829232942,-4.39336750073,11.401864401
whiteia01,160.275246786,-4.68204674078,0.807521377675,-2.8728205591
whitnry01,71.0085308541,19.1911326243,-4.84173822437,-3.09737380656
