name,0,1,2,3,4,5
andrisv01,93.8673706307,-1.80667668774,18.5785971452,-3.22812859725,-4.75148605059,4.06341763675
baptini01,99.0378052035,-11.2310257171,12.1873943477,-0.755173332735,-12.218016769,1.81793446831
barkoal01,39.3180785367,8.29028213522,1.03051890982,4.15598604836,8.81177201171,4.19420718824
bertuty01,108.336527023,3.42873543305,-6.2263438533,5.42516184271,-16.2672061941,-0.764625478364
bjorkol01,111.868431165,17.5096429966,1.34302519591,2.78920172276,-16.7257729363,-13.9441491154
buchnpa01,79.9362855304,-12.9299144503,17.7132121418,9.83359522533,20.5428845448,0.804272791109
burakan01,36.0868190005,6.60736796881,1.66448676659,6.46645213208,3.3393846736,0.830356116808
coppan01,13.974196503,-24.2503755211,-13.5897854299,-38.7590826932,5.82164223802,0.249071433744
danoma01,19.6523916808,8.90886797419,7.2995641112,-7.61692677994,1.56000804193,-3.39982233844
dauphla01,84.4161110716,-15.270552645,-15.4331782777,12.4162102069,13.6394539864,-1.68060194858
domima01,26.1371151756,2.40871369219,3.58667748881,10.2278156741,4.56203950719,2.56692991264
drouijo01,41.6162337847,10.7110931861,4.17535280093,8.59844354032,6.4987598849,-0.681081920271
duclaan01,63.5917667665,9.9296542622,3.16541013005,-2.97407612074,-8.66746676757,7.07982589327
faschhu01,112.394334344,4.23975479958,-8.67208974793,8.05665240096,-3.49201860714,-7.4865466272
harpube01,112.220510703,-5.04737396753,-11.2311464886,13.0456102346,-4.88169652563,8.31262905524
hartmry01,106.620401345,28.8905509546,11.078334537,-2.95452346421,-22.1625924948,2.3142594902
jonesse01,-236.653772538,8.90559978964,-8.13028040132,7.2369687841,1.86123570979,0.491598660877
lazarcu01,105.505220464,-5.37686126378,-13.4310557506,14.1097942175,-3.26780943391,-1.99611609394
lehkoar01,59.4687813066,-15.651296428,-9.78347628911,18.9243278143,3.47273396447,1.76897490795
lindhel01,-188.967255849,5.21408237071,-4.905696008,-5.50036735058,4.39929248652,-3.38728548717
mackina01,-17.1348851177,14.6270712124,8.1957368874,16.1848881064,7.19382942734,2.17818735101
manthan01,86.1137872954,19.7476198229,18.077001576,-2.81005801668,0.903982494264,-12.519795489
monahse01,-228.878954111,-1.82179574949,5.79712803974,2.05859661564,-3.21156228689,-1.90103549719
morrijo04,46.8487449981,-1.3186616151,-7.47889729487,6.23373153402,9.18376092818,5.14091534735
mottety01,65.333919673,-23.4741190875,-8.43309794874,12.9496990423,5.1597789755,3.16979082918
nurseda01,38.2011104323,4.25578630685,1.78969252578,3.27566180458,0.748916555431,1.41131769366
olofsgu01,112.220301067,-6.61173789165,-14.2225667374,18.7792881659,6.16363866291,0.650881790061
pescebr01,-73.6804706156,-4.67485496137,-13.1017386741,-13.179846805,0.135377224534,1.26160373899
petanni01,80.5556857942,14.9571986893,6.22342376762,2.35391081009,12.5963342679,-0.396123928901
poiriem01,107.847871408,48.3694829937,16.2182156417,-2.92771358389,19.8132475526,-9.34056827752
pulocry01,73.0947346718,5.18170343094,14.8483838595,0.885023934511,8.10884716987,4.66713053816
ristora01,-281.580242311,-6.40365548413,-12.0965569122,21.5493021242,-7.00134155118,-0.035340020505
rycheke01,56.7859100868,-13.0961955395,-9.29209532871,-2.94000299867,0.317624711031,4.71364674288
shinkhu01,92.6128300281,-15.348495537,3.15946966698,14.9418747133,15.8724329175,-12.9642912074
slepyan01,99.528474512,6.23116896263,-7.30784270202,4.18480486092,-6.55270282229,-9.09334052291
theodsh01,87.6515737597,6.24900980707,-7.51998046856,10.7675243457,-4.43849915567,-0.352728867782
wennbal01,-64.0019537748,-2.38674594606,-5.32603296888,-18.8738063385,3.07273803785,1.76054930291
woodmi01,108.214758243,-18.2470069574,35.4754508431,1.17493538037,-13.0803539762,-1.76555039646
zadorni01,73.6819939095,-1.90781827918,-14.9191702059,7.74092023008,6.15515783475,-1.48496970895
arvidvi01,98.3662109475,9.03664901895,-3.14951116012,8.04045067747,-2.95704284903,2.47171365903
deangan01,90.9809133796,-3.80582937742,8.26584500921,5.96193270263,-6.73101621582,6.78857982754
draisle01,29.238862241,-0.462840575821,13.060559185,2.82008318925,5.81008213165,-0.256832503284
fabbrro01,51.4415325258,4.31769001983,12.1777205813,-2.80505600405,-4.55387052091,-4.10382295171
heineda01,106.739908126,17.2975205431,-0.0825965313333,2.06164487393,-2.69521771952,-1.1382433235
honkaju01,90.5523605061,27.3115158878,2.0532711444,10.7396225921,30.5937884028,-7.76384553808
kaseon01,97.7837557998,19.3139698244,3.1016564405,2.6228933294,-0.51508247262,2.8940085676
labanke01,86.8006044867,7.82447243526,16.1275834928,-0.0207358748984,6.18881656071,7.00903799057
reinhsa01,27.9109197325,6.92842202279,7.582504092,5.15392960169,2.10174974057,2.22003332612
ritchni01,35.9071389262,7.66060669421,12.2973181166,2.46859863098,5.41942312278,1.72751378087
tryamni01,79.8339892761,-6.10027943522,0.883552901942,8.28578653783,-6.21297014809,4.46995928109
simondo01,114.23266406,46.5232829388,21.1853895263,-12.7645884636,-8.92816361363,-3.84073629498
bennja01,-216.444712445,3.99613982821,10.060279582,8.5044531441,-8.65737416506,-1.07862781623
toewsjo01,-189.992939295,8.7011381875,9.79380656327,-5.61310409346,2.79816810654,-1.78205556757
bennja01,-216.444712445,3.99613982821,10.060279582,8.5044531441,-8.65737416506,-1.07862781623
toewsjo01,-189.992939295,8.7011381875,9.79380656327,-5.61310409346,2.79816810654,-1.78205556757
barkeca01,14.4926125542,-14.4617272263,0.401112848168,-10.6205377919,-3.48779061327,0.51503595456
