name,0,1
andrisv01,7.18936426092,10.3403742108
carriwi01,-105.395786035,15.4492891032
coppan01,-101.062817088,-17.5670586426
danoma01,-94.8381470386,-7.96186189077
gabriku01,-129.56380532,-7.9665467021
guentja01,-115.329416319,33.9980236846
hartmry01,-71.1423522592,6.39469142834
jonesse01,-74.5685072586,9.70447803538
lindhel01,-46.1355229619,12.3876783985
manthan01,-95.6177064819,9.65514584135
monahse01,-32.5666629542,14.4810275142
pescebr01,-59.7513443462,6.53086441574
quineal01,-117.332149646,12.9260053802
ristora01,-13.757267217,-2.1879181021
sanfoza01,-95.5076353279,2.65545437196
shinkhu01,-118.833703044,-17.3960552155
slepyan01,-93.588648683,5.62895806744
sorenni01,-120.696274706,6.89063571492
wennbal01,-79.1706583226,10.591480187
arvidvi01,104.345732946,2.36784984591
tryamni01,-91.2554843062,6.19325710291
nutivma01,-83.8194855613,14.0604611671
bennja01,243.010711588,5.72345516952
getzlry01,182.511568457,5.57651977731
ovechal01,643.81210551,57.6463938432
perryco01,203.642724392,12.027084118
toewsjo01,223.457400938,11.5912015342
bennja01,243.010711588,5.72345516952
toewsjo01,223.457400938,11.5912015342
bergepa01,-83.5492606155,6.2734353556
bernist01,87.5536818665,-11.1125359172
burnsbr01,220.516178271,-11.6909268927
byfugdu01,156.674471472,3.68160197093
coburbr01,120.632397221,-21.1260273389
crombbj01,-119.250728857,22.3946893379
dawesni01,78.0332072919,4.34563035402
erikslo01,79.6125014441,-4.01313280872
fehrer01,-57.8747086861,16.1531769312
fritsda01,33.1766762213,-19.7706866142
getzlry01,182.511568457,5.57651977731
hennejo01,-128.144588031,11.6167312724
hortona01,261.692039241,2.14715974269
jacquje01,-123.312712285,0.14334327154
kostian01,156.844301947,-9.99419433527
lapiema01,-19.2913894765,-29.0899812794
lojekma01,-127.660614368,28.5208970127
macarcl01,-41.4943362536,-12.8953264189
methoma01,-110.624382804,18.8106953657
osullpa01,273.201312245,0.733276260967
perryco01,203.642724392,12.027084118
phanedi01,375.713877082,21.668166444
picaral01,-77.158458348,-2.87149889514
poulima01,-66.7931779665,3.10688438872
quincky01,-119.496980638,10.131976716
richabr02,-75.2051188633,-11.8097362653
richami02,293.112299171,-8.56916663974
ruzicst01,-109.170391381,-9.33444531458
seabrbr01,130.973793993,-15.0684941933
stonery01,-124.123087324,11.3761388387
stortza01,-57.1539825565,-33.1804872702
webersh01,179.678690917,8.38062713154
barkeca01,110.583151728,-0.181569894541
bollada01,75.1283077724,-26.5894154449
borerca01,-114.673377784,17.8732526349
bourqch01,-122.326073777,29.1974624396
boyddu01,25.6649979488,-17.0754007811
brownmi02,-110.705436172,-20.272225453
callary01,16.1283003366,-3.97311608132
chipcky01,-116.502838739,3.38551385941
comeabl01,40.810479767,-13.7589894061
dowelja01,-102.25600752,3.66050060163
dubinbr01,186.050627689,-0.713644128222
earlro01,-115.290258202,-8.70206317609
edleral01,214.987527056,-5.2223108384
fistrma01,-64.503264385,-7.8250882465
goligal01,-126.257286038,4.77964804389
greenmi03,337.601143094,19.108424096
hanseja01,3.04019284486,-19.73745919
hunwima01,-117.409071808,-9.18691381244
kaletpa01,-58.9193770924,-24.2793473283
karsuma01,-89.5524210468,-11.6344460747
kaspalu01,-121.696802637,20.8768072379
kennety01,164.437237316,-2.61964514623
korpila01,-13.4757271051,-15.8227201032
laddan01,72.2554450332,-10.8396966052
lisinen01,56.7284090789,0.745743035987
malkiev01,406.915163283,28.7228881078
meszaan01,233.148688994,1.67232150409
nokelpe01,-56.6387025846,-19.1809190875
oleszro01,79.9678721806,-3.96751108177
oneilwe01,-128.743281278,19.0177282887
ovechal01,643.81210551,57.6463938432
picaral02,-128.072409645,-7.13806355373
polakro01,51.8490217464,-22.900867992
porteke01,-63.8458404816,-11.8164386253
reddoli01,-128.594146424,-29.6530269186
reginpe01,-109.112936826,9.18512120693
schrero01,-123.847499663,19.9568151767
schulje02,-20.5866672018,-17.2500815622
sekeran01,73.7114538427,-8.9552503845
smidla01,-53.3015525972,-27.5330947921
staffdr01,42.2198621577,-12.8218464405
stewagr01,-106.121066353,-1.27684657239
valabbo01,-71.9541697032,-34.5117832488
vernami01,-109.322324396,0.427957817349
verstkr01,104.968901606,-5.86273420976
wheelbl01,115.218312373,-13.5894260571
winnida01,62.4879095249,-21.5880447319
wolskwo01,160.456804147,-13.8124257296
zajactr01,167.34843844,-3.92187716826
abdelju01,17.5290661248,8.11907559409
bassco01,-119.907276504,12.8914885817
bergfni01,179.85009031,-6.47442932469
bliznma01,-130.240110212,-13.9091108118
bollja01,13.248047916,-27.8336371744
brulegi01,-106.602822948,13.3454871728
butlech01,-48.5378971394,-22.0115273885
chornta01,-50.9145914784,-26.491484334
cluneri01,-119.357493928,-8.28501235807
coglian01,119.915183924,-20.9021031925
crosbsi01,373.824623415,24.7637666809
cumisky01,-125.034643319,31.0860424941
dagosma01,64.5271883117,-4.0022084723
downist01,65.8753686627,-15.9094326572
fransco01,97.6403795892,0.704627972489
gerbena01,-83.9858239777,9.07415845698
hanzama01,140.58313064,-16.7972732242
helmda01,-85.7019466611,20.0261090827
hensitj01,-52.7729078267,-4.28245759154
hjalmni01,51.6210895246,-16.2067404157
hornqpa01,-43.4403052069,6.18434786863
johnsja02,-21.0245509281,-8.55851915049
joslide01,-80.6861644013,-10.0379317453
kenneti01,-128.275987959,8.00638285417
kindlja01,-127.893332707,-18.302264652
kohndu01,-106.658565212,-6.88284346618
kopitan01,328.625978942,13.0268819184
kostise01,-14.2079417719,-16.7616729527
