name,0,1,2,3,4
bennja01,356.087577194,-25.8928486957,-3.67784517811,-5.26178560021,-5.52790418728
getzlry01,129.059602228,-3.2508692713,-4.24129277772,6.49777791786,-0.664178122389
keithdu01,112.727870863,14.1475723506,5.41670168333,-0.375045180098,2.11235990264
ovechal01,505.822809282,-58.5770556969,-13.9577026565,-4.46378852588,-5.05857318996
perryco01,295.076570272,-13.1220852496,-7.94969390069,-4.43675449045,-0.214310502784
toewsjo01,66.9787246656,-15.3223164975,3.15042621223,14.3043200773,-4.79299606852
fatadr01,-152.308173788,-17.1236830381,-1.64242617485,-26.1939549727,-8.73525233903
gocma01,-26.1824182362,5.7004579409,3.97535824367,1.83432107627,5.22128599574
hemskal01,184.222758878,-4.43804894036,-2.03085715418,-0.0417683653861,-1.76088665031
hollwry01,-61.0327821499,31.1673092507,11.2897414415,-9.82997234916,-1.04861668919
johnsaa01,-112.472428034,-0.0201426485424,1.60046573513,-8.16947299682,3.52578753626
jokinju01,69.4214364392,6.36981208254,19.4225357818,2.44754066749,-6.82869055006
jurcimi01,-10.1987502333,26.5996184124,10.8065536278,-3.22198078975,7.78416118037
keithma01,-155.318374007,-33.3360255343,32.1987775636,-4.45225761458,3.0442956626
koivumi01,73.9576855621,0.280325310036,-13.6402421332,3.63541652194,5.62782107571
kovalil01,363.407388417,-23.1264127958,-18.8659506865,-8.82002568723,-16.978891373
krajilu01,-90.9880455848,7.17102143094,-3.23420175816,-1.53647483323,-1.42799087733
laichbr01,36.4708409563,25.8390409934,12.4591513615,5.77885235585,-12.2335824708
mccleja01,22.0256249393,33.5288669763,-5.68707047297,-2.70014369065,-0.354436970086
mccorco01,-74.5347742809,9.57537344194,-14.3508724998,-3.17734059671,2.08781326204
nolanbr01,-157.758318984,-14.8080903059,0.780968566978,-30.1163985586,-13.3814327464
novotji01,-7.86938566158,19.0368866089,0.452967313248,1.63030600147,0.543067117461
paetsna01,-66.0765901966,18.3154753711,12.8140862332,0.859711941285,3.52901042737
perrajo01,-10.4240477225,0.678390012757,4.67963466691,-0.450602877468,-1.23825461867
plihato01,-98.6770182254,-14.723348906,9.65291549124,4.76514833587,1.67326088397
royde01,210.900040091,-7.37385649845,3.55226252453,8.5655112392,-2.41934656883
ruututu01,37.7270033492,18.5155976528,15.1096356536,5.2776330573,-0.863078900611
sjostfr01,19.2825451439,20.202343169,-4.29051038239,3.21756442964,-1.88120307889
spezzja01,213.566298936,-9.10452368362,3.24900266667,3.68290253229,-9.04894212387
spillma01,-147.024330275,-13.6851825355,-11.634931615,-2.51405429987,11.6072771934
thorbch01,-46.5298406628,37.1369125108,-6.23693779076,-1.94394311188,-0.477396745562
tootojo01,36.2792965846,5.56804552816,8.88336175648,7.56103514029,-1.06778978989
tyutife01,100.688331803,12.6954037049,16.056970988,-3.36080551224,5.76646590158
weissst01,77.7931018184,10.7340996204,7.76468521592,3.31541480975,-0.682806153983
wellwky01,-48.1143112219,13.3691920594,17.5007609657,9.29093685911,-6.5072582548
woywije01,-109.540813899,-2.65922221174,-3.83225319261,2.93113637293,-0.313698436281
babchan01,123.985034231,0.31745271173,7.73084990062,5.59284278971,-2.46374859806
bennja01,356.087577194,-25.8928486957,-3.67784517811,-5.26178560021,-5.52790418728
bergese01,87.9019310412,-1.34823087568,-8.61301635377,1.09288986454,-0.0458038603176
bouchpi02,55.5446741102,12.8608215676,3.0824630871,5.62300945517,-0.74106325782
bouwmja01,178.811014515,6.21216072921,-4.60600906597,-5.3629000501,1.94417089798
boychjo01,-155.423611257,-21.9497112068,8.20610275466,-10.1684205319,-3.31499203742
campbgr01,30.8601307946,29.3313291138,1.26951357355,-4.22696207256,4.27634922904
chriser01,76.6123513476,2.6651286102,-11.7086501697,-6.69606087156,-3.88968526321
daleytr01,26.6335452012,27.2666287814,11.3748871574,-0.778298604572,3.87104669508
deveaan01,-137.122753605,-7.25867267251,8.72878726216,-14.487606812,-2.62949295394
eagerbe01,-130.679197142,5.90830462366,2.53179313358,-16.4079812548,-1.83154349316
emingst01,-137.733692437,-10.0686836006,10.4149923468,-4.43848044047,5.89849346155
ericsjo01,-113.848214995,-12.8611574657,4.3431204167,-4.21900730644,0.623026661732
filppva01,58.9972467142,19.6234342332,9.80224472749,6.56730640205,3.12672384359
fleisto01,57.973218833,11.0909826272,13.0957625977,10.5237474015,-3.96078779528
foyma01,-103.848110696,0.0309588693121,-11.6514419536,8.24372960217,-1.2798006812
goertst01,-135.33200663,-8.92336935468,-7.25065560278,6.77420716733,-4.11114778342
gordobo01,12.1632193945,19.4362960353,-5.48692818149,4.3593652562,5.93431350486
grebede01,-50.0084729941,29.5244295744,7.6478786141,7.72880189144,2.72168183696
greenma01,-74.222532474,8.96340989555,4.44825155076,-7.69731503614,5.94666602341
higgich01,244.464816628,-3.6428425844,-7.5195502806,-6.65603720486,-5.72669431079
hudleji01,51.270587694,14.3244096584,33.0746530465,6.45047331168,-2.35073559503
janssca01,-116.738805178,27.2038773463,9.29935197022,-11.7093779524,-8.27525929619
jonesma01,-108.370440672,21.7114905392,-15.6293773034,-13.1354249977,5.23601550185
keithdu01,112.727870863,14.1475723506,5.41670168333,-0.375045180098,2.11235990264
lindsjo01,-114.034496663,-6.46311583655,3.89378888803,7.73182627937,-6.22965578574
lupuljo01,118.971528976,-8.11806842764,-12.0561631088,-3.64752296416,-6.07213630542
nashri01,315.195926295,-20.7305559373,-7.08753350074,-1.76936488265,-7.93367859584
nielsfr01,31.7439114912,6.04915270317,-2.33302883758,3.38775957141,1.79275525775
