Year,Name,Order,Team,Pos,Games,TOI,TOIPG
20142015,Nicolas Deslauriers,388,BUF,LW,82,973,11.87
20142015,Brooks Laich,389,WAS,C,66,971,14.71
20142015,Tomas Fleischmann,390,ANH,LW,66,970,14.70
20142015,Cal Clutterbuck,391,NYI,RW,76,967,12.72
20142015,Bryan Bickell,392,CHI,LW,80,966,12.08
20142015,Kris Versteeg,393,CHI,LW,61,966,15.84
20142015,Benoit Pouliot,394,EDM,LW,58,964,16.62
20142015,Dale Weise,395,MON,RW,79,962,12.18
20142015,David Jones,396,CGY,RW,67,960,14.33
20142015,Scott Gomez,397,NJ,C,58,957,16.50
20142015,Brian Strait,398,NYI,D,52,955,18.37
20142015,Kyle Brodziak,399,MIN,C,73,952,13.04
20142015,Derek Dorsett,400,VAN,RW,79,951,12.04
20142015,Michael Raffl,401,PHI,LW,67,951,14.19
20142015,Calle Jarnkrok,402,NSH,C,74,950,12.84
20142015,Scott Hannan,403,SJ,D,58,946,16.31
20142015,James Sheppard,404,NYR,C,71,941,13.25
20142015,Matt Beleskey,405,ANH,LW,65,941,14.48
20142015,Brian Flynn,406,MON,C,63,939,14.90
20142015,Kyle Chipchura,407,ARI,C,70,937,13.39
20142015,Jiri Sekac,408,ANH,LW,69,936,13.57
20142015,Matt Hendricks,409,EDM,LW,71,933,13.14
20142015,Blake Comeau,410,PIT,LW,61,932,15.28
20142015,John Moore,411,ARI,D,57,929,16.30
20142015,Jonathan Drouin,412,TB,LW,70,926,13.23
20142015,R.J. Umberger,413,PHI,C,67,925,13.81
20142015,Marcus Foligno,414,BUF,LW,57,924,16.21
20142015,Mikael Backlund,415,CGY,C,52,922,17.73
20142015,Torrey Mitchell,416,MON,RW,65,922,14.18
20142015,Cody McLeod,417,COL,LW,82,917,11.18
20142015,Leo Komarov,418,TOR,C,62,911,14.69
20142015,Ryan Garbutt,419,DAL,RW,67,908,13.55
20142015,Alexander Semin,420,CAR,RW,57,907,15.91
20142015,Paul Gaustad,421,NSH,C,73,907,12.42
20142015,Steve Ott,422,STL,C,78,907,11.63
20142015,Patrick Dwyer,423,CAR,RW,71,906,12.76
20142015,Boyd Gordon,424,EDM,C,68,906,13.32
20142015,Lee Stempniak,425,WPG,RW,71,903,12.72
20142015,Colton Sceviour,426,DAL,C,71,902,12.70
20142015,Matt Irwin,427,SJ,D,53,902,17.02
20142015,Peter Holland,428,TOR,C,62,900,14.52
20142015,Matt Calvert,429,CLS,LW,56,895,15.98
20142015,Steve Downie,430,PIT,RW,72,895,12.43
20142015,Rickard Rakell,431,ANH,C,71,892,12.56
20142015,Stephane Robidas,432,TOR,D,52,887,17.06
20142015,Richard Panik,433,TOR,RW,76,885,11.64
20142015,Matt Martin,434,NYI,LW,78,879,11.27
