,name,url,height,weight,shot,pos,draft
0,Vincent Lecavalier,/players/l/lecavvi01.html,193,215,L,C,1st
1,David Legwand,/players/l/legwada01.html,188,207,L,C,2nd
2,Brad Stuart,/players/s/stuarbr02.html,188,215,L,D,3rd
3,Bryan Allen,/players/a/allenbr01.html,196,223,L,D,4th
4,Vitaly Vishnevski,/players/v/vishnvi01.html,188,215,L,D,5th
5,Rico Fata,/players/f/fatari01.html,183,205,L,R,6th
6,Manny Malhotra,/players/m/malhoma01.html,188,220,L,C,7th
7,Mark Bell,/players/b/bellma01.html,190,220,L,C,8th
8,Mike Rupp,/players/r/ruppmi01.html,196,243,L,C,9th
9,Nik Antropov,/players/a/antroni01.html,198,245,L,C,10t
10,Jeff Heerema,/players/h/heereje01.html,188,212,R,R,11t
11,Alex Tanguay,/players/t/tangual01.html,185,194,L,L,12t
12,Patrick DesRochers,/players/d/desropa01.html,190,209,a,G,14t
13,Mathieu Chouinard,/players/c/chouima02.html,185,211,a,G,15t
14,Eric Chouinard,/players/c/chouier01.html,190,215,L,L,16t
15,Martin Skoula,/players/s/skoulma01.html,190,226,L,D,17t
16,Dmitri Kalinin,/players/k/kalindm01.html,190,210,L,D,18t
17,Robyn Regehr,/players/r/regehro01.html,190,222,L,D,19t
18,Scott Parker,/players/p/parkesc01.html,196,240,R,R,63r
19,Mathieu Biron,/players/b/bironma02.html,198,230,R,D,21s
20,Simon Gagne,/players/g/gagnesi01.html,185,195,L,L,22n
21,Milan Kraft,/players/k/kraftmi01.html,193,212,R,C,23r
22,Christian Backman,/players/b/backmch01.html,193,210,L,D,24t
23,Jiri Fischer,/players/f/fischji01.html,196,225,L,D,25t
24,Mike Van Ryn,/players/v/vanrymi01.html,185,213,R,D,26t
25,Scott Gomez,/players/g/gomezsc01.html,180,198,L,C,27t
26,Ramzi Abid,/players/a/abidra01.html,188,210,L,L,28t
27,Jonathan Cheechoo,/players/c/cheecjo01.html,185,200,R,R,29t
28,Kyle Rossiter,/players/r/rossiky01.html,190,220,L,D,30t
29,Artem Chubarov,/players/c/chubaar01.html,185,205,L,C,31s
30,Stephen Peat,/players/p/peatst01.html,190,230,R,R,32n
31,Blair Betts,/players/b/bettsbl01.html,190,210,L,C,33r
32,Andrew Peters,/players/p/peteran01.html,193,240,L,L,34t
33,Petr Svoboda,/players/s/svobope02.html,190,200,R,D,35t
34,Chris Nielsen,/players/n/nielsch01.html,188,204,R,R,36t
35,Christian Berglund,/players/b/berglch01.html,180,195,L,L,37t
36,Philippe Sauve,/players/s/sauveph01.html,183,188,a,G,38t
37,John Erskine,/players/e/erskijo01.html,193,220,L,D,39t
38,Ossi Vaananen,/players/v/vaanaos01.html,193,215,L,D,43r
39,Mike Fisher,/players/f/fishemi01.html,185,216,R,C,44t
40,Mike Ribeiro,/players/r/ribeimi01.html,183,179,L,C,45t
41,Justin Papineau,/players/p/papinju01.html,180,205,L,C,46t
42,Norm Milley,/players/m/milleno01.html,183,211,R,R,47t
43,Jonathan Girard,/players/g/girarjo01.html,180,201,R,D,48t
44,Jaroslav Kristek,/players/k/kristja01.html,185,188,L,R,50t
45,Bobby Allen,/players/a/allenbo01.html,183,201,L,D,52n
46,Steve Moore,/players/m/moorest01.html,188,205,R,C,53r
47,Ryan Barnes,/players/b/barnery01.html,185,201,L,L,55t
48,Tyler Bouck,/players/b/bouckty01.html,183,196,L,C,57t
49,Chris Bala,/players/b/balach01.html,185,196,L,L,58t
50,Denis Arkhipov,/players/a/arkhide01.html,190,214,L,C,60t
51,Joe DiPenta,/players/d/dipenjo01.html,188,199,L,D,61s
52,Paul Manning,/players/m/mannipa01.html,193,205,L,D,62n
53,Lance Ward,/players/w/wardla01.html,190,210,L,D,10t
54,Brad Richards,/players/r/richabr01.html,183,199,L,C,64t
55,Jason LaBarbera,/players/l/labarja01.html,190,232,a,G,66t
56,Alex Henry,/players/h/henryal01.html,198,231,L,D,67t
57,Jarkko Ruutu,/players/r/ruutuja01.html,185,204,L,R,68t
58,Erik Cole,/players/c/coleer01.html,188,210,L,L,71s
59,Dmitry Afanasenkov,/players/a/afanadm01.html,188,209,R,L,72n
60,Julien Vauclair,/players/v/vauclju01.html,183,205,L,D,74t
61,Francois Beauchemin,/players/b/beaucfr01.html,185,208,L,D,75t
62,Mike Pandolfo,/players/p/pandomi01.html,190,225,L,L,77t
63,Peter Nordstrom,/players/n/nordspe01.html,185,200,L,C,78t
64,Brian Gionta,/players/g/giontbr01.html,170,178,R,R,82n
65,Matt Walker,/players/w/walkema01.html,193,215,R,D,83r
66,Alexei Ponikarovsky,/players/p/ponikal01.html,193,225,L,L,87t
67,Ryan Jardine,/players/j/jardiry01.html,183,210,L,L,89t
68,Josef Vasicek,/players/v/vasicjo01.html,196,214,L,C,91s
69,Eric Beaudoin,/players/b/beauder01.html,196,210,L,L,92n
70,Tommy Westlund,/players/w/westlto01.html,183,210,R,R,93r
71,Mikko Jokela,/players/j/jokelmi01.html,185,212,R,D,96t
72,Rob Davison,/players/d/davisro01.html,188,215,L,D,98t
73,Shawn Horcoff,/players/h/horcosh01.html,185,210,L,C,99t
74,Petr Schastlivy,/players/s/schaspe01.html,185,204,L,L,101
75,Kip Brennan,/players/b/brennki01.html,193,230,L,L,103
76,Miroslav Zalesak,/players/z/zalesmi01.html,183,200,L,R,104
77,Pierre Dagenais,/players/d/dagenpi01.html,193,217,L,R,47t
78,Krys Barch,/players/b/barchkr01.html,188,210,L,R,106
79,Chris Corrinet,/players/c/corrich02.html,190,220,R,R,107
80,Dany Sabourin,/players/s/sabouda01.html,193,204,a,G,108
81,Boyd Kane,/players/k/kanebo01.html,188,225,L,L,72n
82,Jay Leach,/players/l/leachja02.html,196,220,L,D,115
83,Jaroslav Spacek,/players/s/spaceja01.html,183,210,L,D,117
84,Mike Siklenka,/players/s/siklemi01.html,196,240,R,R,118
85,Patrick Leahy,/players/l/leahypa01.html,190,200,R,R,122
86,Jiri Dopita,/players/d/dopitji01.html,193,210,L,C,133
87,Francis Belanger,/players/b/belanfr01.html,190,228,L,L,124
