,goals_ev,goals_pp,goals_sh,assists_ev,assists_pp,assists_sh,shots_attempted,shots_attempted,age_x,blocks,giveaways,hits,shot_pct,shots_attempted,shots_attempted,takeaways,zs_offense_pct,height,weight,games_played,goals_all
0,-0.108210148507,-0.0987564401491,-0.00820312126847,-0.177543755806,-0.124635290335,-0.020940358908,0.0917700185307,0.0917700185307,0.300226701795,-0.204734179904,-0.136415325395,0.172519010305,-0.0806870391929,0.0917700185307,0.0917700185307,0.0785967751636,0.0926154443151,0.0467124752738,0.122538768881,2.0,0.0
1,-0.108210148507,-0.0987564401491,-0.00820312126847,-0.177543755806,-0.124635290335,-0.020940358908,0.0459374909732,0.0459374909732,0.247595122848,-0.204734179904,0.0302513412715,0.0296618674474,-0.0806870391929,0.0459374909732,0.0459374909732,-0.214371974836,0.159615444315,0.0467124752738,0.122538768881,2.0,0.06
2,-0.0482101485073,-0.0987564401491,-0.00820312126847,-0.117543755806,-0.124635290335,-0.020940358908,-0.016394746505,-0.016394746505,0.1949635439,-0.0930734025186,-0.0897486587285,0.249661867447,-0.0426870391929,-0.016394746505,-0.016394746505,-0.132340724836,0.155615444315,0.0467124752738,0.122538768881,50.0,0.0945945945946
3,-0.0136155539127,-0.0987564401491,-0.00820312126847,-0.0288951071573,-0.124635290335,0.0466272086595,0.00505983125973,0.00505983125973,0.142331964953,-0.0576135610517,-0.0463252353051,0.178310516096,-0.0266870391929,0.00505983125973,0.00505983125973,-0.0797647113229,0.0806154443151,0.0467124752738,0.122538768881,74.0,0.0987654320988
4,-0.00944471640857,-0.0987564401491,-0.00820312126847,-0.00470424963307,-0.124635290335,-0.020940358908,-0.053083401898,-0.053083401898,0.0897003860058,-0.0599887277378,-0.0788021566709,0.0763990808513,-0.0146870391929,-0.053083401898,-0.053083401898,-0.0986312340957,0.0856154443151,0.0467124752738,0.122538768881,81.0,0.208333333333
5,0.100123184826,-0.0987564401491,-0.00820312126847,-0.115043755806,-0.124635290335,-0.020940358908,0.00583402936036,0.00583402936036,0.0370688070584,-0.129130528549,-0.0669708809507,0.172519010305,0.0233129608071,0.00583402936036,0.00583402936036,-0.0923016623364,0.0146154443151,0.0467124752738,0.122538768881,48.0,0.142857142857
6,0.0203612800641,-0.055899297292,-0.00820312126847,0.0510276727655,-0.0674924331921,-0.020940358908,0.0171284736513,0.0171284736513,0.015562771889,-0.0811097477988,-0.0649867539666,0.166396561325,-0.0126870391929,0.0171284736513,0.0171284736513,-0.0385907248364,0.0176154443151,0.0467124752738,0.122538768881,70.0,0.323943661972
7,0.103057457126,0.239271728865,-0.00820312126847,0.0337238498279,0.0443787941721,-0.020940358908,0.0310903341588,0.0310903341588,0.0681943508363,-0.0946460895241,-0.000265090653399,0.123223235657,0.0683129608071,0.0310903341588,0.0310903341588,-0.0823297213153,0.128615444315,0.0467124752738,0.122538768881,71.0,0.231707317073
8,0.0503264368585,0.120755754973,-0.00820312126847,0.0175781954136,0.0460964169821,-0.020940358908,-0.00772010226488,-0.00772010226488,0.120825929784,-0.054945332192,-0.0185291465334,0.176003330862,0.0423129608071,-0.00772010226488,-0.00772010226488,-0.0500236516657,0.0796154443151,0.0467124752738,0.122538768881,82.0,0.190476190476
9,0.0496845883348,-0.0987564401491,-0.00820312126847,-0.177543755806,-0.0193721324402,-0.020940358908,-0.0336663726794,-0.0336663726794,0.300226701795,-0.13127314215,-0.0136083078513,-0.0568042979661,0.0163129608071,-0.0336663726794,-0.0336663726794,-0.152694343257,0.0286154443151,0.0467124752738,0.0114276577703,19.0,0.192307692308
10,0.0840975438004,-0.0987564401491,-0.00820312126847,-0.0429283711905,-0.00925067495032,-0.020940358908,0.0194956481515,0.0194956481515,0.247595122848,-0.124209580828,-0.0338512228311,-0.11319527541,0.0313129608071,0.0194956481515,0.0194956481515,0.0560607174713,0.0676154443151,0.0467124752738,0.0114276577703,52.0,0.25
11,0.141789851493,-0.0987564401491,-0.00820312126847,-0.177543755806,-0.124635290335,-0.020940358908,-0.160308883036,-0.160308883036,0.1949635439,-0.0651582081723,-0.136415325395,-0.0774809896954,0.419312960807,-0.160308883036,-0.160308883036,-0.214371974836,-0.257384555685,0.0467124752738,0.0114276577703,4.0,0.0833333333333
12,-0.0682101485073,-0.0987564401491,0.0184635453982,-0.0842104224726,-0.124635290335,-0.020940358908,-0.140448121094,-0.140448121094,0.226089087678,-0.0446870656517,-0.0964153253952,0.0382332960189,-0.0176870391929,-0.140448121094,-0.140448121094,-0.0424969748364,0.0026154443151,-0.0752387442384,-0.071905675563,75.0,0.0444444444444
13,-0.0859879262851,-0.0320897734824,-0.00820312126847,-0.0664326446948,-0.124635290335,-0.020940358908,-0.109893102722,-0.109893102722,0.278720666626,-0.0806666494758,-0.114193103173,0.0280745658601,-0.0376870391929,-0.109893102722,-0.109893102722,-0.123226141503,0.0576154443151,-0.0752387442384,-0.071905675563,45.0,0.0
14,-0.108210148507,-0.0987564401491,-0.00820312126847,-0.0555925362937,-0.124635290335,-0.020940358908,-0.110563822638,-0.110563822638,0.331352245573,-0.0072852442837,-0.0876348375903,0.15161308696,-0.0806870391929,-0.110563822638,-0.110563822638,-0.057169230934,-0.0833845556849,-0.0752387442384,-0.071905675563,82.0,0.05
