,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
5,2008-09,CAR,24.0,72.0,16.0,13.0,7.0,9.0,0.0,4.0,13.0,6.0,0.0,12.6,278.0,12.6,278.0,18.04,22.0,115.0,22.0,20.0,babchan01,24.0,1080.0,943.0,53.4,0.8,806.0,670.0,54.6,2.5,7.8,92.7,100.0,55.7,44.3,1
6,2010-11,TOT,26.0,82.0,32.0,14.0,4.0,6.0,1.0,2.0,16.0,7.0,1.0,8.3,308.0,8.3,308.0,16.21,19.0,154.0,19.0,42.0,babchan01,26.0,1100.0,1036.0,51.5,-0.4,802.0,707.0,53.1,1.8,8.9,92.1,101.0,61.8,38.2,1
9,2011-12,CGY,27.0,32.0,6.0,2.0,1.0,1.0,0.0,1.0,6.0,2.0,0.0,4.2,124.0,4.2,124.0,14.29,17.0,48.0,9.0,12.0,babchan01,27.0,325.0,361.0,47.4,-0.5,223.0,254.0,46.8,-0.2,9.3,93.4,102.0,51.1,48.9,1
10,2012-13,CGY,28.0,7.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,13.0,11.51,1.0,9.0,0.0,5.0,babchan01,28.0,58.0,86.0,40.3,-6.4,42.0,64.0,39.6,-5.1,9.4,91.7,101.0,45.3,54.7,1
13,2007-08,PHX,25.0,82.0,85.0,7.0,3.0,2.0,1.0,1.0,13.0,2.0,0.0,5.7,209.0,5.7,209.0,21.16,169.0,162.0,34.0,38.0,ballake01,25.0,1155.0,1334.0,46.4,-5.6,911.0,1022.0,47.1,-4.8,8.2,93.4,101.0,40.1,59.9,1
14,2008-09,FLA,26.0,82.0,72.0,14.0,5.0,1.0,0.0,1.0,23.0,4.0,1.0,5.7,235.0,5.7,235.0,22.23,172.0,136.0,25.0,71.0,ballake01,26.0,1305.0,1369.0,48.8,0.9,980.0,1057.0,48.1,1.5,9.7,93.0,102.0,47.7,52.3,1
15,2009-10,FLA,27.0,82.0,88.0,-7.0,7.0,1.0,0.0,1.0,11.0,8.0,1.0,8.9,189.0,8.9,189.0,22.24,156.0,201.0,18.0,61.0,ballake01,27.0,1150.0,1593.0,41.9,-5.5,869.0,1145.0,43.1,-4.9,9.2,92.1,101.0,41.7,58.3,1
16,2010-11,VAN,28.0,65.0,53.0,10.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,3.8,136.0,3.8,136.0,15.54,99.0,111.0,9.0,28.0,ballake01,28.0,802.0,863.0,48.2,-5.4,583.0,627.0,48.2,-5.4,7.3,94.9,102.0,44.7,55.3,1
17,2011-12,VAN,29.0,47.0,64.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.4,105.0,2.4,105.0,15.33,61.0,63.0,8.0,29.0,ballake01,29.0,621.0,616.0,50.2,-6.6,450.0,460.0,49.5,-4.9,6.4,93.9,100.0,44.9,55.1,1
18,2012-13,VAN,30.0,36.0,29.0,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,0.0,70.0,15.28,45.0,34.0,16.0,13.0,ballake01,30.0,430.0,418.0,50.7,-5.1,319.0,307.0,51.0,-2.6,4.5,94.2,98.8,49.5,50.5,1
19,2013-14,MIN,31.0,45.0,37.0,-7.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,6.9,78.0,6.9,78.0,13.37,58.0,37.0,7.0,18.0,ballake01,31.0,414.0,494.0,45.6,-3.3,309.0,370.0,45.5,-2.8,9.3,89.7,99.0,43.0,57.0,1
20,2014-15,MIN,32.0,14.0,26.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,10.0,12.03,15.0,20.0,2.0,5.0,ballake01,32.0,126.0,160.0,44.1,-12.0,91.0,116.0,44.0,-13.0,12.3,87.4,99.7,48.4,51.6,1
21,2009-10,DAL,20.0,82.0,45.0,-1.0,20.0,2.0,0.0,3.0,14.0,5.0,0.0,12.1,315.0,12.1,315.0,14.42,186.0,39.0,70.0,37.0,bennja01,20.0,937.0,904.0,50.9,1.1,689.0,678.0,50.4,0.6,8.5,91.7,100.0,56.2,43.8,1
22,2010-11,DAL,21.0,69.0,52.0,-5.0,12.0,6.0,4.0,3.0,27.0,5.0,2.0,12.4,326.0,12.4,326.0,18.01,124.0,41.0,66.0,33.0,bennja01,21.0,874.0,896.0,49.4,0.1,645.0,676.0,48.8,-0.9,10.3,89.8,100.0,59.1,40.9,1
