name,0,1,2
fatadr01,960.353977472,-6.58987711898,-9.87615585949
gocma01,443.31836334,87.3226576037,-15.892600652
hemskal01,-703.561374301,37.9051956273,-120.6627485
hollwry01,337.270696807,-51.5212745015,-18.583178312
johnsaa01,543.028339799,-31.4183226027,22.7380261821
jokinju01,-226.147203321,64.0293364077,-22.7807206341
jurcimi01,-509.167440337,-36.0638608003,145.743838614
keithma01,1057.84551037,34.0886611376,-0.648230438577
koivumi01,-238.294124086,52.6743106151,-41.7378845893
kovalil01,-849.885506975,-11.1028697048,-438.778280482
krajilu01,289.58250543,-92.3808141015,14.6954526152
laichbr01,-216.611317279,25.406134119,17.3207044007
mccleja01,-217.047931489,-130.745385492,-76.0245842221
mccorco01,545.958577749,-11.9515524041,-32.084704423
nolanbr01,1019.17241418,10.5386394775,-4.08000302187
novotji01,-62.5555500751,-15.7307874304,19.2819727054
paetsna01,92.9854291113,-43.5838547364,62.6912759421
perrajo01,79.1115315982,-11.534908803,-21.2578104732
plihato01,776.743039834,71.9148230866,5.18434343902
royde01,-774.913558468,196.415984219,-29.504707201
ruututu01,-355.770792147,50.7873283154,62.3930184442
sjostfr01,-15.3844028792,-16.8834901289,-46.0400914445
spezzja01,-1079.26058632,118.337706984,-19.3224396248
spillma01,823.715956166,-23.4942172838,9.83278733154
thorbch01,128.54126765,-153.398685671,-66.6522303956
tootojo01,61.6132142302,93.1961152763,-22.7205927655
tyutife01,-924.664330028,75.7361210864,141.830346196
weissst01,-645.67222747,21.2140839888,42.0281683653
wellwky01,232.33719578,38.7422357934,45.3042586178
woywije01,476.291503726,-22.2388867459,40.4872771246
babchan01,-734.205156712,103.37127396,64.3368527817
bennja01,-1181.13924363,212.738319885,-166.22922829
bergese01,-226.573048838,36.5612309305,-74.8826134615
bouchpi02,-506.62802447,-11.4921058693,17.4724964374
bouwmja01,-1646.90424023,-164.700885274,12.4070884466
boychjo01,1049.01100567,29.6700311734,-1.35255313637
campbgr01,-186.73151699,-62.2777936064,-47.229555099
chriser01,76.9512676311,-27.5450755553,-188.717464076
daleytr01,-762.558124166,-68.0811592261,109.483058233
deveaan01,862.966150493,-15.6696412864,-12.2437419235
eagerbe01,851.255053603,-19.4218419435,-23.5847041764
emingst01,765.825885076,10.8884679242,33.5932116381
ericsjo01,624.05818894,16.0003382631,33.6035060586
filppva01,-616.559024094,140.595266486,155.141810346
fleisto01,-297.945423921,143.253972744,72.1627640412
foyma01,773.79656662,31.2981895026,-14.578842085
goertst01,886.231579924,8.54664878921,-5.4800850937
gordobo01,-48.1611652626,66.3005667819,40.3897096818
grebede01,-417.6525547,-141.846484129,99.2045271631
greenma01,80.8623672286,-125.538645231,23.1885239528
higgich01,-808.212944586,-6.55062477291,-220.533070186
hudleji01,-183.611196113,227.288427661,116.998413391
janssca01,707.755711951,-56.7597815114,-30.9831075548
jonesma01,152.599527891,-201.96309163,4.0344185649
keithdu01,-1144.49190261,-45.8490371485,82.540758299
lindsjo01,805.970917241,42.2063811381,2.84229804151
lupuljo01,-205.967610891,-3.41244364124,-167.863745298
meechde01,470.320288766,53.2953269271,38.4053757655
nashri01,-878.570971035,237.212978977,-163.227839445
nielsfr01,-132.889507279,9.49010422085,-19.5336865669
nystrer01,488.563642734,-28.156944261,-21.3657369257
paillda01,-87.9646928872,-101.687827312,-38.4373668332
pitkajo01,-771.791186338,-150.841316297,7.37727186995
rangepa01,-111.05836049,3.59887685208,43.1604830274
romeaa01,728.833153564,3.09376720651,20.2758777879
seminal01,-505.842479535,357.420325086,-115.342618564
stajama01,-846.491646195,6.58235227529,113.606121452
steenal01,-554.246494085,-12.8775128761,-49.707771357
talboma01,-243.790856595,-125.355000385,-59.0401148872
tolleol01,813.640129198,31.5311702785,35.0996639626
upshasc01,-137.697027129,83.9266076369,-13.0732805734
whiteia01,-1164.60185678,-6.18127467391,32.6194982112
whitnry01,-750.182674318,-229.657322524,-79.5156087301
widemde01,-1250.90125608,124.984203935,36.8931041817
wisnija01,-126.890787767,164.755034639,96.4556402814
backeda01,-633.163881332,69.5417375647,-83.7314944428
bergepa01,-676.346833402,256.881401336,61.7359525803
bernist01,45.0969347016,-33.7646638658,-39.0153045543
bissopa01,745.215010753,19.9932701667,3.20894103712
bitzby01,615.91791778,5.78517937893,30.7007179587
bodietr01,1036.55509953,43.1648246844,11.2862560766
boldual01,915.993320144,-1.11910734354,-7.90871837317
boylebr01,685.26476786,3.17462231604,-14.8400812801
brodzky01,-159.321305295,-148.217906449,-89.9052246757
browndu01,-1012.83719435,217.080889131,-214.904068922
burnsbr01,-248.406933726,-9.53400402767,-41.8896595586
byfugdu01,-707.276517389,190.729962661,-20.3398801923
carlema01,-1238.52142614,-168.550609711,177.443074763
coburbr01,-1249.93246664,55.8743474682,144.464786326
collije01,1006.11206842,7.65937893633,-1.48352165745
crombbj01,-206.035733197,-66.4618207833,-78.0056632707
dawesni01,-247.759964549,63.7584030871,37.7467829813
dupuiph01,1040.23182104,20.7186521501,-3.19580049028
eavespa01,-107.578270367,15.0943614458,-15.7929403316
enstrto01,-1056.2092052,-265.405162081,70.7328937895
erikslo01,-1128.84526809,-48.916432173,-91.8839653105
fehrer01,-174.316015549,85.3984660242,-66.0364266298
fraseco01,182.13494834,-10.0820374133,56.2852730657
gervabr01,-1039.80293207,-270.010927836,24.5964651803
getzlry01,-827.823043943,0.471967005311,-12.0892363135
glassta01,816.37164191,-50.9865188259,-15.2898816733
hennejo01,1057.17832876,34.5349943777,4.73750602271
hortona01,-756.869930128,-65.4956538214,-118.639547029
jacquje01,250.865996268,-159.77189019,-54.4106032543
jensejo01,1037.13099719,19.049458641,-7.12330466574
jonesda01,385.877438892,-57.300949409,-3.46566827298
keslery01,-673.472932806,50.2011858207,-48.9284244682
kleinke01,-64.8564195209,-65.0820506639,70.5122925097
kostian01,-251.696572512,2.89006552715,-117.244091319
krepska01,-106.019788315,-134.521684346,-40.0136737602
lapiema01,-304.108221649,-181.066592591,-93.0453735134
macarcl01,-530.299536285,-63.9716198724,-14.8068243366
mcivena01,867.28698373,-0.808164337439,14.5930149049
methoma01,-381.222474849,-224.190155417,54.2229037144
michami01,-633.912928632,164.048774963,72.612521704
milledr01,648.407012685,24.7371190422,-10.2646059557
mitchjo01,-402.011099945,-72.4723867417,0.260728836269
moulsma01,686.535481961,-43.1657264326,-32.1515405883
nilssro01,-244.906036602,-67.43188496,3.97382328526
nolanbr01,1019.17241418,10.5386394775,-4.08000302187
obriesh01,-1079.07944803,-301.486550013,87.7788144408
obyrnry01,268.63455154,-116.854857026,41.2077733156
osullpa01,-650.057153954,-68.6508578805,-228.126893461
paetsna01,92.9854291113,-43.5838547364,62.6912759421
parisza01,-1052.74634372,437.755207858,-99.83161784
paveljo01,-778.372885024,277.480670297,-84.7570652549
perryco01,-1328.54410479,42.8791806652,-148.016932598
phanedi01,-1604.64793357,118.519798855,-42.6121765289
picaral01,-214.703435816,-29.5503654107,58.9470684554
portech01,1012.91548114,10.1748676939,-11.9514709606
potulry01,952.843454434,26.271000294,1.07002561141
poulima01,402.444712285,-60.2846075634,-56.4352051778
quincky01,-1148.68087529,-254.838776211,-141.069303721
richabr02,-370.236201532,51.6590280139,-36.3161760929
richami02,-1063.58220397,183.593896369,-117.825625152
rosehja01,943.577033543,-23.6448180596,-14.5137085167
royma01,892.77290205,15.8516247368,16.4643291706
seabrbr01,-1208.07381212,100.02662611,186.338014465
smabyma01,15.6693674035,-179.982103427,22.1225884221
staaler01,-1418.92421505,431.590002781,-166.737931496
stemple01,-471.854581507,42.6402038998,-97.6209806298
sterlbr01,966.162133592,-1.82936412361,-17.3249092306
stewaan01,361.669537606,-82.056977068,-43.2713908331
stonery01,628.114970834,27.8296052344,22.277728738
stortza01,-12.4673683492,-193.745972431,-49.6233804215
stracty01,585.58758847,-1.37433349597,20.5839414456
stuarma01,-649.965465175,-109.664588581,86.9021402934
suterry01,-1276.31728774,0.294547941219,100.882273682
tambeje01,-269.819814928,-89.7698294118,-19.7157475889
tarnani01,550.765073242,-74.1382648066,-31.3048805242
thompna01,388.28123613,-81.9112438031,-52.644302434
vanekth01,-660.317887715,185.304727644,-97.5194154852
webersh01,-1355.89221516,192.01423185,-76.1028373935
willije01,898.975037203,24.3270853299,-4.3848307335
zherdni01,-885.055594403,268.78818727,-0.46292477714
barkeca01,-40.0167577252,-167.383043617,-26.8851954849
bickebr01,-489.672638193,-90.7373642318,-57.183573723
bollada01,-210.410452366,-33.1714016282,-18.7129940165
boothda01,-720.534342629,142.168355887,-152.299953571
bourqch01,810.705813532,4.40223328418,-9.56379830343
boyddu01,940.708091385,5.10636607716,-11.3404413011
brouwtr01,-466.965916314,92.0987760324,108.414005719
brownmi02,184.648389235,-101.588442681,-90.017652515
callary01,-681.945878301,52.7403684842,-147.201326718
campoch01,-884.770724308,-217.057922106,28.4016799197
carsobr01,-280.785383957,-149.137166042,58.2396612774
chipcky01,636.634941018,-38.6010185594,9.97679504578
clitsgr01,869.400435758,16.1320964445,10.072868211
comeabl01,-691.365304843,-11.5919111677,-186.353906904
dowelja01,1054.80692381,41.1602628277,8.80493066842
dubinbr01,-905.552738185,9.63258065236,-92.2078324777
earlro01,665.857463728,0.740154554851,-16.8726886738
eckfoty01,1069.93307481,22.0656068131,-1.50840136737
edleral01,-607.646726532,101.466283275,30.1295036216
fistrma01,-36.8278563591,-174.796662613,22.2415380994
gagnoaa01,869.669053047,16.3716297617,3.17412687143
goligal01,-844.30356651,28.1168593063,113.520185228
grabomi01,628.853851624,-22.0530200482,-7.22872838427
greenmi03,-1430.01258455,159.908809246,10.1983260008
grossni01,-704.537298026,-192.256778881,82.7977293729
hanseja01,-549.363535643,-53.3063123453,47.4138337684
hunwima01,-817.712458588,-112.406467061,150.812851873
johnsni01,984.544073749,23.2866601917,4.37616632914
jonesry01,337.868215614,-15.1383943694,-33.4804911522
kaletpa01,332.302141696,-15.9743990592,9.1902048975
kennety01,-700.492171608,265.650943875,-63.0775479963
korpila01,-511.321876296,-168.188351225,-54.993404622
krejcda01,-899.27419147,32.8353105573,60.2361056109
laddan01,-635.986228886,163.224115333,110.137960112
lepissa01,917.653535301,33.6517444483,7.9858058923
letoupi01,893.026658369,1.86412143007,-6.57394196332
lewisgr01,1061.2606857,33.3010515512,4.45832315709
lundimi01,609.046691011,-61.6870214295,25.6402728938
malkiev01,-67.7035429263,250.259337318,-101.361482424
mancama01,954.204232249,63.1945738455,5.6971977754
