,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
10,DAL,25.0,25.0,37.0,13.0,2.0,50.0,1160.0,1375.0,54.2,3.2,882.0,1001.0,53.2,1.4,82.0,50.0,23.0,6.0,10.0,2.0,120.0,bennja01,10.9,88.3,99.2,64.0,1.0,2014-15,13.8,13.8,466.0,466.0,76.0,19.57,1,45.4,54.6
21,STL,25.0,25.0,14.0,8.0,0.0,20.0,985.0,958.0,49.3,2.5,789.0,767.0,49.3,1.0,82.0,33.0,32.0,9.0,11.0,0.0,55.0,boyesbr01,11.2,91.0,102.0,20.0,1.0,2007-08,20.8,20.8,379.0,379.0,33.0,17.57,1,48.4,51.6
68,LAK,25.0,25.0,31.0,13.0,0.0,18.0,1043.0,1038.0,49.9,5.4,810.0,794.0,49.5,4.5,71.0,70.0,18.0,7.0,5.0,0.0,22.0,froloal01,10.2,90.5,100.0,22.0,1.0,2007-08,14.4,14.4,285.0,285.0,45.0,18.48,1,46.2,53.8
78,MIN,25.0,25.0,28.0,13.0,0.0,18.0,1103.0,953.0,46.4,-4.4,846.0,744.0,46.8,-2.6,77.0,55.0,30.0,8.0,11.0,1.0,59.0,gaborma01,13.4,92.2,105.0,63.0,17.0,2007-08,15.1,15.1,451.0,451.0,41.0,19.36,1,54.3,45.7
103,BUF,25.0,25.0,22.0,3.0,1.0,48.0,858.0,810.0,48.6,-1.9,644.0,602.0,48.3,-3.5,82.0,24.0,5.0,2.0,5.0,0.0,195.0,gaustpa01,8.0,91.9,99.8,85.0,-4.0,2007-08,7.4,7.4,205.0,205.0,19.0,17.1,1,45.4,54.6
119,ANA,25.0,25.0,37.0,20.0,0.0,57.0,1112.0,1044.0,48.4,5.0,840.0,808.0,49.0,5.5,67.0,81.0,12.0,4.0,7.0,0.0,189.0,getzlry01,12.6,91.3,103.0,35.0,14.0,2010-11,16.2,16.2,236.0,236.0,35.0,21.51,1,53.0,47.0
155,PHI,25.0,25.0,16.0,2.0,1.0,32.0,1004.0,897.0,47.2,-1.7,757.0,665.0,46.8,-3.1,80.0,32.0,13.0,6.0,10.0,1.0,110.0,hartnsc01,8.5,92.8,101.0,159.0,2.0,2007-08,13.6,13.6,274.0,274.0,31.0,16.11,1,54.2,45.8
298,CHI,25.0,25.0,27.0,9.0,0.0,92.0,1136.0,1434.0,55.8,0.5,908.0,1133.0,55.5,0.7,77.0,40.0,5.0,1.0,2.0,1.0,40.0,keithdu01,9.6,92.1,101.0,60.0,33.0,2008-09,4.6,4.6,362.0,362.0,50.0,25.34,1,49.3,50.7
313,CBJ,25.0,25.0,9.0,3.0,0.0,110.0,1125.0,1186.0,51.3,-1.0,863.0,916.0,51.5,-0.5,82.0,17.0,3.0,1.0,3.0,0.0,107.0,kleslro01,7.6,92.6,100.0,60.0,7.0,2007-08,4.6,4.6,247.0,247.0,20.0,23.13,1,56.0,44.0
339,DET,25.0,25.0,7.0,0.0,0.0,17.0,476.0,609.0,56.1,-5.8,368.0,477.0,56.4,-5.8,77.0,13.0,5.0,1.0,0.0,0.0,111.0,kopecto01,6.6,93.0,99.6,43.0,2.0,2007-08,5.7,5.7,176.0,176.0,11.0,9.37,1,35.4,64.6
