,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
6,FLA,18.0,18.0,13.0,3.0,0.0,27.0,683.0,735.0,51.8,1.7,529.0,563.0,51.6,0.5,54.0,17.0,5.0,1.0,3.0,0.0,16.0,barkoal01,8.5,90.5,98.9,10.0,-3.0,2013-14,9.2,9.2,134.0,134.0,30.0,17.06,1,47.7,52.3
68,COL,18.0,18.0,30.0,9.0,0.0,45.0,1279.0,1154.0,47.4,-0.7,961.0,852.0,47.0,-1.5,82.0,28.0,16.0,5.0,8.0,0.0,57.0,mackina01,11.0,93.2,104.0,26.0,20.0,2013-14,10.0,10.0,388.0,388.0,51.0,17.21,1,48.5,51.5
84,DAL,18.0,18.0,19.0,1.0,0.0,27.0,1009.0,1045.0,50.9,0.0,740.0,785.0,51.5,0.3,79.0,58.0,12.0,2.0,2.0,0.0,85.0,nichuva01,9.4,94.0,103.0,8.0,20.0,2013-14,10.9,10.9,218.0,218.0,25.0,14.58,1,46.5,53.5
127,BUF,18.0,18.0,0.0,0.0,0.0,3.0,97.0,66.0,40.5,-8.0,75.0,43.0,36.4,-9.5,7.0,5.0,1.0,0.0,0.0,0.0,25.0,zadorni01,6.9,89.1,96.0,4.0,-4.0,2013-14,25.0,25.0,9.0,9.0,1.0,17.1,1,58.3,41.7
14,FLA,18.0,18.0,20.0,7.0,0.0,80.0,1194.0,1416.0,54.3,4.4,932.0,1080.0,53.7,4.0,81.0,41.0,6.0,4.0,6.0,0.0,109.0,ekblaaa01,8.0,92.8,100.0,32.0,12.0,2014-15,7.1,7.1,351.0,351.0,26.0,21.49,1,38.8,61.2
19,NSH,18.0,18.0,0.0,0.0,0.0,1.0,13.0,13.0,50.0,3.4,10.0,9.0,47.4,-3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,fialake01,0.0,85.7,85.7,0.0,-1.0,2014-15,0.0,0.0,3.0,3.0,2.0,11.25,1,36.4,63.6
38,BOS,18.0,18.0,16.0,1.0,0.0,11.0,505.0,635.0,55.7,6.5,406.0,469.0,53.6,4.6,46.0,30.0,8.0,3.0,2.0,0.0,20.0,pastrda01,9.1,94.4,103.0,8.0,12.0,2014-15,10.8,10.8,175.0,175.0,25.0,13.58,1,30.4,69.6
14,CGY,18.0,18.0,0.0,0.0,0.0,1.0,19.0,9.0,32.1,-14.0,13.0,6.0,31.6,-19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kylinol01,20.0,92.3,112.0,0.0,0.0,2015-16,0.0,0.0,2.0,2.0,0.0,17.22,1,100.0,0.0
26,PIT,18.0,18.0,0.0,0.0,0.0,3.0,142.0,121.0,46.0,-5.1,111.0,97.0,46.6,-4.0,18.0,5.0,2.0,0.0,0.0,0.0,14.0,spronda01,3.0,96.1,99.0,0.0,-1.0,2015-16,8.7,8.7,43.0,43.0,4.0,8.44,1,47.0,53.0
29,NJD,18.0,18.0,2.0,0.0,0.0,0.0,9.0,11.0,55.0,7.3,7.0,11.0,61.1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,zachapa01,40.0,100.0,140.0,0.0,4.0,2015-16,0.0,0.0,4.0,4.0,2.0,16.51,1,66.7,33.3
159,EDM,18.0,18.0,24.0,12.0,0.0,31.0,933.0,800.0,46.2,-1.7,718.0,616.0,46.2,-1.7,79.0,45.0,9.0,1.0,4.0,0.0,18.0,gagnesa01,9.1,89.8,98.9,23.0,-21.0,2007-08,9.6,9.6,233.0,233.0,27.0,15.41,1,47.0,53.0
479,PHX,18.0,18.0,0.0,1.0,0.0,3.0,54.0,41.0,43.2,0.7,48.0,33.0,40.7,-1.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,turriky01,0.0,89.5,89.5,2.0,-5.0,2007-08,0.0,0.0,15.0,15.0,2.0,19.45,1,41.7,58.3
43,ATL,18.0,18.0,7.0,3.0,0.0,50.0,705.0,658.0,48.3,-0.1,545.0,506.0,48.1,-1.6,47.0,21.0,6.0,1.0,2.0,1.0,67.0,bogosza01,11.9,90.7,102.0,47.0,11.0,2008-09,10.0,10.0,184.0,184.0,32.0,18.06,1,55.8,44.2
178,CBJ,18.0,18.0,0.0,0.0,0.0,2.0,39.0,48.0,55.2,3.5,32.0,37.0,53.6,1.9,8.0,1.0,4.0,1.0,0.0,0.0,2.0,filatni01,16.1,92.6,108.0,0.0,3.0,2008-09,40.0,40.0,13.0,13.0,1.0,8.08,1,50.0,50.0
414,TBL,18.0,18.0,15.0,8.0,0.0,17.0,881.0,808.0,47.8,-0.9,685.0,609.0,47.1,-1.8,79.0,33.0,14.0,1.0,9.0,0.0,75.0,stamkst01,8.9,91.4,100.0,39.0,-13.0,2008-09,12.7,12.7,329.0,329.0,49.0,14.56,1,41.8,58.3
231,ATL,18.0,18.0,12.0,0.0,0.0,24.0,774.0,723.0,48.3,-3.6,603.0,556.0,48.0,-3.0,66.0,23.0,13.0,3.0,0.0,1.0,97.0,kaneev01,10.7,90.8,101.0,62.0,2.0,2009-10,11.0,11.0,215.0,215.0,28.0,13.0,1,52.6,47.4
350,COL,18.0,18.0,18.0,0.0,0.0,53.0,1044.0,798.0,43.3,-3.0,757.0,633.0,45.5,-2.0,81.0,31.0,6.0,2.0,0.0,2.0,37.0,oreilry01,7.8,93.5,101.0,18.0,4.0,2009-10,5.9,5.9,211.0,211.0,69.0,16.46,1,56.8,43.2
213,NYI,18.0,18.0,1.0,0.0,0.0,1.0,117.0,78.0,40.0,-8.9,92.0,61.0,39.9,-10.0,9.0,5.0,1.0,0.0,0.0,0.0,16.0,niedeni01,4.2,95.6,99.8,8.0,-1.0,2010-11,8.3,8.3,19.0,19.0,5.0,13.36,1,34.8,65.2
276,CAR,18.0,18.0,20.0,12.0,0.0,28.0,1110.0,1132.0,50.5,1.2,826.0,795.0,49.0,1.0,82.0,31.0,25.0,2.0,6.0,0.0,70.0,skinnje01,10.7,91.2,102.0,46.0,3.0,2010-11,14.4,14.4,404.0,404.0,62.0,16.44,1,46.6,53.4
209,EDM,18.0,18.0,14.0,20.0,0.0,33.0,876.0,827.0,48.6,3.4,640.0,624.0,49.4,2.8,62.0,32.0,15.0,2.0,3.0,0.0,38.0,nugenry01,10.1,90.7,100.0,16.0,-2.0,2011-12,13.4,13.4,249.0,249.0,34.0,17.36,1,37.3,62.7
289,WPG,18.0,18.0,0.0,0.0,0.0,1.0,50.0,53.0,51.5,-5.0,35.0,42.0,54.5,-0.2,7.0,2.0,0.0,0.0,1.0,0.0,3.0,scheima01,3.1,96.2,99.3,0.0,0.0,2011-12,20.0,20.0,12.0,12.0,0.0,10.57,1,25.0,75.0
338,OTT,18.0,18.0,0.0,1.0,0.0,5.0,107.0,85.0,44.3,-9.2,76.0,62.0,44.9,-6.3,9.0,1.0,0.0,0.0,0.0,0.0,15.0,zibanmi01,2.4,93.0,95.4,2.0,-3.0,2011-12,0.0,0.0,25.0,25.0,4.0,12.54,1,45.5,54.5
30,NSH,18.0,18.0,1.0,0.0,0.0,0.0,74.0,61.0,45.2,-14.0,61.0,48.0,44.0,-15.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,forsbfi01,2.6,87.2,89.8,0.0,-5.0,2012-13,0.0,0.0,23.0,23.0,3.0,15.29,1,57.9,42.1
36,MTL,18.0,18.0,17.0,1.0,0.0,25.0,509.0,534.0,51.2,-3.1,352.0,393.0,52.8,-1.2,48.0,8.0,9.0,2.0,0.0,0.0,23.0,galchal01,11.7,92.6,104.0,20.0,14.0,2012-13,11.4,11.4,143.0,143.0,9.0,12.19,1,41.2,58.8
55,BUF,18.0,18.0,4.0,0.0,0.0,2.0,230.0,190.0,45.2,-5.0,182.0,144.0,44.2,-5.2,25.0,6.0,1.0,0.0,0.0,0.0,2.0,grigomi01,8.7,92.5,101.0,0.0,-1.0,2012-13,3.2,3.2,56.0,56.0,7.0,10.14,1,33.1,66.9
80,PHI,18.0,18.0,0.0,0.0,0.0,1.0,51.0,36.0,41.4,-10.0,40.0,24.0,37.5,-17.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,laughsc01,0.0,100.0,100.0,0.0,0.0,2012-13,0.0,0.0,15.0,15.0,0.0,11.31,1,70.4,29.6
105,NJD,18.0,18.0,2.0,0.0,0.0,1.0,121.0,127.0,51.2,-5.1,83.0,94.0,53.1,-2.4,17.0,4.0,1.0,0.0,0.0,0.0,25.0,mattest02,5.6,92.6,98.3,6.0,-1.0,2012-13,4.5,4.5,28.0,28.0,5.0,9.11,1,44.7,55.3
6,FLA,18.0,18.0,13.0,3.0,0.0,27.0,683.0,735.0,51.8,1.7,529.0,563.0,51.6,0.5,54.0,17.0,5.0,1.0,3.0,0.0,16.0,barkoal01,8.5,90.5,98.9,10.0,-3.0,2013-14,9.2,9.2,134.0,134.0,30.0,17.06,1,47.7,52.3
68,COL,18.0,18.0,30.0,9.0,0.0,45.0,1279.0,1154.0,47.4,-0.7,961.0,852.0,47.0,-1.5,82.0,28.0,16.0,5.0,8.0,0.0,57.0,mackina01,11.0,93.2,104.0,26.0,20.0,2013-14,10.0,10.0,388.0,388.0,51.0,17.21,1,48.5,51.5
84,DAL,18.0,18.0,19.0,1.0,0.0,27.0,1009.0,1045.0,50.9,0.0,740.0,785.0,51.5,0.3,79.0,58.0,12.0,2.0,2.0,0.0,85.0,nichuva01,9.4,94.0,103.0,8.0,20.0,2013-14,10.9,10.9,218.0,218.0,25.0,14.58,1,46.5,53.5
127,BUF,18.0,18.0,0.0,0.0,0.0,3.0,97.0,66.0,40.5,-8.0,75.0,43.0,36.4,-9.5,7.0,5.0,1.0,0.0,0.0,0.0,25.0,zadorni01,6.9,89.1,96.0,4.0,-4.0,2013-14,25.0,25.0,9.0,9.0,1.0,17.1,1,58.3,41.7
14,FLA,18.0,18.0,20.0,7.0,0.0,80.0,1194.0,1416.0,54.3,4.4,932.0,1080.0,53.7,4.0,81.0,41.0,6.0,4.0,6.0,0.0,109.0,ekblaaa01,8.0,92.8,100.0,32.0,12.0,2014-15,7.1,7.1,351.0,351.0,26.0,21.49,1,38.8,61.2
19,NSH,18.0,18.0,0.0,0.0,0.0,1.0,13.0,13.0,50.0,3.4,10.0,9.0,47.4,-3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,fialake01,0.0,85.7,85.7,0.0,-1.0,2014-15,0.0,0.0,3.0,3.0,2.0,11.25,1,36.4,63.6
38,BOS,18.0,18.0,16.0,1.0,0.0,11.0,505.0,635.0,55.7,6.5,406.0,469.0,53.6,4.6,46.0,30.0,8.0,3.0,2.0,0.0,20.0,pastrda01,9.1,94.4,103.0,8.0,12.0,2014-15,10.8,10.8,175.0,175.0,25.0,13.58,1,30.4,69.6
