,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
298,FLA,33.0,33.0,6.0,0.0,0.0,51.0,703.0,655.0,48.2,-3.8,533.0,479.0,47.3,-4.5,82.0,12.0,4.0,0.0,1.0,0.0,273.0,mackede01,4.1,91.6,95.7,45.0,-17.0,2014-15,6.9,6.9,124.0,124.0,26.0,12.27,1,53.5,46.5
309,TBL,33.0,33.0,2.0,0.0,0.0,9.0,291.0,232.0,44.4,-2.4,221.0,177.0,44.5,-2.6,24.0,7.0,4.0,1.0,2.0,0.0,49.0,malonry01,9.5,91.9,101.0,22.0,-3.0,2012-13,16.2,16.2,55.0,55.0,14.0,15.44,1,49.7,50.3
319,NYI,33.0,33.0,1.0,0.0,0.0,39.0,349.0,259.0,42.6,-4.6,236.0,201.0,46.0,-3.5,16.0,13.0,1.0,0.0,0.0,1.0,19.0,martira01,5.3,93.6,98.9,12.0,-1.0,2009-10,8.3,8.3,40.0,40.0,19.0,22.48,1,60.8,39.2
344,CGY,33.0,33.0,0.0,0.0,0.0,1.0,61.0,46.0,43.0,0.3,41.0,35.0,46.1,2.2,8.0,0.0,0.0,0.0,0.0,0.0,11.0,mcgrabr01,0.0,92.6,92.6,4.0,-2.0,2014-15,0.0,0.0,15.0,15.0,3.0,6.38,1,47.2,52.8
365,MTL,33.0,33.0,2.0,0.0,0.0,115.0,686.0,488.0,41.6,-5.1,456.0,351.0,43.5,-5.1,53.0,17.0,0.0,0.0,0.0,0.0,144.0,murrado01,5.1,92.2,97.3,42.0,-12.0,2013-14,0.0,0.0,70.0,70.0,5.0,14.21,1,50.3,49.7
375,FLA,33.0,33.0,1.0,0.0,0.0,13.0,234.0,195.0,45.5,-4.4,180.0,140.0,43.8,-5.7,39.0,3.0,1.0,0.0,0.0,0.0,53.0,parroge01,4.9,84.6,89.5,57.0,-15.0,2012-13,6.3,6.3,30.0,30.0,5.0,6.37,1,42.3,57.7
415,VAN,33.0,33.0,18.0,13.0,0.0,21.0,907.0,1213.0,57.2,7.0,674.0,902.0,57.2,7.0,73.0,27.0,11.0,4.0,5.0,0.0,37.0,sedinda01,6.7,91.6,98.3,38.0,0.0,2013-14,7.1,7.1,370.0,370.0,32.0,20.36,1,39.0,61.0
431,VAN,33.0,33.0,25.0,14.0,0.0,19.0,897.0,1160.0,56.4,6.5,675.0,846.0,55.6,4.9,70.0,36.0,7.0,1.0,4.0,0.0,43.0,sedinhe01,7.4,91.8,99.2,42.0,3.0,2013-14,11.3,11.3,177.0,177.0,22.0,20.4,1,38.7,61.3
475,VAN,33.0,33.0,21.0,11.0,0.0,25.0,966.0,1002.0,50.9,2.3,713.0,745.0,51.1,1.5,79.0,26.0,19.0,7.0,12.0,0.0,44.0,vrbatra01,9.5,91.2,100.0,20.0,6.0,2014-15,11.6,11.6,451.0,451.0,33.0,16.37,1,47.3,52.7
500,DET,33.0,33.0,18.0,14.0,0.0,15.0,644.0,730.0,53.1,0.3,505.0,580.0,53.5,1.2,45.0,26.0,13.0,1.0,3.0,0.0,23.0,zettehe01,10.7,92.7,103.0,20.0,19.0,2013-14,10.6,10.6,267.0,267.0,28.0,20.33,1,50.1,49.9
31,TOR,33.0,33.0,13.0,3.0,0.0,17.0,460.0,590.0,56.2,5.9,362.0,426.0,54.1,4.8,60.0,19.0,6.0,1.0,2.0,0.0,20.0,boyesbr01,8.3,89.4,97.7,12.0,-6.0,2015-16,9.4,9.4,169.0,169.0,25.0,11.58,1,47.4,52.6
48,CGY,33.0,33.0,8.0,0.0,1.0,107.0,966.0,805.0,45.5,-3.9,690.0,607.0,46.8,-2.2,69.0,22.0,3.0,0.0,0.0,0.0,105.0,engelde01,8.6,92.5,101.0,54.0,7.0,2015-16,4.2,4.2,149.0,149.0,8.0,15.14,1,53.8,46.3
90,LAK,33.0,33.0,7.0,3.0,0.0,17.0,549.0,729.0,57.0,1.3,400.0,576.0,59.0,4.5,54.0,18.0,11.0,3.0,1.0,0.0,29.0,gaborma01,6.3,89.9,96.2,20.0,-6.0,2015-16,8.5,8.5,213.0,213.0,13.0,14.57,1,44.8,55.2
113,NSH,33.0,33.0,3.0,0.0,1.0,33.0,593.0,370.0,38.4,-15.0,398.0,272.0,40.6,-13.0,63.0,14.0,1.0,0.0,0.0,1.0,114.0,gaustpa01,6.7,92.2,98.9,46.0,-4.0,2015-16,4.3,4.3,71.0,71.0,14.0,11.15,1,92.5,7.5
137,CAR,33.0,33.0,7.0,1.0,0.0,120.0,1311.0,1398.0,51.6,-1.1,967.0,1047.0,52.0,0.1,81.0,48.0,2.0,0.0,0.0,0.0,110.0,hainsro01,6.5,90.8,97.3,16.0,-14.0,2014-15,2.4,2.4,175.0,175.0,22.0,21.06,1,46.4,53.6
163,CBJ,33.0,33.0,24.0,2.0,0.0,41.0,971.0,974.0,50.1,2.8,718.0,731.0,50.4,2.7,79.0,32.0,13.0,1.0,10.0,0.0,131.0,hartnsc01,9.6,88.8,98.4,112.0,-11.0,2015-16,15.3,15.3,240.0,240.0,20.0,15.35,1,47.0,53.0
176,MIN,33.0,33.0,10.0,6.0,0.0,30.0,892.0,706.0,44.2,-7.1,663.0,517.0,43.8,-7.3,76.0,19.0,8.0,2.0,4.0,0.0,33.0,heatlda01,7.3,90.8,98.1,18.0,-18.0,2013-14,10.9,10.9,202.0,202.0,21.0,14.49,1,45.8,54.2
186,EDM,33.0,33.0,7.0,1.0,0.0,72.0,741.0,610.0,45.2,-4.9,504.0,452.0,47.3,-1.6,71.0,15.0,7.0,0.0,0.0,1.0,220.0,hendrma01,6.0,89.7,95.8,76.0,-14.0,2014-15,7.8,7.8,172.0,172.0,31.0,13.09,1,76.0,24.0
230,CHI,33.0,33.0,36.0,11.0,1.0,40.0,1022.0,1181.0,53.6,0.0,756.0,885.0,53.9,0.9,81.0,29.0,18.0,4.0,9.0,2.0,73.0,hossama01,10.0,91.5,101.0,20.0,18.0,2011-12,11.7,11.7,437.0,437.0,94.0,19.58,1,40.6,59.4
257,CGY,33.0,33.0,27.0,16.0,0.0,28.0,1243.0,1309.0,51.3,-0.6,908.0,978.0,51.9,-0.3,82.0,70.0,29.0,6.0,14.0,0.0,103.0,iginlja01,10.3,89.5,99.9,40.0,0.0,2010-11,14.9,14.9,518.0,518.0,40.0,20.56,1,46.8,53.2
306,CHI,33.0,33.0,12.0,3.0,0.0,25.0,402.0,442.0,52.4,2.6,322.0,308.0,48.9,-0.1,24.0,18.0,0.0,0.0,0.0,0.0,9.0,keithdu01,9.7,95.4,105.0,6.0,8.0,2016-17,0.0,0.0,118.0,118.0,7.0,26.06,1,46.8,53.2
356,DET,33.0,33.0,20.0,20.0,1.0,154.0,1173.0,1286.0,52.3,-0.7,908.0,993.0,52.2,-0.3,79.0,50.0,3.0,0.0,5.0,0.0,93.0,kronwni01,9.5,90.6,100.0,44.0,0.0,2013-14,7.3,7.3,244.0,244.0,25.0,24.19,1,48.5,51.5
395,TOT,33.0,33.0,4.0,3.0,0.0,80.0,672.0,664.0,49.7,1.4,484.0,502.0,50.9,4.1,41.0,18.0,1.0,0.0,1.0,0.0,50.0,lilesjo01,7.4,93.4,100.0,8.0,5.0,2013-14,3.6,3.6,114.0,114.0,14.0,19.39,1,48.9,51.1
412,DET,33.0,33.0,11.0,0.0,0.0,90.0,587.0,791.0,57.4,-0.9,480.0,621.0,56.4,-1.8,60.0,29.0,2.0,0.0,0.0,0.0,93.0,liljaan01,9.7,90.1,99.8,66.0,13.0,2008-09,3.3,3.3,119.0,119.0,8.0,16.0,1,48.9,51.1
444,PIT,33.0,33.0,16.0,1.0,0.0,139.0,1138.0,1288.0,53.1,-0.6,827.0,969.0,54.0,0.3,74.0,37.0,3.0,0.0,0.0,0.0,60.0,martipa01,8.2,93.2,101.0,20.0,17.0,2014-15,4.9,4.9,163.0,163.0,24.0,22.47,1,47.9,52.1
471,DAL,33.0,33.0,1.0,0.0,1.0,13.0,146.0,125.0,46.1,-7.6,105.0,93.0,47.0,-5.5,23.0,4.0,0.0,0.0,0.0,0.0,30.0,moentr01,3.3,92.0,95.3,21.0,-3.0,2015-16,0.0,0.0,17.0,17.0,4.0,8.12,1,49.0,51.0
490,NYR,33.0,33.0,10.0,0.0,2.0,24.0,666.0,609.0,47.8,-6.9,488.0,458.0,48.4,-6.2,73.0,11.0,5.0,1.0,0.0,1.0,62.0,mooredo01,5.7,93.2,98.9,18.0,0.0,2013-14,6.3,6.3,145.0,145.0,18.0,11.44,1,75.5,24.5
507,PIT,33.0,33.0,11.0,0.0,0.0,143.0,1207.0,1033.0,46.1,-5.3,885.0,786.0,47.0,-4.8,72.0,32.0,2.0,0.0,0.0,0.0,221.0,orpikbr01,10.4,90.1,100.0,46.0,-3.0,2013-14,4.0,4.0,127.0,127.0,11.0,21.12,1,55.5,44.5
525,STL,33.0,33.0,2.0,0.0,0.0,5.0,151.0,160.0,51.4,-2.7,114.0,121.0,51.5,-3.2,21.0,1.0,0.0,0.0,0.0,0.0,34.0,ottst01,6.7,90.1,96.8,34.0,-3.0,2015-16,0.0,0.0,30.0,30.0,3.0,10.55,1,67.5,32.5
584,TOT,33.0,33.0,3.0,0.0,0.0,9.0,257.0,214.0,45.4,-8.8,188.0,162.0,46.3,-8.3,40.0,5.0,1.0,0.0,0.0,0.0,48.0,ruppmi01,5.3,93.8,99.1,79.0,-2.0,2012-13,3.4,3.4,49.0,49.0,6.0,8.21,1,69.2,30.8
614,PHI,33.0,33.0,9.0,0.0,0.0,174.0,1192.0,1029.0,46.3,-5.8,832.0,730.0,46.7,-4.9,81.0,38.0,1.0,0.0,0.0,0.0,85.0,schulni01,8.1,93.2,101.0,42.0,-1.0,2015-16,1.4,1.4,161.0,161.0,4.0,17.57,1,60.6,39.4
635,TOT,33.0,33.0,5.0,0.0,0.0,69.0,841.0,490.0,36.8,-12.0,602.0,377.0,38.5,-11.0,80.0,11.0,4.0,0.0,0.0,0.0,117.0,stollja01,6.5,94.9,101.0,36.0,-1.0,2015-16,8.2,8.2,78.0,78.0,8.0,12.11,1,78.2,21.8
678,SJS,33.0,33.0,14.0,19.0,0.0,21.0,626.0,760.0,54.8,5.2,435.0,530.0,54.9,3.5,48.0,42.0,5.0,1.0,2.0,0.0,23.0,thornjo01,8.6,91.7,100.0,26.0,6.0,2012-13,8.2,8.2,136.0,136.0,37.0,18.23,1,48.4,51.6
726,ARI,33.0,33.0,11.0,10.0,0.0,57.0,978.0,871.0,47.1,0.1,732.0,643.0,46.8,0.5,76.0,33.0,10.0,2.0,6.0,1.0,55.0,vermean01,8.6,90.9,99.5,93.0,-14.0,2015-16,13.8,13.8,191.0,191.0,27.0,16.39,1,50.0,50.0
736,TOT,33.0,33.0,12.0,18.0,0.0,105.0,1190.0,1248.0,51.2,6.3,895.0,936.0,51.1,6.2,73.0,73.0,10.0,2.0,5.0,0.0,37.0,visnolu01,8.1,90.4,98.6,20.0,-10.0,2009-10,11.5,11.5,296.0,296.0,40.0,21.54,1,48.9,51.1
763,CAR,33.0,33.0,8.0,0.0,0.0,81.0,803.0,827.0,50.7,-3.3,605.0,607.0,50.1,-3.8,64.0,26.0,2.0,1.0,0.0,0.0,131.0,wallini01,6.9,92.5,99.4,42.0,-1.0,2008-09,3.8,3.8,128.0,128.0,20.0,16.16,1,54.1,45.9
