,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
3,2007-08,CAR,27.0,31.0,28.0,-2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,5.2,94.0,5.2,94.0,12.36,38.0,2.0,11.0,4.0,baydary01,27.0,361.0,255.0,58.6,5.5,263.0,188.0,58.3,3.9,4.6,91.5,96.0,51.3,48.7,1
4,2008-09,CAR,28.0,70.0,26.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,8.1,121.0,8.1,121.0,10.27,82.0,46.0,16.0,3.0,baydary01,28.0,523.0,561.0,48.2,-6.1,398.0,414.0,49.0,-5.6,6.3,94.8,101.0,54.0,46.0,1
5,2009-10,DAL,20.0,82.0,45.0,-1.0,20.0,2.0,0.0,3.0,14.0,5.0,0.0,12.1,315.0,12.1,315.0,14.42,186.0,39.0,70.0,37.0,bennja01,20.0,937.0,904.0,50.9,1.1,689.0,678.0,50.4,0.6,8.5,91.7,100.0,56.2,43.8,1
6,2010-11,DAL,21.0,69.0,52.0,-5.0,12.0,6.0,4.0,3.0,27.0,5.0,2.0,12.4,326.0,12.4,326.0,18.01,124.0,41.0,66.0,33.0,bennja01,21.0,874.0,896.0,49.4,0.1,645.0,676.0,48.8,-0.9,10.3,89.8,100.0,59.1,40.9,1
7,2011-12,DAL,22.0,71.0,55.0,15.0,23.0,2.0,1.0,7.0,29.0,8.0,0.0,12.8,366.0,12.8,366.0,18.04,136.0,52.0,56.0,51.0,bennja01,22.0,1080.0,980.0,52.4,1.3,805.0,718.0,52.9,1.0,10.7,90.7,101.0,49.2,50.8,1
8,2012-13,DAL,23.0,41.0,40.0,-12.0,9.0,3.0,0.0,3.0,14.0,7.0,0.0,10.9,211.0,10.9,211.0,19.55,71.0,32.0,41.0,31.0,bennja01,23.0,617.0,624.0,49.7,3.2,451.0,471.0,48.9,5.0,9.6,88.1,97.7,58.0,42.0,1
9,2013-14,DAL,24.0,81.0,64.0,21.0,28.0,5.0,1.0,3.0,29.0,14.0,2.0,12.2,512.0,12.2,512.0,19.09,116.0,59.0,69.0,67.0,bennja01,24.0,1266.0,1162.0,52.1,1.5,970.0,865.0,52.9,2.2,11.3,91.3,102.0,56.0,44.0,1
10,2014-15,DAL,25.0,82.0,64.0,1.0,23.0,10.0,2.0,6.0,37.0,13.0,2.0,13.8,466.0,13.8,466.0,19.57,120.0,50.0,76.0,50.0,bennja01,25.0,1375.0,1160.0,54.2,3.2,1001.0,882.0,53.2,1.4,10.9,88.3,99.2,54.6,45.4,1
11,2015-16,DAL,26.0,82.0,64.0,7.0,22.0,17.0,2.0,5.0,32.0,13.0,3.0,16.6,431.0,16.6,431.0,20.01,156.0,55.0,65.0,80.0,bennja01,26.0,1352.0,1194.0,53.1,1.2,976.0,880.0,52.6,0.4,10.4,89.5,99.9,53.7,46.3,1
12,2016-17,DAL,27.0,24.0,25.0,-6.0,2.0,5.0,0.0,2.0,11.0,2.0,0.0,11.9,113.0,11.9,113.0,20.19,40.0,16.0,19.0,13.0,bennja01,27.0,326.0,338.0,49.1,1.7,241.0,249.0,49.2,0.6,9.4,89.7,99.1,42.0,58.0,1
15,2007-08,NYI,26.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,4.42,1.0,0.0,0.0,0.0,bootlda01,26.0,18.0,12.0,60.0,12.3,12.0,6.0,66.7,14.1,11.1,75.0,86.1,85.7,14.3,1
21,2007-08,STL,25.0,82.0,20.0,1.0,32.0,11.0,0.0,9.0,14.0,8.0,0.0,20.8,379.0,20.8,379.0,17.57,55.0,20.0,33.0,33.0,boyesbr01,25.0,958.0,985.0,49.3,2.5,767.0,789.0,49.3,1.0,11.2,91.0,102.0,51.6,48.4,1
22,2008-09,STL,26.0,82.0,26.0,-20.0,17.0,16.0,0.0,11.0,20.0,19.0,0.0,15.0,415.0,15.0,415.0,19.08,49.0,20.0,40.0,47.0,boyesbr01,26.0,1110.0,1057.0,51.2,3.5,863.0,801.0,51.9,2.7,8.1,88.6,96.7,50.3,49.7,1
23,2009-10,STL,27.0,82.0,26.0,1.0,12.0,2.0,0.0,3.0,20.0,8.0,0.0,7.1,374.0,7.1,374.0,16.47,76.0,18.0,46.0,31.0,boyesbr01,27.0,1078.0,1031.0,51.1,-0.4,822.0,805.0,50.5,-0.9,9.4,91.1,100.0,51.9,48.1,1
24,2010-11,TOT,28.0,83.0,36.0,13.0,11.0,6.0,0.0,3.0,31.0,7.0,0.0,9.6,321.0,9.6,321.0,16.00,67.0,33.0,30.0,29.0,boyesbr01,28.0,1203.0,1068.0,53.0,3.0,897.0,816.0,52.4,1.3,9.5,91.6,101.0,53.6,46.4,1
27,2011-12,BUF,29.0,65.0,6.0,2.0,6.0,2.0,0.0,0.0,9.0,6.0,0.0,8.0,170.0,8.0,170.0,13.10,29.0,24.0,18.0,26.0,boyesbr01,29.0,672.0,662.0,50.4,-1.2,500.0,504.0,49.8,-1.4,6.4,94.9,101.0,54.0,46.0,1
28,2012-13,NYI,30.0,48.0,16.0,-6.0,9.0,1.0,0.0,1.0,13.0,12.0,0.0,10.3,189.0,10.3,189.0,18.13,44.0,20.0,19.0,40.0,boyesbr01,30.0,708.0,656.0,51.9,1.2,503.0,456.0,52.5,1.3,8.0,88.2,96.2,60.7,39.3,1
29,2013-14,FLA,31.0,78.0,28.0,-6.0,18.0,2.0,1.0,1.0,14.0,1.0,0.0,11.9,306.0,11.9,306.0,17.03,46.0,35.0,38.0,29.0,boyesbr01,31.0,1040.0,1005.0,50.9,-0.4,820.0,773.0,51.5,-0.1,9.0,89.3,98.4,50.8,49.2,1
30,2014-15,FLA,32.0,78.0,20.0,11.0,9.0,5.0,0.0,4.0,20.0,4.0,0.0,9.3,261.0,9.3,261.0,15.39,60.0,38.0,41.0,31.0,boyesbr01,32.0,931.0,871.0,51.7,0.7,710.0,647.0,52.3,1.9,8.9,92.2,101.0,50.4,49.6,1
31,2015-16,TOR,33.0,60.0,12.0,-6.0,6.0,2.0,0.0,1.0,13.0,3.0,0.0,9.4,169.0,9.4,169.0,11.58,20.0,17.0,25.0,19.0,boyesbr01,33.0,590.0,460.0,56.2,5.9,426.0,362.0,54.1,4.8,8.3,89.4,97.7,52.6,47.4,1
33,2007-08,PHX,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.08,1.0,2.0,0.0,0.0,caldwry01,26.0,13.0,6.0,68.4,12.0,11.0,4.0,73.3,14.7,0.0,100.0,100.0,33.3,66.7,1
35,2013-14,TBL,31.0,19.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,33.0,0.0,33.0,10.00,40.0,22.0,0.0,2.0,coteje01,31.0,191.0,143.0,57.2,3.9,147.0,99.0,59.8,7.6,2.0,97.1,99.1,57.0,43.0,1
41,2007-08,STL,27.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,12.34,2.0,0.0,0.0,2.0,duponmi01,27.0,11.0,12.0,47.8,5.7,9.0,6.0,60.0,12.6,12.5,100.0,112.0,47.1,52.9,1
42,2009-10,PIT,27.0,9.0,17.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,14.0,16.08,25.0,13.0,0.0,2.0,engelde01,27.0,109.0,132.0,45.2,-7.2,79.0,97.0,44.9,-6.8,8.5,88.2,96.7,45.0,55.0,1
43,2010-11,PIT,28.0,63.0,123.0,-5.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,6.1,109.0,6.1,109.0,13.20,122.0,54.0,15.0,14.0,engelde01,28.0,709.0,748.0,48.7,-4.8,526.0,564.0,48.3,-6.1,6.3,93.1,99.4,54.4,45.6,1
44,2011-12,PIT,29.0,73.0,56.0,10.0,4.0,0.0,0.0,1.0,13.0,0.0,0.0,4.7,186.0,4.7,186.0,16.09,174.0,77.0,9.0,18.0,engelde01,29.0,1045.0,967.0,51.9,-3.9,762.0,737.0,50.8,-6.3,8.5,92.7,101.0,55.6,44.4,1
45,2012-13,PIT,30.0,42.0,54.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,57.0,0.0,57.0,13.55,70.0,57.0,7.0,16.0,engelde01,30.0,467.0,527.0,47.0,-2.3,359.0,377.0,48.8,-0.7,8.4,93.7,102.0,53.0,47.0,1
46,2013-14,PIT,31.0,56.0,58.0,-6.0,6.0,0.0,0.0,1.0,5.0,1.0,0.0,10.2,89.0,10.2,89.0,13.03,117.0,52.0,8.0,13.0,engelde01,31.0,509.0,665.0,43.4,-7.8,389.0,495.0,44.0,-7.2,7.6,92.0,99.6,45.3,54.7,1
47,2014-15,CGY,32.0,76.0,53.0,-16.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,3.9,117.0,3.9,117.0,14.23,135.0,142.0,21.0,39.0,engelde01,32.0,752.0,1120.0,40.2,-6.4,559.0,768.0,42.1,-5.5,6.9,91.0,97.9,39.1,60.9,1
48,2015-16,CGY,33.0,69.0,54.0,7.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,4.2,149.0,4.2,149.0,15.14,105.0,107.0,8.0,22.0,engelde01,33.0,805.0,966.0,45.5,-3.9,607.0,690.0,46.8,-2.2,8.6,92.5,101.0,46.3,53.8,1
49,2016-17,CGY,34.0,26.0,27.0,8.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,2.9,74.0,2.9,74.0,18.26,50.0,47.0,5.0,17.0,engelde01,34.0,323.0,350.0,48.0,-2.4,234.0,260.0,47.4,-2.3,10.0,94.5,104.0,40.3,59.7,1
