,index_x,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,index_y,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
30,13,2011-12,PIT,33.0,64.0,76.0,-5.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,10.2,92.0,10.2,92.0,9.14,95.0,8.0,13.0,3.0,ashamar01,5.0,33.0,479.0,491.0,49.4,-5.1,358.0,377.0,48.7,-6.9,9.6,89.7,99.3,49.4,50.6,1
31,14,2012-13,NYR,34.0,27.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,24.0,14.3,24.0,6.38,39.0,4.0,5.0,3.0,ashamar01,6.0,34.0,126.0,150.0,45.7,-6.5,86.0,110.0,43.9,-10.0,7.0,97.4,104.0,40.9,59.1,1
32,15,2013-14,NYR,35.0,6.0,14.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.29,8.0,1.0,0.0,2.0,ashamar01,7.0,35.0,31.0,48.0,39.2,-16.0,17.0,35.0,32.7,-21.0,0.0,78.3,78.3,24.0,76.0,1
41,9,2007-08,MTL,29.0,44.0,48.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,4.5,109.0,4.5,109.0,11.38,119.0,27.0,8.0,11.0,beginst01,1.0,29.0,373.0,425.0,46.7,-2.2,268.0,301.0,47.1,-1.3,8.4,91.8,100.0,34.8,65.2,1
42,10,2008-09,TOT,30.0,62.0,42.0,-6.0,7.0,0.0,0.0,1.0,5.0,0.0,0.0,7.8,147.0,7.8,147.0,10.43,185.0,38.0,15.0,18.0,beginst01,2.0,30.0,471.0,540.0,46.6,-6.0,346.0,403.0,46.2,-6.5,6.6,92.0,98.7,49.7,50.3,1
45,13,2009-10,BOS,31.0,77.0,53.0,-7.0,4.0,0.0,1.0,2.0,8.0,0.0,1.0,4.5,170.0,4.5,170.0,12.50,182.0,31.0,25.0,13.0,beginst01,5.0,31.0,652.0,726.0,47.3,-7.5,505.0,537.0,48.5,-5.9,4.5,93.2,97.8,42.3,57.7,1
46,14,2010-11,NSH,32.0,2.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.49,5.0,0.0,1.0,0.0,beginst01,6.0,32.0,10.0,16.0,38.5,-16.0,10.0,14.0,41.7,-11.0,0.0,81.8,81.8,57.1,42.9,1
47,15,2012-13,CGY,34.0,36.0,22.0,-2.0,3.0,0.0,1.0,2.0,4.0,0.0,0.0,12.9,58.0,12.9,58.0,7.00,62.0,21.0,4.0,7.0,beginst01,7.0,34.0,210.0,226.0,48.2,0.4,160.0,166.0,49.1,1.3,10.4,88.1,98.5,45.5,54.5,1
56,9,2007-08,MIN,30.0,75.0,30.0,-6.0,5.0,7.0,1.0,3.0,17.0,7.0,0.0,11.3,230.0,11.3,230.0,17.13,51.0,46.0,40.0,35.0,belaner01,1.0,30.0,811.0,818.0,49.8,0.4,619.0,640.0,49.2,0.7,8.7,91.2,99.9,38.8,61.2,1
57,10,2008-09,MIN,31.0,79.0,26.0,-5.0,9.0,4.0,0.0,4.0,12.0,9.0,2.0,8.8,259.0,8.8,259.0,17.50,45.0,48.0,48.0,34.0,belaner01,2.0,31.0,844.0,952.0,47.0,-2.5,634.0,725.0,46.7,-3.5,7.6,92.4,100.0,38.2,61.8,1
