,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
0,2013-14,CGY,21.0,8.0,0.0,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.3,20.0,8.3,20.0,11.06,9.0,3.0,3.0,3.0,agostke01,21.0,72.0,95.0,43.1,-2.2,58.0,68.0,46.0,0.1,4.9,92.2,97.0,57.8,42.2,1
1,2015-16,CGY,23.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,13.33,3.0,0.0,2.0,5.0,agostke01,23.0,23.0,19.0,54.8,9.7,17.0,16.0,51.5,7.8,0.0,84.6,84.6,31.3,68.8,1
4,2012-13,PIT,21.0,26.0,6.0,7.0,2.0,1.0,0.0,2.0,7.0,4.0,0.0,10.0,54.0,10.0,54.0,12.18,28.0,9.0,10.0,7.0,bennebe01,21.0,233.0,258.0,47.5,-1.9,165.0,191.0,46.3,-4.1,12.1,94.7,106.0,58.8,41.2,1
5,2013-14,PIT,22.0,21.0,0.0,-2.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,11.1,52.0,11.1,52.0,13.51,32.0,7.0,2.0,4.0,bennebe01,22.0,252.0,193.0,56.6,7.8,181.0,153.0,54.2,3.7,6.9,89.5,96.3,59.9,40.1,1
6,2014-15,PIT,23.0,49.0,16.0,-1.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,4.9,145.0,4.9,145.0,12.29,68.0,13.0,9.0,17.0,bennebe01,23.0,527.0,466.0,53.1,-0.9,392.0,325.0,54.7,1.3,6.8,91.4,98.2,50.3,49.7,1
7,2015-16,PIT,24.0,33.0,10.0,-1.0,5.0,1.0,0.0,0.0,4.0,2.0,0.0,11.5,93.0,11.5,93.0,11.54,65.0,6.0,5.0,10.0,bennebe01,24.0,332.0,308.0,51.9,0.8,241.0,238.0,50.3,-1.4,8.7,90.6,99.4,52.1,47.9,1
8,2016-17,NJD,25.0,20.0,6.0,-3.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,2.8,64.0,2.8,64.0,13.51,19.0,4.0,6.0,7.0,bennebe01,25.0,229.0,204.0,52.9,5.8,172.0,157.0,52.3,4.7,6.2,90.6,96.8,50.7,49.3,1
9,2014-15,CAR,23.0,10.0,0.0,-5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,25.0,16.09,27.0,7.0,1.0,7.0,biegada01,23.0,160.0,124.0,56.3,-0.1,123.0,97.0,55.9,1.3,5.7,85.9,91.6,57.8,42.2,1
10,2014-15,NSH,24.0,7.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,11.47,9.0,3.0,1.0,3.0,bitetan01,24.0,71.0,79.0,47.3,-5.7,54.0,61.0,47.0,-5.3,2.6,94.9,97.4,60.9,39.1,1
11,2015-16,NSH,25.0,28.0,19.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.3,41.0,5.3,41.0,12.08,62.0,41.0,2.0,8.0,bitetan01,25.0,280.0,329.0,46.0,-6.0,207.0,231.0,47.3,-6.4,7.3,93.6,100.0,54.8,45.2,1
12,2016-17,NSH,26.0,4.0,5.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,8.39,7.0,3.0,0.0,1.0,bitetan01,26.0,35.0,37.0,48.6,-6.8,26.0,30.0,46.4,-9.5,11.8,85.7,97.5,70.0,30.0,1
13,2012-13,FLA,20.0,11.0,2.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,23.0,5.9,23.0,15.13,17.0,2.0,3.0,2.0,bjugsni01,20.0,106.0,137.0,43.6,-4.1,74.0,115.0,39.2,-6.5,3.6,88.1,91.7,56.0,44.0,1
14,2013-14,FLA,21.0,76.0,16.0,-14.0,15.0,0.0,1.0,4.0,18.0,3.0,1.0,8.6,301.0,8.6,301.0,16.13,117.0,23.0,37.0,28.0,bjugsni01,21.0,988.0,970.0,50.5,-1.6,759.0,738.0,50.7,-1.0,7.9,89.5,97.4,52.8,47.2,1
15,2014-15,FLA,22.0,72.0,38.0,-7.0,17.0,7.0,0.0,3.0,14.0,5.0,0.0,11.6,325.0,11.6,325.0,16.35,148.0,29.0,23.0,28.0,bjugsni01,22.0,917.0,877.0,51.1,0.0,701.0,661.0,51.5,0.8,7.4,91.4,98.8,52.8,47.2,1
16,2015-16,FLA,23.0,67.0,41.0,-8.0,9.0,6.0,0.0,3.0,10.0,9.0,0.0,8.8,274.0,8.8,274.0,15.31,87.0,28.0,25.0,26.0,bjugsni01,23.0,742.0,745.0,49.9,1.3,586.0,587.0,50.0,1.0,8.0,91.2,99.2,46.0,54.0,1
17,2016-17,FLA,24.0,4.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,13.07,6.0,1.0,0.0,1.0,bjugsni01,24.0,52.0,38.0,57.8,4.7,33.0,30.0,52.4,1.7,0.0,95.8,95.8,63.3,36.7,1
18,2013-14,MTL,21.0,60.0,18.0,-6.0,6.0,1.0,0.0,1.0,5.0,2.0,0.0,9.0,126.0,9.0,126.0,10.19,67.0,42.0,15.0,10.0,bournmi01,21.0,460.0,589.0,43.9,-2.8,330.0,391.0,45.8,-1.8,6.8,92.1,98.8,43.1,56.9,1
19,2014-15,MTL,22.0,29.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,11.1,46.0,11.1,46.0,7.53,26.0,10.0,6.0,7.0,bournmi01,22.0,191.0,205.0,48.2,1.2,130.0,142.0,47.8,-0.3,10.7,91.8,102.0,41.2,58.8,1
20,2015-16,FLA,23.0,23.0,14.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,7.7,18.0,7.7,18.0,8.44,46.0,6.0,4.0,3.0,brickco01,23.0,118.0,173.0,40.5,-9.2,105.0,128.0,45.1,-5.1,6.8,95.7,102.0,56.1,43.9,1
21,2011-12,MIN,19.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,13.0,11.02,17.0,2.0,0.0,0.0,bulmebr01,19.0,62.0,91.0,40.5,-5.5,43.0,62.0,41.0,-5.9,10.0,95.6,105.0,26.9,73.1,1
22,2013-14,MIN,21.0,5.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,10.41,14.0,2.0,1.0,0.0,bulmebr01,21.0,41.0,42.0,49.4,7.4,31.0,33.0,48.4,6.6,0.0,92.9,92.9,22.9,77.1,1
23,2015-16,MIN,23.0,3.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.43,2.0,0.0,0.0,0.0,bulmebr01,23.0,7.0,24.0,22.6,-29.0,5.0,15.0,25.0,-25.0,0.0,90.9,90.9,35.7,64.3,1
24,2010-11,ATL,19.0,74.0,27.0,-12.0,6.0,0.0,0.0,2.0,13.0,0.0,1.0,6.5,164.0,6.5,164.0,13.13,62.0,22.0,48.0,33.0,burmial01,19.0,693.0,797.0,46.5,-3.3,521.0,567.0,47.9,-3.0,6.9,91.7,98.5,55.9,44.1,1
25,2011-12,WPG,20.0,76.0,42.0,4.0,11.0,1.0,1.0,0.0,13.0,2.0,0.0,10.6,231.0,10.6,231.0,16.40,118.0,15.0,42.0,31.0,burmial01,20.0,997.0,870.0,53.4,2.5,762.0,650.0,54.0,2.7,8.0,91.8,99.8,59.1,40.9,1
26,2012-13,WPG,21.0,44.0,14.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,7.3,113.0,7.3,113.0,15.38,106.0,16.0,22.0,17.0,burmial01,21.0,516.0,491.0,51.2,0.9,368.0,376.0,49.5,-2.0,6.8,93.4,100.0,52.0,48.0,1
27,2015-16,WPG,24.0,81.0,32.0,-11.0,7.0,0.0,0.0,2.0,12.0,1.0,1.0,6.9,204.0,6.9,204.0,16.10,125.0,35.0,36.0,48.0,burmial01,24.0,875.0,936.0,48.3,-4.3,644.0,682.0,48.6,-3.6,6.2,92.0,98.2,51.2,48.8,1
28,2016-17,WPG,25.0,20.0,2.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,29.0,0.0,29.0,11.26,26.0,4.0,3.0,6.0,burmial01,25.0,145.0,178.0,44.9,-5.8,98.0,127.0,43.6,-6.3,2.9,93.4,96.3,38.8,61.2,1
29,2014-15,TOR,22.0,16.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.9,24.0,5.9,24.0,6.29,30.0,1.0,7.0,1.0,carrisa01,22.0,86.0,90.0,48.9,1.2,64.0,75.0,46.0,-1.7,6.5,96.0,102.0,47.5,52.5,1
30,2015-16,TOR,23.0,3.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,11.28,4.0,0.0,0.0,0.0,carrisa01,23.0,17.0,35.0,32.7,-12.0,15.0,28.0,34.9,-6.7,0.0,89.5,89.5,83.3,16.7,1
31,2013-14,CBJ,21.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,16.0,8.54,34.0,10.0,5.0,1.0,chapumi01,21.0,87.0,154.0,36.1,-17.0,60.0,112.0,34.9,-15.0,12.5,93.9,106.0,51.2,48.8,1
32,2014-15,CBJ,22.0,33.0,21.0,-8.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.3,40.0,4.3,40.0,10.12,59.0,20.0,4.0,3.0,chapumi01,22.0,185.0,314.0,37.1,-10.0,147.0,228.0,39.2,-8.2,4.7,92.4,97.1,41.7,58.3,1
33,2015-16,CBJ,23.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,12.0,10.0,12.0,8.00,13.0,3.0,0.0,3.0,chapumi01,23.0,63.0,67.0,48.5,-5.4,44.0,49.0,47.3,-8.2,12.5,97.1,109.0,60.5,39.5,1
34,2016-17,VAN,24.0,11.0,4.0,-5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,15.0,11.03,18.0,5.0,1.0,2.0,chapumi01,24.0,109.0,116.0,48.4,-3.4,81.0,95.0,46.0,-5.4,4.8,88.2,93.0,39.1,60.9,1
35,2011-12,TBL,19.0,68.0,30.0,-9.0,3.0,1.0,0.0,2.0,9.0,2.0,0.0,4.3,156.0,4.3,156.0,11.28,58.0,19.0,9.0,21.0,connobr01,19.0,569.0,655.0,46.5,-1.2,438.0,491.0,47.1,-1.1,7.4,91.6,99.1,48.9,51.1,1
36,2012-13,TBL,20.0,5.0,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,10.0,19.0,10.16,2.0,1.0,4.0,0.0,connobr01,20.0,41.0,51.0,44.6,5.6,26.0,41.0,38.8,-1.4,0.0,89.7,89.7,37.5,62.5,1
37,2013-14,TBL,21.0,11.0,4.0,-5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.3,18.0,8.3,18.0,12.01,9.0,1.0,3.0,1.0,connobr01,21.0,105.0,102.0,50.7,-0.9,83.0,76.0,52.2,2.0,8.3,84.9,93.2,67.2,32.8,1
38,2014-15,TOT,22.0,55.0,48.0,3.0,10.0,2.0,0.0,2.0,4.0,1.0,0.0,14.5,143.0,14.5,143.0,12.09,90.0,13.0,9.0,6.0,connobr01,22.0,525.0,420.0,55.6,1.5,379.0,308.0,55.2,0.9,7.2,92.7,99.9,54.2,45.8,1
41,2015-16,BOS,23.0,71.0,20.0,-1.0,7.0,2.0,0.0,2.0,13.0,3.0,0.0,9.5,171.0,9.5,171.0,12.58,137.0,36.0,11.0,20.0,connobr01,23.0,828.0,779.0,51.5,3.5,632.0,591.0,51.7,3.6,8.7,90.7,99.3,47.1,52.9,1
42,2016-17,WSH,24.0,13.0,12.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,11.1,27.0,11.1,27.0,10.48,28.0,1.0,5.0,1.0,connobr01,24.0,135.0,111.0,54.9,3.7,101.0,90.0,52.9,2.7,5.3,95.6,100.0,62.3,37.7,1
43,2012-13,MIN,20.0,37.0,28.0,3.0,7.0,1.0,0.0,2.0,6.0,0.0,0.0,16.0,88.0,16.0,88.0,15.04,50.0,9.0,14.0,9.0,coylech01,20.0,462.0,367.0,55.7,4.8,346.0,271.0,56.1,4.9,7.3,91.3,98.6,64.7,35.3,1
44,2013-14,MIN,21.0,70.0,33.0,-7.0,10.0,2.0,0.0,2.0,17.0,1.0,0.0,8.9,213.0,8.9,213.0,17.05,108.0,37.0,32.0,28.0,coylech01,21.0,857.0,904.0,48.7,0.6,643.0,664.0,49.2,1.4,7.9,91.5,99.4,56.3,43.7,1
45,2014-15,MIN,22.0,82.0,39.0,13.0,10.0,1.0,0.0,4.0,22.0,2.0,0.0,9.2,214.0,9.2,214.0,14.33,137.0,52.0,24.0,20.0,coylech01,22.0,997.0,980.0,50.4,-0.5,746.0,690.0,51.9,0.1,10.2,92.1,102.0,44.3,55.7,1
46,2015-16,MIN,23.0,82.0,16.0,1.0,19.0,2.0,0.0,4.0,16.0,4.0,1.0,15.0,233.0,15.0,233.0,17.18,130.0,60.0,36.0,30.0,coylech01,23.0,1040.0,1142.0,47.7,-0.2,774.0,812.0,48.8,0.3,9.1,91.7,100.0,52.0,48.0,1
47,2016-17,MIN,24.0,22.0,18.0,4.0,5.0,3.0,0.0,2.0,7.0,0.0,0.0,15.1,75.0,15.1,75.0,18.08,25.0,18.0,12.0,11.0,coylech01,24.0,343.0,281.0,55.0,7.8,257.0,217.0,54.2,7.1,7.4,92.5,99.9,50.6,49.4,1
48,2013-14,BOS,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,9.29,1.0,0.0,0.0,0.0,cunnicr01,23.0,17.0,14.0,54.8,-2.8,12.0,13.0,48.0,-15.0,0.0,100.0,100.0,83.3,16.7,1
49,2014-15,TOT,24.0,51.0,4.0,-7.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,5.6,76.0,5.6,76.0,10.28,107.0,31.0,8.0,2.0,cunnicr01,24.0,353.0,467.0,43.0,-8.4,278.0,353.0,44.1,-6.5,4.5,93.5,98.1,34.6,65.4,1
52,2015-16,ARI,25.0,10.0,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,18.0,10.05,15.0,4.0,2.0,1.0,cunnicr01,25.0,75.0,102.0,42.4,-0.6,52.0,80.0,39.4,-2.5,5.0,94.7,99.7,31.6,68.4,1
53,2014-15,EDM,23.0,12.0,0.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,20.0,14.3,20.0,15.08,18.0,22.0,0.0,4.0,davidbr01,23.0,134.0,166.0,44.7,-2.9,101.0,109.0,48.1,1.9,9.8,86.4,96.3,47.0,53.0,1
54,2015-16,EDM,24.0,51.0,20.0,7.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,6.3,166.0,6.3,166.0,19.12,74.0,92.0,19.0,45.0,davidbr01,24.0,766.0,705.0,52.1,3.2,551.0,515.0,51.7,3.4,7.8,93.0,100.0,49.3,50.7,1
56,2015-16,SJS,23.0,76.0,20.0,4.0,8.0,3.0,0.0,1.0,20.0,5.0,0.0,10.3,189.0,10.3,189.0,14.09,31.0,46.0,33.0,37.0,donskjo01,23.0,938.0,821.0,53.3,2.5,685.0,565.0,54.8,2.5,8.5,91.4,100.0,49.8,50.2,1
57,2016-17,SJS,24.0,24.0,8.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,4.8,80.0,4.8,80.0,14.57,11.0,10.0,13.0,13.0,donskjo01,24.0,322.0,277.0,53.8,1.8,237.0,205.0,53.6,0.9,6.6,92.9,99.5,58.1,41.9,1
58,2015-16,MTL,23.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,8.57,1.0,2.0,0.0,2.0,ellismo01,23.0,22.0,22.0,50.0,1.8,14.0,17.0,45.2,0.2,10.0,92.9,102.0,50.0,50.0,1
59,2012-13,ANA,20.0,38.0,9.0,7.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,6.3,89.0,6.3,89.0,11.28,43.0,20.0,11.0,5.0,etemem01,20.0,314.0,379.0,45.3,-1.8,230.0,269.0,46.1,-1.4,8.1,95.2,103.0,56.7,43.3,1
60,2013-14,ANA,21.0,29.0,4.0,3.0,5.0,1.0,1.0,2.0,4.0,0.0,0.0,15.9,84.0,15.9,84.0,12.47,50.0,13.0,8.0,7.0,etemem01,21.0,280.0,302.0,48.1,-1.7,215.0,214.0,50.1,0.0,8.2,93.6,101.0,55.2,44.8,1
61,2014-15,ANA,22.0,45.0,4.0,-6.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,6.5,135.0,6.5,135.0,12.15,63.0,20.0,12.0,11.0,etemem01,22.0,522.0,451.0,53.6,2.8,399.0,338.0,54.1,2.8,4.7,92.1,96.8,53.8,46.3,1
62,2015-16,TOT,23.0,58.0,11.0,-12.0,7.0,0.0,0.0,1.0,8.0,0.0,0.0,7.0,182.0,7.0,182.0,13.09,87.0,43.0,20.0,20.0,etemem01,23.0,649.0,766.0,45.9,-1.3,478.0,572.0,45.5,0.1,6.9,91.3,98.2,42.0,58.0,1
66,2013-14,NYR,22.0,11.0,2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,11.17,20.0,7.0,1.0,1.0,fastje01,22.0,96.0,67.0,58.9,4.0,66.0,54.0,55.0,4.4,1.9,85.7,87.6,45.1,54.9,1
67,2014-15,NYR,23.0,58.0,8.0,-1.0,6.0,0.0,0.0,0.0,7.0,1.0,0.0,11.5,89.0,11.5,89.0,11.48,101.0,28.0,13.0,5.0,fastje01,23.0,539.0,549.0,49.5,0.9,416.0,409.0,50.4,1.4,6.7,92.7,99.3,41.8,58.2,1
68,2015-16,NYR,24.0,79.0,18.0,9.0,10.0,0.0,0.0,3.0,20.0,0.0,0.0,13.3,141.0,13.3,141.0,14.56,109.0,55.0,35.0,18.0,fastje01,24.0,867.0,932.0,48.2,1.2,642.0,671.0,48.9,1.4,10.0,92.0,102.0,44.8,55.2,1
69,2016-17,NYR,25.0,24.0,12.0,7.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,16.7,24.0,16.7,24.0,13.28,34.0,11.0,18.0,6.0,fastje01,25.0,220.0,264.0,45.5,-0.5,162.0,191.0,45.9,-2.3,13.8,94.4,108.0,30.7,69.3,1
70,2011-12,CAR,19.0,66.0,29.0,-16.0,3.0,5.0,0.0,2.0,7.0,7.0,0.0,7.9,220.0,7.9,220.0,22.51,113.0,85.0,32.0,20.0,faulkju01,19.0,1097.0,1194.0,47.9,-1.8,816.0,895.0,47.7,-2.2,6.3,91.5,97.8,52.0,48.0,1
71,2012-13,CAR,20.0,38.0,15.0,1.0,3.0,1.0,1.0,0.0,8.0,2.0,0.0,6.6,138.0,6.6,138.0,24.00,63.0,47.0,24.0,26.0,faulkju01,20.0,671.0,691.0,49.3,-2.3,503.0,532.0,48.6,-1.9,9.8,91.3,101.0,45.8,54.2,1
72,2013-14,CAR,21.0,76.0,37.0,-9.0,3.0,2.0,0.0,1.0,20.0,6.0,1.0,3.3,337.0,3.3,337.0,23.25,94.0,102.0,41.0,47.0,faulkju01,21.0,1464.0,1381.0,51.5,0.8,1075.0,1083.0,49.8,-0.5,8.9,90.0,98.9,51.8,48.2,1
73,2014-15,CAR,22.0,82.0,30.0,-19.0,6.0,7.0,2.0,4.0,21.0,13.0,0.0,6.3,452.0,6.3,452.0,24.26,157.0,114.0,70.0,50.0,faulkju01,22.0,1761.0,1478.0,54.4,3.8,1285.0,1128.0,53.3,2.7,6.5,89.9,96.4,51.2,48.8,1
74,2015-16,CAR,23.0,64.0,27.0,-22.0,4.0,12.0,0.0,4.0,16.0,5.0,0.0,8.7,385.0,8.7,385.0,24.03,109.0,65.0,45.0,42.0,faulkju01,23.0,1209.0,1103.0,52.3,1.1,891.0,854.0,51.1,0.3,7.4,89.0,96.4,48.9,51.1,1
75,2016-17,CAR,24.0,19.0,8.0,-7.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,6.0,114.0,6.0,114.0,23.39,34.0,22.0,11.0,18.0,faulkju01,24.0,366.0,310.0,54.1,0.3,270.0,238.0,53.1,1.7,7.0,87.9,94.8,53.8,46.2,1
76,2014-15,CGY,22.0,26.0,16.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,5.9,65.0,5.9,65.0,10.31,71.0,11.0,19.0,11.0,ferlami01,22.0,216.0,258.0,45.6,1.1,162.0,173.0,48.4,1.8,6.1,95.1,101.0,44.9,55.1,1
77,2015-16,CGY,23.0,71.0,45.0,-15.0,3.0,1.0,0.0,0.0,13.0,1.0,0.0,3.3,189.0,3.3,189.0,12.37,207.0,22.0,37.0,25.0,ferlami01,23.0,737.0,759.0,49.3,1.4,540.0,539.0,50.0,2.1,7.0,89.4,96.4,43.9,56.1,1
78,2016-17,CGY,24.0,26.0,5.0,-2.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,12.1,55.0,12.1,55.0,11.00,60.0,9.0,14.0,12.0,ferlami01,24.0,252.0,231.0,52.2,3.1,180.0,181.0,49.9,1.1,6.1,92.2,98.2,38.7,61.3,1
79,2013-14,BOS,23.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,8.0,20.0,8.0,11.51,4.0,0.0,2.0,0.0,floreju01,23.0,32.0,36.0,47.1,-2.4,28.0,26.0,51.9,1.1,15.8,88.9,104.0,41.4,58.6,1
80,2015-16,LAK,23.0,14.0,17.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.1,30.0,7.1,30.0,11.03,9.0,7.0,0.0,3.0,forbode01,23.0,176.0,106.0,62.4,4.9,132.0,85.0,60.8,3.3,4.2,91.2,95.4,56.0,44.0,1
81,2016-17,LAK,24.0,23.0,34.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.3,55.0,4.3,55.0,17.27,49.0,55.0,2.0,14.0,forbode01,24.0,293.0,328.0,47.2,-9.3,215.0,229.0,48.4,-7.6,9.2,92.1,101.0,53.3,46.7,1
82,2010-11,ANA,19.0,76.0,20.0,-25.0,4.0,6.0,0.0,3.0,13.0,17.0,0.0,8.1,255.0,8.1,255.0,22.08,45.0,93.0,23.0,41.0,fowleca01,19.0,1036.0,1412.0,42.3,-5.2,826.0,1076.0,43.4,-3.5,6.6,91.6,98.2,52.4,47.6,1
83,2011-12,ANA,20.0,82.0,18.0,-28.0,3.0,2.0,0.0,0.0,15.0,9.0,0.0,4.1,266.0,4.1,266.0,23.16,43.0,93.0,23.0,40.0,fowleca01,20.0,1374.0,1314.0,51.1,2.6,1034.0,1005.0,50.7,1.8,7.5,88.7,96.2,51.0,49.0,1
84,2012-13,ANA,21.0,37.0,4.0,-4.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,119.0,2.0,119.0,20.26,19.0,41.0,5.0,30.0,fowleca01,21.0,545.0,603.0,47.5,-1.7,379.0,447.0,45.9,-3.8,7.4,92.9,100.0,52.6,47.4,1
85,2013-14,ANA,22.0,70.0,14.0,15.0,1.0,4.0,1.0,2.0,19.0,11.0,0.0,6.0,223.0,6.0,223.0,23.52,46.0,122.0,24.0,36.0,fowleca01,22.0,1125.0,1148.0,49.5,-1.4,848.0,836.0,50.4,-1.1,9.0,93.1,102.0,49.6,50.4,1
86,2014-15,ANA,23.0,80.0,14.0,4.0,5.0,1.0,1.0,2.0,18.0,8.0,1.0,8.0,188.0,8.0,188.0,21.09,47.0,107.0,23.0,52.0,fowleca01,23.0,1242.0,1233.0,50.2,-1.0,943.0,901.0,51.1,-0.3,9.3,90.5,99.8,48.0,52.0,1
