,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2009-10,PHI,20,927,819,53.1,1.5,702,607,53.6,1.3,7.4,92.0,99.4,58.5,41.5
2,2010-11,PHI,21,1004,1004,50.0,-2.7,756,734,50.7,-2.0,10.0,92.5,102.,52.7,47.3
3,2011-12,PHI,22,563,505,52.7,-0.8,404,363,52.7,-1.1,8.0,90.6,98.6,61.1,38.9
4,2012-13,TOR,23,694,818,45.9,1.5,502,606,45.3,1.6,10.3,90.4,100.,48.8,51.2
5,2013-14,TOR,24,1256,1517,45.3,1.8,952,1191,44.4,0.8,9.6,91.2,100.,47.0,53.0
6,2014-15,TOR,25,1140,1397,44.9,-2.2,851,1073,44.2,-2.8,7.2,90.6,97.8,51.0,49.0
7,2015-16,TOR,26,675,547,55.2,7.9,501,426,54.0,7.0,9.1,91.7,100.,64.3,35.7
8,2016-17,TOR,27,319,305,51.1,1.4,242,240,50.2,0.7,11.0,87.4,98.4,56.2,43.8
