,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2014-15,WPG,21,80,46,1,10,0,1,2,9,3,0,10.6,185,10.6,185,13:45,255,32,24,14
2,2015-16,WPG,22,74,53,-9,7,0,0,2,10,0,0,9.6,121,9.6,121,14:01,187,48,33,18
3,2016-17,WPG,23,25,19,-3,5,1,0,0,0,2,0,17.1,58,17.1,58,16:10,61,17,11,8
