"","name","season","TOT","X.x","age.x","games_played","pen_min","plus_minus","goals_ev","goals_pp","goals_sh","goals_gw","assists_ev","assists_pp","assists_sh","shot_pct","shots_attempted","shot_pct.1","shots_attempted.1","time_on_ice_avg","hits","blocks","takeaways","giveaways","X.y","age.y","corsi_for","corsi_against","corsi_pct","corsi_rel_pct","fenwick_for","fenwick_against","fenwick_pct","fenwick_rel_pct","on_ice_shot_pct","on_ice_sv_pct","pdo","zs_offense_pct","zs_defense_pct"
"11","adamscr01","2008-09","PIT",12,37,9,0,"0",0,0,0,0,1,0,0,"0.0",14,"0.0",14,"8:34",14,4,0,0,6,31,67,34,66.3,"9.5",56,24,70,"11.3",2.3,92.3,94.6,"74.3","25.7"
"12","adamscr01","2008-09","PIT",11,36,36,22,"-3",1,1,0,0,4,0,0,"5.3",67,"5.3",67,"8:43",53,16,7,3,6,31,67,34,66.3,"9.5",56,24,70,"11.3",2.3,92.3,94.6,"74.3","25.7"
"13","ashamar01","1998-99","NJD",1,29,7,0,"-4",0,0,0,0,0,0,0,"0.0",NA,"0.0",NA,"7:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ashamar01","1999-00","PHI",2,30,33,24,"-7",3,0,1,1,1,1,0,"13.8",NA,"13.8",NA,"10:14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ashamar01","2000-01","PHI",3,31,46,59,"-9",2,0,0,0,2,1,0,"6.3",NA,"6.3",NA,"8:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ashamar01","2001-02","PIT",4,32,35,55,"7",5,0,0,0,4,0,0,"16.7",NA,"16.7",NA,"8:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ashamar01","2002-03","PIT",5,33,78,57,"1",11,4,0,1,17,1,1,"13.2",NA,"13.2",NA,"12:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ashamar01","2003-04","NYR",6,34,79,92,"-12",11,1,0,0,10,2,0,"11.1",NA,"11.1",NA,"13:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ashamar01","2005-06","NYR",7,35,63,103,"-5",6,2,1,0,15,0,0,"9.1",NA,"9.1",NA,"13:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","beginst01","1997-98","MTL",1,29,5,23,"0",0,0,0,0,0,0,0,"0.0",NA,"0.0",NA,"</td>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
