,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
0,MTL,21.0,21.0,1.0,0.0,0.0,4.0,81.0,67.0,45.3,1.2,63.0,52.0,45.2,0.3,12.0,2.0,2.0,0.0,0.0,0.0,5.0,andrisv01,12.5,92.9,105.0,0.0,0.0,2014-15,16.7,16.7,21.0,21.0,1.0,9.25,1,39.6,60.4
5,BUF,21.0,21.0,0.0,0.0,0.0,1.0,95.0,75.0,44.1,-7.3,77.0,54.0,41.2,-9.7,12.0,1.0,2.0,0.0,0.0,0.0,10.0,baptini01,7.9,96.8,104.0,6.0,1.0,2016-17,16.7,16.7,16.0,16.0,0.0,8.42,1,44.6,55.4
9,FLA,21.0,21.0,8.0,4.0,0.0,11.0,257.0,326.0,55.9,5.1,209.0,243.0,53.8,3.1,23.0,10.0,2.0,1.0,0.0,0.0,14.0,barkoal01,8.3,91.4,99.7,0.0,1.0,2016-17,4.7,4.7,74.0,74.0,15.0,19.0,1,47.0,53.0
10,DET,21.0,21.0,0.0,0.0,0.0,0.0,54.0,38.0,41.3,-6.0,45.0,28.0,38.4,-9.3,7.0,3.0,0.0,0.0,0.0,0.0,12.0,bertuty01,5.0,93.1,98.1,0.0,-1.0,2016-17,0.0,0.0,8.0,8.0,1.0,9.06,1,44.4,55.6
13,CBJ,21.0,21.0,0.0,0.0,0.0,1.0,22.0,17.0,43.6,-8.6,15.0,13.0,46.4,-3.6,3.0,1.0,0.0,0.0,0.0,0.0,1.0,bjorkol01,9.1,76.9,86.0,4.0,-2.0,2016-17,0.0,0.0,5.0,5.0,0.0,10.51,1,35.7,64.3
14,NYR,21.0,21.0,2.0,2.0,0.0,3.0,102.0,122.0,54.5,7.3,76.0,93.0,55.0,7.3,10.0,10.0,3.0,0.0,1.0,0.0,3.0,buchnpa01,14.9,87.7,102.0,4.0,4.0,2016-17,22.2,22.2,35.0,35.0,4.0,15.06,1,57.0,43.0
17,WSH,21.0,21.0,7.0,1.0,0.0,9.0,237.0,274.0,53.6,2.4,186.0,192.0,50.8,0.3,21.0,13.0,2.0,0.0,0.0,0.0,9.0,burakan01,7.3,90.8,98.1,4.0,-2.0,2016-17,5.4,5.4,78.0,78.0,12.0,14.5,1,46.7,53.3
20,WPG,21.0,21.0,6.0,0.0,0.0,18.0,467.0,425.0,47.6,-4.1,343.0,309.0,47.4,-4.1,77.0,18.0,7.0,0.0,0.0,0.0,87.0,coppan01,8.6,95.8,104.0,6.0,8.0,2015-16,13.0,13.0,89.0,89.0,10.0,8.0,1,53.9,46.1
23,TOT,21.0,21.0,4.0,1.0,0.0,15.0,316.0,368.0,53.8,1.9,238.0,270.0,53.1,1.8,34.0,15.0,5.0,0.0,0.0,0.0,62.0,danoma01,6.1,89.7,95.8,10.0,-7.0,2015-16,9.3,9.3,92.0,92.0,10.0,12.15,1,39.5,60.5
28,ARI,21.0,21.0,1.0,0.0,0.0,7.0,150.0,132.0,46.8,1.5,116.0,98.0,45.8,1.9,17.0,1.0,0.0,0.0,0.0,1.0,27.0,dauphla01,4.3,94.8,99.1,6.0,-1.0,2016-17,4.3,4.3,30.0,30.0,7.0,10.5,1,67.4,32.6
