,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
15,PIT,35.0,35.0,6.0,0.0,0.0,37.0,381.0,277.0,42.1,-8.8,252.0,219.0,46.5,-5.0,48.0,7.0,2.0,0.0,0.0,1.0,107.0,adamscr01,6.8,93.0,99.8,28.0,-1.0,2012-13,6.5,6.5,71.0,,5.0,11.1,1,58.7,41.3
32,NYR,35.0,35.0,0.0,0.0,0.0,1.0,48.0,31.0,39.2,-16.0,35.0,17.0,32.7,-21.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,ashamar01,0.0,78.3,78.3,14.0,-5.0,2013-14,0.0,0.0,2.0,,0.0,7.29,1,76.0,24.0
63,EDM,35.0,35.0,3.0,0.0,0.0,15.0,316.0,199.0,38.6,-10.0,229.0,141.0,38.1,-10.0,26.0,9.0,0.0,0.0,0.0,0.0,19.0,belaner01,7.7,94.6,102.0,10.0,-1.0,2012-13,0.0,0.0,54.0,,12.0,14.07,1,66.0,34.0
99,PHI,35.0,35.0,7.0,3.0,0.0,6.0,451.0,409.0,47.6,-0.6,338.0,294.0,46.5,-3.0,34.0,13.0,3.0,1.0,3.0,0.0,15.0,brierda01,7.1,88.8,95.9,10.0,-13.0,2012-13,6.9,6.9,143.0,,7.0,16.04,1,48.7,51.3
116,BOS,35.0,35.0,10.0,1.0,1.0,64.0,782.0,991.0,55.9,0.6,595.0,751.0,55.8,1.6,48.0,34.0,4.0,2.0,3.0,0.0,101.0,charazd01,8.4,93.3,101.0,70.0,14.0,2012-13,5.9,5.9,248.0,,12.0,24.56,1,55.0,45.0
133,TBL,35.0,35.0,11.0,2.0,0.0,199.0,1211.0,977.0,44.7,-3.9,851.0,710.0,45.5,-4.0,82.0,43.0,2.0,0.0,0.0,0.0,118.0,clarkbr01,8.4,88.9,97.4,20.0,-26.0,2011-12,3.3,3.3,168.0,,26.0,18.23,1,53.8,46.2
152,MIN,35.0,35.0,16.0,5.0,0.0,39.0,1025.0,930.0,47.6,3.3,760.0,690.0,47.6,2.3,73.0,31.0,10.0,0.0,4.0,0.0,46.0,cullema01,7.2,91.1,98.3,24.0,-10.0,2011-12,8.5,8.5,267.0,,37.0,18.56,1,56.1,43.9
289,ANA,35.0,35.0,5.0,0.0,1.0,76.0,517.0,481.0,48.2,1.2,351.0,364.0,50.9,2.6,35.0,19.0,0.0,0.0,0.0,0.0,83.0,lydmato01,6.9,91.1,98.0,12.0,-1.0,2012-13,0.0,0.0,61.0,,6.0,19.23,1,52.9,47.1
340,PHX,35.0,35.0,11.0,1.0,0.0,104.0,1010.0,1028.0,50.4,-1.9,773.0,754.0,49.4,-2.6,63.0,23.0,5.0,0.0,0.0,0.0,99.0,morride01,7.5,92.1,99.7,41.0,-2.0,2013-14,6.1,6.1,200.0,,21.0,19.27,1,50.2,49.8
408,OTT,35.0,35.0,7.0,7.0,0.0,95.0,980.0,1050.0,51.7,-3.1,787.0,790.0,50.1,-3.7,70.0,46.0,0.0,0.0,1.0,0.0,140.0,phillch02,7.4,90.8,98.1,30.0,-13.0,2013-14,1.1,1.1,173.0,,10.0,19.14,1,52.9,47.1
