,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
361,WSH,24.0,24.0,19.0,2.0,0.0,61.0,1061.0,1232.0,53.7,4.2,804.0,885.0,52.4,1.8,82.0,41.0,8.0,3.0,0.0,0.0,121.0,orlovdm01,10.1,90.4,100.0,26.0,8.0,2015-16,8.9,8.9,198.0,198.0,37.0,16.02,1,36.9,63.1
368,STL,24.0,24.0,6.0,0.0,0.0,16.0,486.0,606.0,55.5,4.6,364.0,458.0,55.7,5.3,48.0,4.0,3.0,1.0,0.0,0.0,44.0,paajama01,4.1,91.7,95.8,8.0,-9.0,2015-16,3.4,3.4,142.0,142.0,8.0,12.51,1,51.4,48.6
375,NJD,24.0,24.0,15.0,12.0,0.0,51.0,1019.0,855.0,45.6,-0.3,748.0,643.0,46.2,-0.5,82.0,35.0,19.0,4.0,11.0,0.0,129.0,palmiky01,8.3,94.1,102.0,39.0,3.0,2015-16,13.5,13.5,391.0,391.0,43.0,17.48,1,56.8,43.2
380,CHI,24.0,24.0,2.0,0.0,0.0,11.0,292.0,290.0,49.8,0.4,210.0,221.0,51.3,2.3,30.0,8.0,6.0,1.0,0.0,0.0,54.0,panikri01,7.8,95.0,102.0,6.0,4.0,2015-16,15.4,15.4,66.0,66.0,6.0,10.5,1,43.5,56.5
389,TOT,24.0,24.0,8.0,7.0,0.0,14.0,669.0,622.0,48.2,-0.6,511.0,475.0,48.2,-1.4,61.0,26.0,11.0,3.0,3.0,0.0,66.0,pirribr01,7.2,92.4,99.6,30.0,-4.0,2015-16,10.9,10.9,271.0,271.0,20.0,14.31,1,47.2,52.8
393,BOS,24.0,24.0,0.0,0.0,0.0,8.0,192.0,124.0,39.2,-10.0,145.0,90.0,38.3,-12.0,27.0,1.0,6.0,1.0,0.0,0.0,39.0,randety01,13.6,89.7,103.0,47.0,-2.0,2015-16,33.3,33.3,21.0,21.0,6.0,6.59,1,48.4,51.6
402,CHI,24.0,24.0,10.0,1.0,0.0,38.0,486.0,645.0,57.0,4.0,377.0,465.0,55.2,3.0,49.0,29.0,3.0,1.0,0.0,0.0,23.0,rundbda01,10.3,94.3,104.0,12.0,17.0,2014-15,5.2,5.2,137.0,137.0,10.0,12.48,1,31.8,68.2
406,ARI,24.0,24.0,0.0,0.0,0.0,11.0,51.0,57.0,52.8,10.7,32.0,44.0,57.9,14.7,4.0,1.0,0.0,0.0,0.0,0.0,3.0,samueph01,3.0,96.0,99.0,2.0,0.0,2015-16,0.0,0.0,7.0,7.0,1.0,15.53,1,44.4,55.6
410,CBJ,24.0,24.0,18.0,7.0,0.0,105.0,1427.0,1255.0,46.8,-1.4,1084.0,961.0,47.0,-0.5,82.0,22.0,8.0,3.0,3.0,0.0,195.0,savarda01,9.1,91.9,101.0,71.0,0.0,2014-15,9.8,9.8,248.0,248.0,14.0,22.57,1,57.0,43.0
419,PHI,24.0,24.0,22.0,11.0,0.0,30.0,1046.0,1084.0,50.9,0.9,781.0,776.0,49.8,-0.4,80.0,35.0,15.0,5.0,11.0,0.0,187.0,schenbr01,8.5,93.5,102.0,33.0,3.0,2015-16,14.6,14.6,323.0,323.0,30.0,16.54,1,47.1,52.9
