,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
10,TOT,26.0,26.0,4.0,1.0,0.0,3.0,179.0,191.0,51.6,0.3,129.0,151.0,53.9,2.4,25.0,5.0,4.0,0.0,2.0,0.0,33.0,beechkr01,8.3,93.0,101.0,4.0,3.0,2007-08,16.7,16.7,46.0,46.0,6.0,11.3,1,44.4,55.6
77,BUF,26.0,26.0,20.0,12.0,1.0,36.0,544.0,569.0,51.1,2.8,419.0,445.0,51.5,1.1,48.0,33.0,3.0,3.0,3.0,1.0,18.0,connoti01,9.7,90.1,99.8,8.0,4.0,2007-08,6.3,6.3,182.0,182.0,16.0,18.41,1,45.9,54.1
87,NSH,26.0,26.0,23.0,11.0,0.0,16.0,882.0,1032.0,53.9,3.9,692.0,799.0,53.6,3.2,76.0,52.0,19.0,6.0,4.0,0.0,49.0,eratma01,8.8,91.0,99.8,40.0,-3.0,2007-08,14.1,14.1,261.0,261.0,50.0,18.39,1,50.4,49.6
103,ATL,26.0,26.0,5.0,0.0,0.0,135.0,1207.0,849.0,41.3,-4.6,924.0,634.0,40.7,-5.2,79.0,39.0,2.0,0.0,0.0,0.0,175.0,exelbga01,7.8,91.1,98.9,85.0,-21.0,2007-08,5.4,5.4,92.0,92.0,30.0,18.53,1,58.9,41.1
165,CHI,26.0,26.0,13.0,4.0,0.0,9.0,343.0,394.0,53.5,1.6,279.0,317.0,53.2,0.4,35.0,7.0,7.0,2.0,3.0,0.0,5.0,havlama01,10.3,90.6,100.0,22.0,4.0,2007-08,11.5,11.5,121.0,121.0,19.0,18.35,1,47.8,52.2
190,STL,26.0,26.0,11.0,2.0,1.0,124.0,1119.0,1041.0,48.2,0.5,856.0,840.0,49.5,0.8,78.0,40.0,1.0,0.0,1.0,0.0,135.0,jackmba01,7.8,90.1,97.9,93.0,-12.0,2007-08,2.5,2.5,164.0,164.0,31.0,22.24,1,58.2,41.8
200,TOT,26.0,26.0,0.0,0.0,0.0,3.0,26.0,16.0,38.1,-24.0,21.0,11.0,34.4,-28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,janceda01,0.0,93.8,93.8,2.0,-1.0,2007-08,0.0,0.0,3.0,3.0,0.0,5.51,1,71.4,28.6
291,CBJ,26.0,26.0,0.0,0.0,0.0,4.0,91.0,110.0,54.7,-3.8,65.0,89.0,57.8,-2.2,17.0,2.0,2.0,0.0,0.0,0.0,12.0,mackede01,3.2,92.0,95.2,8.0,-2.0,2007-08,10.5,10.5,29.0,29.0,7.0,7.47,1,46.2,53.8
333,ATL,26.0,26.0,5.0,1.0,0.0,69.0,739.0,519.0,41.3,-5.1,570.0,405.0,41.5,-4.8,55.0,14.0,1.0,0.0,0.0,0.0,99.0,mccarst01,4.6,92.0,96.5,48.0,-23.0,2007-08,2.4,2.4,68.0,68.0,10.0,15.47,1,57.0,43.0
336,OTT,26.0,26.0,3.0,0.0,0.0,2.0,98.0,77.0,44.0,-8.9,77.0,62.0,44.6,-7.5,38.0,2.0,0.0,0.0,0.0,0.0,18.0,mcgrabr01,6.3,94.6,100.0,46.0,0.0,2007-08,0.0,0.0,15.0,15.0,4.0,2.52,1,33.3,66.7
383,VAN,26.0,26.0,19.0,2.0,0.0,45.0,835.0,755.0,47.5,-2.7,632.0,595.0,48.5,-1.6,79.0,25.0,9.0,2.0,7.0,0.0,76.0,pyattta01,9.4,93.4,102.0,60.0,9.0,2007-08,9.6,9.6,250.0,250.0,39.0,15.47,1,48.1,51.9
441,SJS,26.0,26.0,3.0,0.0,0.0,17.0,211.0,233.0,52.5,-2.0,166.0,178.0,51.7,-3.6,22.0,17.0,0.0,0.0,1.0,0.0,24.0,semenal01,4.9,88.6,93.5,36.0,-8.0,2007-08,4.3,4.3,47.0,47.0,0.0,15.15,1,49.6,50.4
468,PHX,26.0,26.0,18.0,9.0,2.0,19.0,936.0,877.0,48.4,-3.4,726.0,701.0,49.1,-2.7,76.0,19.0,17.0,5.0,7.0,3.0,13.0,vrbatra01,8.4,92.8,101.0,14.0,6.0,2007-08,11.0,11.0,367.0,367.0,24.0,18.12,1,49.9,50.1
11,DAL,26.0,26.0,32.0,13.0,3.0,55.0,1194.0,1352.0,53.1,1.2,880.0,976.0,52.6,0.4,82.0,80.0,22.0,5.0,17.0,2.0,156.0,bennja01,10.4,89.5,99.9,64.0,7.0,2015-16,16.6,16.6,431.0,431.0,65.0,20.01,1,46.3,53.7
15,NYI,26.0,26.0,1.0,0.0,0.0,0.0,12.0,18.0,60.0,12.3,6.0,12.0,66.7,14.1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,bootlda01,11.1,75.0,86.1,2.0,0.0,2007-08,0.0,0.0,4.0,4.0,0.0,4.42,1,14.3,85.7
22,STL,26.0,26.0,20.0,19.0,0.0,20.0,1057.0,1110.0,51.2,3.5,801.0,863.0,51.9,2.7,82.0,47.0,17.0,11.0,16.0,0.0,49.0,boyesbr01,8.1,88.6,96.7,26.0,-20.0,2008-09,15.0,15.0,415.0,415.0,40.0,19.08,1,49.7,50.3
33,PHX,26.0,26.0,0.0,0.0,0.0,2.0,6.0,13.0,68.4,12.0,4.0,11.0,73.3,14.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,caldwry01,0.0,100.0,100.0,2.0,0.0,2007-08,0.0,0.0,1.0,1.0,0.0,6.08,1,66.7,33.3
55,MIN,26.0,26.0,5.0,7.0,0.0,39.0,600.0,643.0,51.7,-0.8,478.0,494.0,50.8,-1.3,56.0,21.0,4.0,2.0,3.0,0.0,60.0,fosteku01,9.2,92.0,101.0,37.0,0.0,2007-08,5.9,5.9,234.0,234.0,11.0,16.24,1,44.2,55.8
69,LAK,26.0,26.0,13.0,13.0,1.0,20.0,967.0,1022.0,51.4,-0.8,733.0,781.0,51.6,-1.0,77.0,71.0,19.0,1.0,12.0,1.0,49.0,froloal01,8.3,90.2,98.6,30.0,-6.0,2008-09,18.2,18.2,317.0,317.0,54.0,19.55,1,48.1,51.9
79,MIN,26.0,26.0,5.0,5.0,0.0,5.0,229.0,213.0,48.2,-1.4,171.0,166.0,49.3,-1.5,17.0,11.0,10.0,2.0,2.0,1.0,15.0,gaborma01,13.8,87.3,101.0,2.0,3.0,2008-09,19.1,19.1,100.0,100.0,11.0,19.0,1,52.0,48.0
104,BUF,26.0,26.0,12.0,5.0,0.0,39.0,627.0,632.0,50.2,-2.4,475.0,502.0,51.4,-2.1,62.0,20.0,8.0,1.0,3.0,1.0,141.0,gaustpa01,8.0,92.1,100.0,108.0,4.0,2008-09,9.8,9.8,183.0,183.0,11.0,16.06,1,50.5,49.5
120,ANA,26.0,26.0,26.0,19.0,1.0,72.0,1139.0,1308.0,53.5,6.9,846.0,946.0,52.8,5.9,82.0,93.0,7.0,4.0,4.0,0.0,177.0,getzlry01,7.6,90.3,97.9,75.0,-11.0,2011-12,5.9,5.9,395.0,395.0,33.0,21.36,1,52.0,48.0
130,CBJ,26.0,26.0,8.0,15.0,1.0,91.0,965.0,1066.0,52.5,0.4,746.0,814.0,52.2,0.4,78.0,33.0,0.0,0.0,8.0,0.0,51.0,hainsro01,6.3,91.8,98.1,25.0,-7.0,2007-08,5.0,5.0,367.0,367.0,13.0,22.34,1,48.5,51.5
145,CGY,26.0,26.0,2.0,0.0,0.0,25.0,568.0,598.0,51.3,-3.6,466.0,462.0,49.8,-1.8,58.0,22.0,0.0,0.0,0.0,0.0,86.0,haleda01,6.9,92.8,99.7,46.0,0.0,2007-08,0.0,0.0,87.0,87.0,14.0,13.53,1,49.2,50.8
156,PHI,26.0,26.0,23.0,7.0,0.0,36.0,1233.0,1105.0,47.3,-2.6,913.0,838.0,47.9,-3.2,82.0,78.0,23.0,5.0,6.0,1.0,104.0,hartnsc01,10.4,92.5,102.0,143.0,14.0,2008-09,14.3,14.3,332.0,332.0,41.0,17.48,1,56.5,43.5
196,NYI,26.0,26.0,8.0,0.0,0.0,50.0,660.0,650.0,49.6,-5.8,488.0,496.0,50.4,-4.5,70.0,24.0,8.0,0.0,0.0,0.0,39.0,hilbean01,6.8,92.3,99.2,18.0,2.0,2007-08,6.3,6.3,201.0,201.0,46.0,13.29,1,58.8,41.2
241,TOT,26.0,26.0,6.0,1.0,0.0,15.0,443.0,529.0,54.4,-2.1,325.0,416.0,56.1,-1.1,50.0,12.0,1.0,0.0,0.0,0.0,94.0,hossama02,6.1,93.6,99.8,28.0,2.0,2007-08,1.5,1.5,105.0,105.0,27.0,13.46,1,44.0,56.0
299,CHI,26.0,26.0,38.0,13.0,4.0,143.0,1324.0,1780.0,57.3,-2.0,969.0,1358.0,58.4,-2.5,82.0,59.0,10.0,1.0,3.0,1.0,46.0,keithdu01,9.3,89.1,98.4,51.0,21.0,2009-10,6.6,6.6,429.0,429.0,45.0,26.36,1,48.3,51.7
314,CBJ,26.0,26.0,6.0,2.0,0.0,49.0,458.0,448.0,49.4,-7.1,343.0,340.0,49.8,-5.8,34.0,7.0,1.0,0.0,0.0,0.0,59.0,kleslro01,8.2,93.6,101.0,38.0,2.0,2008-09,3.3,3.3,71.0,71.0,5.0,20.59,1,49.4,50.6
323,CHI,26.0,26.0,0.0,0.0,0.0,2.0,44.0,40.0,47.6,-8.4,33.0,28.0,45.9,-10.0,18.0,0.0,0.0,0.0,0.0,0.0,17.0,kocida01,0.0,88.9,88.9,68.0,-4.0,2007-08,0.0,0.0,3.0,3.0,0.0,3.38,1,51.7,48.3
