,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2011-12,PHI,21,396,451,46.8,-6.9,288,323,47.1,-6.3,8.3,91.7,100.,47.8,52.2
2,2012-13,PHI,22,175,258,40.4,-9.2,124,186,40.0,-10.,5.9,89.2,95.0,39.7,60.3
3,2013-14,PHI,23,386,451,46.1,-5.8,275,335,45.1,-6.4,4.7,91.2,95.9,47.7,52.3
4,2014-15,PHI,24,372,464,44.5,-5.8,272,337,44.7,-5.3,5.6,91.8,97.4,49.0,51.0
5,2015-16,BOS,25,265,418,38.8,-11.,203,315,39.2,-11.,7.7,93.0,100.,48.3,51.7
