,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2008-09,NJD,22,2,6,25.0,-36.,2,3,40.0,-23.,0.0,100.,100.,33.3,66.7
2,2009-10,NJD,23,49,98,33.3,-27.,35,72,32.7,-28.,3.8,94.2,98.1,42.3,57.7
