,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,ATL,26,849,1207,41.3,-4.6,634,924,40.7,-5.2,7.8,91.1,98.9,41.1,58.9
2,2008-09,ATL,27,659,819,44.6,-5.5,512,633,44.7,-5.9,7.4,93.1,100.,39.2,60.8
3,2009-10,TOR,28,441,416,51.5,-1.9,300,297,50.3,-2.9,6.7,89.5,96.2,46.9,53.1
