,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
8,DAL,23.0,23.0,14.0,7.0,0.0,32.0,624.0,617.0,49.7,3.2,471.0,451.0,48.9,5.0,41.0,31.0,9.0,3.0,3.0,0.0,71.0,,,bennja01,9.6,88.1,97.7,40.0,-12.0,2012-13,10.9,10.9,211.0,211.0,41.0,19.55,1,42.0,58.0
117,ANA,23.0,23.0,38.0,28.0,0.0,43.0,981.0,1339.0,57.7,7.2,809.0,1045.0,56.4,5.5,81.0,70.0,16.0,2.0,9.0,0.0,134.0,,,getzlry01,9.2,90.3,99.5,121.0,5.0,2008-09,11.0,11.0,392.0,392.0,55.0,20.08,1,42.3,57.7
534,WSH,23.0,23.0,27.0,27.0,0.0,32.0,1191.0,1601.0,57.3,4.1,882.0,1142.0,56.4,2.3,79.0,107.0,36.0,10.0,19.0,1.0,243.0,,,ovechal01,10.1,90.2,100.0,72.0,8.0,2008-09,10.6,10.6,875.0,875.0,60.0,23.0,1,40.7,59.3
546,ANA,23.0,23.0,26.0,14.0,0.0,13.0,920.0,1232.0,57.2,7.2,770.0,979.0,56.0,5.7,78.0,45.0,22.0,8.0,10.0,0.0,109.0,,,perryco01,9.4,90.7,100.0,109.0,10.0,2008-09,11.3,11.3,443.0,443.0,33.0,18.36,1,42.7,57.3
687,CHI,23.0,23.0,19.0,7.0,2.0,14.0,742.0,996.0,57.3,5.1,569.0,759.0,57.2,4.8,59.0,25.0,23.0,4.0,5.0,1.0,32.0,,,toewsjo01,9.9,89.7,99.7,28.0,17.0,2011-12,15.7,15.7,257.0,257.0,82.0,20.51,1,35.6,64.4
24,DAL,23.0,23.0,14.0,7.0,0.0,32.0,624.0,617.0,49.7,3.2,471.0,451.0,48.9,5.0,41.0,31.0,9.0,3.0,3.0,0.0,71.0,,,bennja01,9.6,88.1,97.7,40.0,-12.0,2012-13,10.9,10.9,211.0,211.0,41.0,19.55,1,42.0,58.0
31,NYI,23.0,23.0,11.0,1.0,0.0,20.0,719.0,820.0,53.3,1.4,554.0,610.0,52.4,0.8,78.0,28.0,9.0,1.0,1.0,0.0,138.0,,,bergese01,6.2,92.3,98.5,62.0,-3.0,2007-08,6.5,6.5,251.0,251.0,42.0,11.15,1,50.2,49.8
44,MIN,23.0,23.0,31.0,19.0,0.0,15.0,858.0,1016.0,54.2,5.7,688.0,755.0,52.3,4.5,81.0,37.0,7.0,4.0,6.0,0.0,10.0,,,bouchpi02,9.3,93.4,102.0,34.0,11.0,2007-08,10.1,10.1,256.0,256.0,31.0,16.51,1,51.5,48.5
190,DET,23.0,23.0,0.0,0.0,0.0,3.0,65.0,89.0,57.8,5.2,53.0,76.0,58.9,4.6,8.0,9.0,0.0,0.0,1.0,0.0,9.0,,,ericsjo01,3.3,89.1,92.5,4.0,-3.0,2007-08,5.3,5.3,29.0,29.0,0.0,15.58,1,34.0,66.0
202,DET,23.0,23.0,12.0,5.0,0.0,26.0,733.0,980.0,57.2,-4.6,570.0,782.0,57.8,-4.3,78.0,32.0,16.0,3.0,3.0,0.0,35.0,,,filppva01,7.7,92.9,100.0,28.0,16.0,2007-08,15.6,15.6,184.0,184.0,31.0,16.58,1,38.6,61.4
