,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
9,TOT,31.0,31.0,5.0,0.0,0.0,20.0,274.0,306.0,52.8,-3.2,198.0,238.0,54.6,-1.4,45.0,3.0,1.0,0.0,1.0,0.0,67.0,10.0,4.0,adamscr01,3.8,93.1,96.9,22.0,-3.0,2008-09,4.3,4.3,81.0,81.0,7.0,8.41,1,43.5,56.5
28,PHI,31.0,31.0,14.0,0.0,0.0,16.0,637.0,663.0,51.0,-1.3,460.0,508.0,52.5,-0.7,72.0,9.0,10.0,2.0,0.0,0.0,92.0,11.0,3.0,ashamar01,8.1,90.2,98.3,126.0,-2.0,2009-10,11.0,11.0,155.0,155.0,22.0,10.04,1,48.3,51.7
45,BOS,31.0,31.0,8.0,0.0,1.0,31.0,726.0,652.0,47.3,-7.5,537.0,505.0,48.5,-5.9,77.0,13.0,4.0,2.0,0.0,1.0,182.0,13.0,5.0,beginst01,4.5,93.2,97.8,53.0,-7.0,2009-10,4.5,4.5,170.0,170.0,25.0,12.5,1,57.7,42.3
57,MIN,31.0,31.0,12.0,9.0,2.0,48.0,952.0,844.0,47.0,-2.5,725.0,634.0,46.7,-3.5,79.0,34.0,9.0,4.0,4.0,0.0,45.0,10.0,2.0,belaner01,7.6,92.4,100.0,26.0,-5.0,2008-09,8.8,8.8,259.0,259.0,48.0,17.5,1,61.8,38.2
80,WSH,31.0,31.0,14.0,0.0,0.0,19.0,621.0,696.0,52.8,-1.1,454.0,484.0,51.6,-1.0,77.0,8.0,9.0,5.0,0.0,1.0,112.0,9.0,3.0,bradlma01,8.4,92.6,101.0,47.0,6.0,2009-10,10.2,10.2,193.0,193.0,27.0,11.02,1,51.2,48.8
95,PHI,31.0,31.0,8.0,6.0,0.0,6.0,374.0,306.0,45.0,-5.4,273.0,227.0,45.4,-6.4,29.0,16.0,7.0,0.0,4.0,0.0,13.0,13.0,2.0,brierda01,11.2,90.2,101.0,26.0,-1.0,2008-09,20.4,20.4,97.0,97.0,8.0,15.39,1,47.8,52.2
112,BOS,31.0,31.0,12.0,17.0,2.0,121.0,1290.0,1391.0,51.9,2.0,1003.0,1056.0,51.3,2.1,80.0,54.0,8.0,3.0,11.0,0.0,166.0,11.0,2.0,charazd01,10.1,92.8,102.0,95.0,23.0,2008-09,8.8,8.8,427.0,427.0,28.0,26.04,1,53.1,46.9
129,COL,31.0,31.0,11.0,5.0,0.0,143.0,862.0,765.0,47.0,-4.7,639.0,605.0,48.6,-4.2,57.0,30.0,4.0,0.0,1.0,0.0,70.0,9.0,1.0,clarkbr01,9.8,90.9,100.0,33.0,5.0,2007-08,5.7,5.7,165.0,165.0,23.0,23.09,1,54.1,45.9
146,CAR,31.0,31.0,20.0,15.0,1.0,30.0,627.0,648.0,50.8,-5.1,474.0,500.0,51.3,-5.1,59.0,28.0,5.0,1.0,8.0,0.0,33.0,12.0,1.0,cullema01,9.8,91.4,101.0,32.0,2.0,2007-08,9.5,9.5,255.0,255.0,27.0,16.52,1,48.4,51.6
179,NSH,31.0,31.0,18.0,10.0,0.0,19.0,814.0,848.0,51.0,-2.6,615.0,631.0,50.6,-2.8,74.0,34.0,13.0,3.0,3.0,1.0,20.0,11.0,3.0,dumonjp01,9.2,92.5,101.0,20.0,8.0,2009-10,15.2,15.2,196.0,196.0,33.0,14.46,1,46.1,53.9
