,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
16,PIT,36.0,36.0,6.0,0.0,0.0,59.0,714.0,489.0,40.6,-10.0,512.0,380.0,42.6,-8.9,82.0,16.0,5.0,0.0,0.0,0.0,190.0,17.0,11.0,adamscr01,5.7,90.4,96.0,46.0,-16.0,2013-14,6.8,6.8,125.0,125.0,15.0,12.28,1,62.1,37.9
100,MTL,36.0,36.0,10.0,2.0,0.0,11.0,768.0,688.0,47.3,-0.3,566.0,515.0,47.6,-1.0,69.0,17.0,9.0,1.0,4.0,0.0,23.0,18.0,7.0,brierda01,8.5,92.9,101.0,30.0,1.0,2013-14,11.0,11.0,188.0,188.0,22.0,12.46,1,55.3,44.7
117,BOS,36.0,36.0,17.0,5.0,1.0,104.0,1202.0,1465.0,54.9,1.4,893.0,1096.0,55.1,2.3,77.0,62.0,7.0,3.0,10.0,0.0,163.0,16.0,7.0,charazd01,8.6,93.6,102.0,66.0,25.0,2013-14,10.1,10.1,341.0,341.0,20.0,24.39,1,52.2,47.8
134,MIN,36.0,36.0,1.0,0.0,0.0,11.0,102.0,92.0,47.4,-5.2,72.0,65.0,47.4,-8.6,8.0,4.0,0.0,0.0,0.0,0.0,5.0,14.0,6.0,clarkbr01,4.2,78.8,83.0,0.0,-9.0,2012-13,0.0,0.0,18.0,18.0,1.0,14.04,1,31.0,69.0
153,MIN,36.0,36.0,16.0,4.0,0.0,18.0,500.0,464.0,48.1,-4.4,377.0,347.0,47.9,-5.9,42.0,24.0,7.0,0.0,0.0,0.0,18.0,19.0,8.0,cullema01,12.6,91.8,104.0,10.0,9.0,2012-13,8.9,8.9,140.0,140.0,14.0,15.53,1,56.6,43.4
316,LAK,36.0,36.0,9.0,2.0,0.0,128.0,1054.0,1307.0,55.4,-4.3,777.0,974.0,55.6,-2.1,76.0,56.0,1.0,0.0,0.0,0.0,102.0,17.0,6.0,mitchwi01,7.1,93.4,100.0,58.0,14.0,2013-14,1.4,1.4,177.0,177.0,10.0,20.2,1,48.7,51.3
409,OTT,36.0,36.0,2.0,1.0,0.0,54.0,642.0,503.0,43.9,-6.8,488.0,365.0,42.8,-6.1,36.0,26.0,0.0,0.0,0.0,0.0,70.0,17.0,8.0,phillch02,7.5,94.0,101.0,14.0,0.0,2014-15,0.0,0.0,69.0,69.0,7.0,20.54,1,53.7,46.3
464,CHI,36.0,36.0,12.0,0.0,0.0,87.0,903.0,1057.0,53.9,0.9,695.0,760.0,52.2,-0.1,65.0,36.0,1.0,0.0,0.0,0.0,103.0,16.0,10.0,rozsimi01,7.6,91.7,99.4,22.0,0.0,2014-15,1.8,1.8,136.0,136.0,17.0,17.01,1,44.4,55.6
482,DET,36.0,36.0,8.0,0.0,0.0,109.0,1040.0,1175.0,53.0,-2.2,808.0,888.0,52.4,-2.6,75.0,35.0,2.0,0.0,0.0,0.0,117.0,16.0,6.0,saleiru01,6.6,92.5,99.0,48.0,0.0,2010-11,2.7,2.7,161.0,161.0,19.0,17.58,1,43.4,56.6
494,VAN,36.0,36.0,2.0,2.0,0.0,28.0,409.0,395.0,49.1,-9.9,319.0,298.0,48.3,-10.0,27.0,18.0,2.0,0.0,1.0,0.0,6.0,12.0,4.0,salosa01,6.4,93.0,99.4,14.0,-3.0,2010-11,7.7,7.7,81.0,81.0,3.0,20.21,1,46.1,53.9
