,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
7,BUF,28.0,28.0,13.0,5.0,0.0,6.0,562.0,699.0,55.4,8.2,420.0,523.0,55.5,6.8,56.0,42.0,9.0,1.0,1.0,0.0,25.0,,,afinoma01,7.8,86.4,94.2,42.0,-16.0,2007-08,8.8,8.8,216.0,216.0,17.0,16.03,1,46.2,53.8
33,STL,28.0,28.0,11.0,10.0,0.0,123.0,1206.0,1010.0,45.6,-3.7,929.0,789.0,45.9,-4.4,77.0,47.0,1.0,0.0,0.0,0.0,92.0,,,breweer01,9.1,89.4,98.5,91.0,-18.0,2007-08,1.0,1.0,230.0,230.0,27.0,24.38,1,55.1,44.9
65,TOT,28.0,28.0,26.0,28.0,0.0,96.0,1232.0,1369.0,52.6,2.7,962.0,1064.0,52.5,0.1,83.0,62.0,3.0,0.0,5.0,0.0,61.0,,,campbbr02,9.8,89.7,99.6,20.0,8.0,2007-08,5.6,5.6,302.0,302.0,22.0,25.06,1,42.8,57.2
83,CBJ,28.0,28.0,13.0,4.0,0.0,15.0,900.0,921.0,50.6,-2.3,711.0,717.0,50.2,-2.5,81.0,22.0,12.0,3.0,1.0,1.0,73.0,,,chimeja01,6.1,93.2,99.3,98.0,-5.0,2007-08,7.1,7.1,306.0,306.0,19.0,17.3,1,55.2,44.8
153,TOT,28.0,28.0,7.0,0.0,0.0,16.0,528.0,463.0,46.7,-3.1,425.0,359.0,45.8,-3.5,69.0,19.0,4.0,0.0,2.0,0.0,76.0,,,fedorto01,10.1,92.4,102.0,139.0,2.0,2007-08,10.5,10.5,89.0,89.0,5.0,10.19,1,52.9,47.1
169,BOS,28.0,28.0,9.0,4.0,1.0,65.0,921.0,871.0,48.6,-5.0,710.0,666.0,48.4,-3.0,59.0,29.0,1.0,0.0,0.0,0.0,79.0,,,ferenan01,6.4,91.2,97.6,50.0,-14.0,2007-08,1.4,1.4,178.0,178.0,10.0,22.15,1,50.3,49.7
261,WSH,28.0,28.0,5.0,0.0,0.0,52.0,233.0,336.0,59.1,3.4,156.0,252.0,61.8,6.3,39.0,12.0,1.0,1.0,0.0,0.0,49.0,,,laingqu01,5.9,93.4,99.3,10.0,4.0,2007-08,2.1,2.1,81.0,81.0,12.0,11.33,1,57.9,42.1
296,BUF,28.0,28.0,12.0,0.0,0.0,15.0,522.0,402.0,43.5,-8.3,392.0,314.0,44.5,-8.8,72.0,16.0,5.0,2.0,0.0,0.0,110.0,,,mairad01,8.9,92.1,101.0,66.0,-2.0,2007-08,8.1,8.1,99.0,99.0,12.0,8.52,1,48.8,51.2
312,NYR,28.0,28.0,10.0,6.0,0.0,74.0,706.0,754.0,51.6,-4.9,527.0,596.0,53.1,-4.3,61.0,18.0,1.0,0.0,0.0,0.0,74.0,,,marapa01,6.2,93.2,99.4,52.0,1.0,2007-08,1.3,1.3,184.0,184.0,11.0,17.53,1,39.3,60.7
327,SJS,28.0,28.0,10.0,19.0,0.0,10.0,833.0,960.0,53.5,0.1,617.0,748.0,54.8,0.2,78.0,72.0,12.0,2.0,7.0,0.0,83.0,,,marlepa01,5.4,89.7,95.1,33.0,-19.0,2007-08,10.3,10.3,310.0,310.0,44.0,18.14,1,41.0,59.0
