,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
12,PIT,32.0,32.0,10.0,0.0,0.0,58.0,604.0,511.0,45.8,-9.2,421.0,376.0,47.2,-8.9,82.0,12.0,0.0,0.0,0.0,0.0,193.0,13.0,7.0,adamscr01,7.2,92.0,99.2,72.0,-5.0,2009-10,0.0,0.0,147.0,147.0,22.0,11.06,1,57.6,42.4
29,PIT,32.0,32.0,6.0,0.0,0.0,16.0,368.0,337.0,47.8,-6.8,269.0,260.0,49.1,-5.7,44.0,8.0,5.0,0.0,0.0,0.0,107.0,12.0,4.0,ashamar01,7.5,92.1,99.5,46.0,0.0,2010-11,8.3,8.3,81.0,81.0,7.0,9.33,1,41.9,58.1
46,NSH,32.0,32.0,0.0,0.0,0.0,0.0,16.0,10.0,38.5,-16.0,14.0,10.0,41.7,-11.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,6.0,beginst01,0.0,81.8,81.8,4.0,-2.0,2010-11,0.0,0.0,3.0,3.0,1.0,9.49,1,42.9,57.1
58,TOT,32.0,32.0,20.0,6.0,0.0,29.0,814.0,851.0,51.1,-1.6,606.0,647.0,51.6,-0.6,77.0,23.0,12.0,3.0,3.0,0.0,47.0,11.0,3.0,belaner01,8.2,92.7,100.0,32.0,2.0,2009-10,9.9,9.9,250.0,250.0,40.0,15.31,1,56.2,43.8
81,WSH,32.0,32.0,7.0,0.0,0.0,15.0,535.0,499.0,48.3,-4.1,358.0,367.0,50.6,-1.2,61.0,5.0,4.0,0.0,0.0,0.0,156.0,10.0,4.0,bradlma01,6.9,91.2,98.1,68.0,-3.0,2010-11,6.9,6.9,103.0,103.0,12.0,10.29,1,50.3,49.7
96,PHI,32.0,32.0,18.0,9.0,0.0,17.0,990.0,1160.0,54.0,1.4,756.0,879.0,53.8,0.0,75.0,21.0,18.0,1.0,8.0,0.0,53.0,14.0,3.0,brierda01,7.8,91.4,99.3,71.0,-2.0,2009-10,13.5,13.5,318.0,318.0,31.0,16.35,1,43.3,56.7
113,BOS,32.0,32.0,24.0,12.0,1.0,102.0,1251.0,1545.0,55.3,2.9,945.0,1158.0,55.1,2.7,80.0,65.0,3.0,1.0,4.0,0.0,149.0,12.0,3.0,charazd01,7.7,93.4,101.0,87.0,19.0,2009-10,2.9,2.9,440.0,440.0,27.0,25.22,1,50.1,49.9
130,COL,32.0,32.0,8.0,2.0,0.0,238.0,1268.0,1055.0,45.4,-4.1,878.0,815.0,48.1,-1.5,76.0,41.0,2.0,1.0,0.0,0.0,73.0,10.0,2.0,clarkbr01,7.3,90.5,97.8,32.0,-16.0,2008-09,2.1,2.1,219.0,219.0,26.0,22.2,1,56.9,43.1
147,CAR,32.0,32.0,15.0,3.0,3.0,44.0,853.0,845.0,49.8,-3.6,619.0,639.0,50.8,-3.2,69.0,25.0,16.0,2.0,4.0,2.0,41.0,13.0,2.0,cullema01,8.1,93.3,101.0,20.0,11.0,2008-09,15.8,15.8,254.0,254.0,54.0,16.48,1,49.0,51.0
180,NSH,32.0,32.0,6.0,3.0,0.0,8.0,566.0,614.0,52.0,1.3,455.0,462.0,50.4,0.2,70.0,23.0,9.0,2.0,1.0,0.0,45.0,12.0,4.0,dumonjp01,6.7,93.7,100.0,16.0,2.0,2010-11,11.2,11.2,148.0,148.0,35.0,11.11,1,36.4,63.6
