,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
26,NJD,29.0,29.0,3.0,1.0,0.0,5.0,440.0,447.0,50.4,-4.5,347.0,341.0,49.6,-5.2,77.0,18.0,6.0,2.0,0.0,0.0,87.0,9.0,1.0,ashamar01,5.0,92.6,97.6,84.0,-6.0,2007-08,8.8,8.8,101.0,101.0,21.0,8.33,1,46.2,53.8
41,MTL,29.0,29.0,5.0,0.0,0.0,27.0,425.0,373.0,46.7,-2.2,301.0,268.0,47.1,-1.3,44.0,11.0,3.0,0.0,0.0,0.0,119.0,9.0,1.0,beginst01,8.4,91.8,100.0,48.0,0.0,2007-08,4.5,4.5,109.0,109.0,8.0,11.38,1,65.2,34.8
70,PHI,29.0,29.0,0.0,0.0,0.0,0.0,14.0,9.0,39.1,-14.0,13.0,4.0,23.5,-32.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,bouleje01,0.0,77.8,77.8,29.0,-2.0,2007-08,0.0,0.0,2.0,2.0,1.0,3.52,1,100.0,0.0
78,WSH,29.0,29.0,11.0,0.0,0.0,17.0,531.0,637.0,54.5,-0.6,398.0,474.0,54.4,-1.1,77.0,20.0,5.0,2.0,1.0,1.0,126.0,7.0,1.0,bradlma01,6.4,92.3,98.7,74.0,1.0,2007-08,6.3,6.3,173.0,173.0,21.0,9.0,1,50.7,49.3
167,TOR,29.0,29.0,11.0,0.0,0.0,20.0,605.0,619.0,50.6,-0.3,461.0,483.0,51.2,0.0,62.0,28.0,6.0,1.0,0.0,1.0,47.0,10.0,1.0,deverbo01,7.7,89.6,97.3,24.0,-6.0,2007-08,8.6,8.6,142.0,142.0,23.0,13.58,1,52.7,47.3
177,NSH,29.0,29.0,34.0,9.0,0.0,11.0,1024.0,1090.0,51.6,0.8,808.0,850.0,51.3,0.8,80.0,54.0,22.0,8.0,7.0,0.0,44.0,9.0,1.0,dumonjp01,10.8,90.6,101.0,34.0,5.0,2007-08,15.1,15.1,336.0,336.0,47.0,18.3,1,47.1,52.9
212,TOR,29.0,29.0,21.0,24.0,0.0,99.0,1351.0,1469.0,52.1,0.1,1015.0,1127.0,52.6,0.7,82.0,84.0,2.0,1.0,6.0,0.0,41.0,9.0,1.0,kaberto01,7.9,90.6,98.6,22.0,-8.0,2007-08,5.2,5.2,265.0,265.0,24.0,24.52,1,46.8,53.2
330,PHX,29.0,29.0,9.0,8.0,0.0,115.0,1273.0,1136.0,47.2,-4.4,988.0,896.0,47.6,-4.4,82.0,22.0,6.0,0.0,2.0,0.0,81.0,12.0,1.0,morride01,8.3,93.3,101.0,83.0,8.0,2007-08,5.9,5.9,281.0,281.0,24.0,21.43,1,59.3,40.7
351,CGY,29.0,29.0,2.0,0.0,0.0,17.0,266.0,279.0,51.2,-5.0,210.0,213.0,50.4,-3.3,47.0,6.0,3.0,0.0,0.0,0.0,6.0,11.0,1.0,nilsoma01,6.0,94.7,100.0,4.0,2.0,2007-08,6.4,6.4,74.0,74.0,9.0,9.49,1,41.5,58.5
402,OTT,29.0,29.0,10.0,0.0,3.0,151.0,1322.0,1171.0,47.0,-6.9,972.0,873.0,47.3,-5.1,81.0,57.0,4.0,1.0,1.0,0.0,126.0,10.0,1.0,phillch02,9.7,92.3,102.0,56.0,15.0,2007-08,6.3,6.3,164.0,164.0,25.0,22.29,1,55.2,44.8
