,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
6,TOT,30.0,30.0,7.0,0.0,0.0,43.0,550.0,446.0,44.8,-9.2,408.0,340.0,45.5,-8.7,75.0,9.0,3.0,1.0,0.0,1.0,117.0,7.0,1.0,adamscr01,4.7,89.5,94.2,58.0,-16.0,2007-08,6.3,6.3,110.0,110.0,22.0,10.48,1,49.0,51.0
27,PHI,30.0,30.0,12.0,0.0,0.0,10.0,594.0,553.0,48.2,-1.1,440.0,430.0,49.4,-1.0,78.0,11.0,8.0,1.0,0.0,0.0,143.0,10.0,2.0,ashamar01,9.5,90.9,100.0,155.0,0.0,2008-09,10.8,10.8,110.0,110.0,12.0,8.45,1,46.4,53.6
42,TOT,30.0,30.0,5.0,0.0,0.0,38.0,540.0,471.0,46.6,-6.0,403.0,346.0,46.2,-6.5,62.0,18.0,7.0,1.0,0.0,0.0,185.0,10.0,2.0,beginst01,6.6,92.0,98.7,42.0,-6.0,2008-09,7.8,7.8,147.0,147.0,15.0,10.43,1,50.3,49.7
56,MIN,30.0,30.0,17.0,7.0,0.0,46.0,818.0,811.0,49.8,0.4,640.0,619.0,49.2,0.7,75.0,35.0,5.0,3.0,7.0,1.0,51.0,9.0,1.0,belaner01,8.7,91.2,99.9,30.0,-6.0,2007-08,11.3,11.3,230.0,230.0,40.0,17.13,1,61.2,38.8
79,WSH,30.0,30.0,6.0,0.0,0.0,16.0,675.0,687.0,50.4,-6.0,494.0,493.0,49.9,-6.3,81.0,22.0,5.0,1.0,0.0,0.0,115.0,8.0,2.0,bradlma01,6.0,94.0,100.0,59.0,-1.0,2008-09,5.1,5.1,166.0,166.0,21.0,10.37,1,48.2,51.8
94,PHI,30.0,30.0,17.0,23.0,1.0,17.0,1131.0,936.0,45.3,-4.7,869.0,690.0,44.3,-6.5,79.0,43.0,17.0,3.0,14.0,0.0,29.0,12.0,1.0,brierda01,7.7,91.2,99.0,68.0,-22.0,2007-08,17.0,17.0,299.0,299.0,28.0,18.52,1,42.6,57.4
111,BOS,30.0,30.0,17.0,16.0,1.0,78.0,1139.0,1329.0,53.8,2.9,917.0,1006.0,52.3,2.4,77.0,50.0,7.0,0.0,9.0,1.0,222.0,10.0,1.0,charazd01,9.5,92.0,101.0,114.0,14.0,2007-08,8.2,8.2,389.0,389.0,30.0,26.5,1,51.1,48.9
168,TOR,30.0,30.0,5.0,0.0,0.0,18.0,287.0,240.0,45.5,-5.7,200.0,184.0,47.9,-2.3,23.0,6.0,3.0,0.0,0.0,3.0,21.0,11.0,2.0,deverbo01,8.2,91.1,99.3,2.0,3.0,2008-09,14.6,14.6,60.0,60.0,8.0,13.42,1,49.3,50.7
178,NSH,30.0,30.0,32.0,17.0,0.0,13.0,1055.0,1082.0,50.6,1.6,824.0,821.0,49.9,0.1,82.0,66.0,11.0,4.0,5.0,0.0,33.0,10.0,2.0,dumonjp01,10.6,90.5,101.0,20.0,1.0,2008-09,9.1,9.1,318.0,318.0,39.0,17.3,1,44.4,55.6
213,TOR,30.0,30.0,11.0,16.0,0.0,78.0,895.0,1004.0,52.9,1.9,670.0,763.0,53.2,2.1,57.0,44.0,1.0,1.0,3.0,0.0,29.0,10.0,2.0,kaberto01,9.0,88.7,97.8,8.0,-8.0,2008-09,4.3,4.3,210.0,210.0,21.0,23.28,1,42.3,57.7
236,TOR,30.0,30.0,16.0,12.0,1.0,166.0,1162.0,1148.0,49.7,-3.6,857.0,887.0,50.9,-2.5,72.0,48.0,5.0,4.0,6.0,0.0,121.0,10.0,1.0,kubinpa01,9.3,90.8,100.0,116.0,5.0,2007-08,8.1,8.1,278.0,278.0,34.0,23.55,1,47.3,52.7
253,ATL,30.0,30.0,4.0,1.0,0.0,18.0,252.0,228.0,47.5,3.4,204.0,184.0,47.4,2.7,18.0,7.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,kwiatjo01,5.8,91.9,97.7,20.0,-5.0,2007-08,0.0,0.0,45.0,45.0,6.0,16.44,1,57.6,42.4
277,CAR,30.0,30.0,8.0,1.0,0.0,37.0,562.0,483.0,46.2,-10.0,401.0,368.0,47.9,-8.9,75.0,8.0,8.0,1.0,0.0,1.0,26.0,11.0,1.0,letowtr01,6.1,90.0,96.1,30.0,-10.0,2007-08,13.4,13.4,112.0,112.0,13.0,10.16,1,49.3,50.7
284,BUF,30.0,30.0,21.0,0.0,1.0,144.0,1270.0,1174.0,48.0,-3.8,939.0,915.0,49.4,-3.5,82.0,83.0,1.0,0.0,3.0,0.0,155.0,7.0,1.0,lydmato01,8.8,91.0,99.8,74.0,1.0,2007-08,4.7,4.7,175.0,175.0,18.0,21.4,1,52.0,48.0
298,TBL,30.0,30.0,9.0,0.0,0.0,33.0,492.0,396.0,44.6,-8.9,363.0,310.0,46.1,-8.0,65.0,4.0,2.0,0.0,0.0,0.0,53.0,9.0,1.0,macdocr01,6.2,90.8,97.0,16.0,-10.0,2007-08,2.4,2.4,135.0,135.0,21.0,10.52,1,65.9,34.1
311,VAN,30.0,30.0,9.0,1.0,0.0,109.0,1184.0,995.0,45.7,-4.2,920.0,779.0,45.9,-3.8,72.0,41.0,2.0,1.0,0.0,0.0,49.0,12.0,1.0,mitchwi01,8.6,92.7,101.0,81.0,6.0,2007-08,3.1,3.1,141.0,141.0,37.0,23.12,1,62.7,37.3
331,TOT,30.0,30.0,9.0,5.0,1.0,128.0,1262.0,1109.0,46.8,-1.5,971.0,829.0,46.1,-3.3,75.0,20.0,4.0,0.0,0.0,1.0,83.0,13.0,2.0,morride01,7.1,92.7,99.8,40.0,-10.0,2008-09,4.2,4.2,278.0,278.0,20.0,20.53,1,41.4,58.6
360,ANA,30.0,30.0,8.0,1.0,0.0,24.0,598.0,527.0,46.8,-12.0,495.0,419.0,45.8,-12.0,56.0,22.0,3.0,3.0,0.0,3.0,114.0,9.0,1.0,pahlssa01,5.1,94.2,99.3,34.0,-2.0,2007-08,6.4,6.4,152.0,152.0,33.0,18.46,1,55.9,44.1
378,COL,30.0,30.0,0.0,0.0,0.0,1.0,72.0,64.0,47.1,-1.5,54.0,45.0,45.5,-5.1,25.0,5.0,0.0,0.0,0.0,0.0,18.0,10.0,1.0,parkesc01,0.0,100.0,100.0,70.0,0.0,2007-08,0.0,0.0,8.0,8.0,1.0,3.42,1,28.3,71.7
389,MIN,30.0,30.0,9.0,5.0,0.0,43.0,600.0,532.0,47.0,-3.2,445.0,416.0,48.3,-0.9,66.0,17.0,9.0,0.0,7.0,0.0,32.0,11.0,1.0,parrima01,9.3,93.6,102.0,16.0,2.0,2007-08,16.8,16.8,155.0,155.0,13.0,14.56,1,55.0,45.0
403,OTT,30.0,30.0,11.0,3.0,2.0,114.0,1229.0,1282.0,51.1,1.8,913.0,961.0,51.3,1.5,82.0,56.0,5.0,0.0,0.0,1.0,113.0,11.0,2.0,phillch02,6.7,90.4,97.0,66.0,-14.0,2008-09,6.8,6.8,183.0,183.0,32.0,21.52,1,53.4,46.6
428,WSH,30.0,30.0,19.0,8.0,0.0,119.0,974.0,1241.0,56.0,1.7,724.0,944.0,56.6,1.7,71.0,58.0,2.0,0.0,0.0,0.0,42.0,11.0,1.0,potito01,8.5,90.8,99.2,46.0,9.0,2007-08,2.0,2.0,182.0,182.0,32.0,23.29,1,45.9,54.1
443,EDM,30.0,30.0,11.0,2.0,1.0,53.0,889.0,754.0,45.9,-2.2,678.0,570.0,45.7,-2.9,82.0,34.0,11.0,0.0,0.0,0.0,23.0,11.0,1.0,reasoma01,8.3,89.1,97.4,50.0,-17.0,2007-08,9.7,9.7,208.0,208.0,45.0,14.58,1,62.6,37.4
456,NYR,30.0,30.0,9.0,11.0,2.0,113.0,1033.0,1240.0,54.6,0.4,776.0,945.0,54.9,0.8,76.0,32.0,5.0,2.0,3.0,0.0,90.0,8.0,2.0,rozsimi01,7.5,89.8,97.3,52.0,-7.0,2008-09,6.7,6.7,277.0,277.0,37.0,22.31,1,41.5,58.5
509,CGY,30.0,30.0,15.0,1.0,2.0,70.0,838.0,1032.0,55.2,-2.2,666.0,762.0,53.4,-1.9,76.0,46.0,2.0,0.0,0.0,0.0,132.0,12.0,2.0,saricco01,8.3,92.7,101.0,112.0,12.0,2008-09,3.5,3.5,160.0,160.0,13.0,17.53,1,43.8,56.2
530,NYI,30.0,30.0,1.0,0.0,0.0,0.0,12.0,22.0,64.7,34.5,6.0,20.0,76.9,46.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,1.0,simjo01,0.0,60.0,60.0,2.0,-1.0,2007-08,0.0,0.0,8.0,8.0,1.0,14.19,1,62.5,37.5
546,BOS,30.0,30.0,5.0,1.0,0.0,3.0,170.0,170.0,50.0,-3.2,131.0,136.0,50.9,0.1,19.0,3.0,3.0,0.0,4.0,0.0,12.0,13.0,2.0,sturmma01,11.5,96.7,108.0,8.0,9.0,2008-09,15.6,15.6,65.0,65.0,5.0,16.01,1,53.6,46.4
561,NJD,30.0,30.0,8.0,0.0,0.0,73.0,774.0,684.0,46.9,-11.0,597.0,518.0,46.5,-11.0,57.0,24.0,2.0,1.0,0.0,0.0,106.0,8.0,1.0,whiteco01,7.4,92.5,99.9,26.0,-5.0,2007-08,7.4,7.4,77.0,77.0,20.0,19.4,1,49.6,50.4
583,COL,30.0,30.0,3.0,0.0,0.0,21.0,385.0,353.0,47.8,-0.9,283.0,269.0,48.7,-0.2,42.0,8.0,1.0,0.0,0.0,0.0,36.0,8.0,2.0,willsbr01,3.0,93.2,96.2,14.0,-6.0,2008-09,1.7,1.7,108.0,108.0,12.0,11.47,1,50.9,49.1
603,NJD,30.0,30.0,15.0,10.0,0.0,16.0,851.0,1046.0,55.1,2.0,665.0,780.0,54.0,0.5,82.0,25.0,14.0,3.0,1.0,0.0,98.0,18.0,2.0,zubruda01,8.7,91.7,100.0,69.0,6.0,2008-09,11.5,11.5,207.0,207.0,19.0,15.16,1,48.4,51.6
624,CHI,30.0,30.0,2.0,1.0,0.0,35.0,312.0,275.0,46.8,-7.0,237.0,207.0,46.6,-6.5,32.0,10.0,1.0,0.0,1.0,0.0,29.0,14.0,1.0,zyuzian01,6.4,88.9,95.3,38.0,-11.0,2007-08,5.9,5.9,68.0,68.0,6.0,14.58,1,54.2,45.8
9,ATL,30.0,30.0,25.0,12.0,0.0,21.0,1107.0,1076.0,49.3,-0.7,860.0,785.0,47.7,-2.3,82.0,63.0,18.0,3.0,6.0,0.0,32.0,,,afinoma01,9.9,89.1,99.0,46.0,-17.0,2009-10,13.3,13.3,321.0,321.0,65.0,17.24,1,50.8,49.2
