,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
53,BOS,27.0,27.0,0.0,3.0,0.0,7.0,146.0,160.0,52.3,-5.5,109.0,119.0,52.2,-5.6,18.0,4.0,1.0,1.0,0.0,0.0,25.0,,,bourqch01,2.2,89.0,91.3,6.0,-6.0,2012-13,4.2,4.2,44.0,44.0,6.0,12.05,1,46.2,53.8
66,CAR,27.0,27.0,8.0,4.0,0.0,33.0,698.0,519.0,42.6,-7.2,519.0,380.0,42.3,-7.8,79.0,13.0,8.0,3.0,3.0,1.0,64.0,,,brentti01,9.1,91.5,100.0,27.0,-8.0,2011-12,16.9,16.9,120.0,120.0,19.0,10.53,1,50.8,49.2
74,WSH,27.0,27.0,5.0,9.0,0.0,23.0,598.0,539.0,47.4,-2.8,442.0,399.0,47.4,-2.4,47.0,22.0,11.0,5.0,7.0,1.0,108.0,,,brouwtr01,7.3,92.4,99.7,28.0,-5.0,2012-13,17.1,17.1,187.0,187.0,24.0,18.32,1,56.2,43.8
86,TOT,27.0,27.0,1.0,0.0,0.0,13.0,271.0,176.0,39.4,-8.7,197.0,127.0,39.2,-8.4,39.0,7.0,1.0,0.0,0.0,0.0,87.0,,,brownmi02,4.9,92.0,96.8,123.0,-7.0,2012-13,5.6,5.6,48.0,48.0,6.0,7.31,1,47.0,53.0
105,NYR,27.0,27.0,12.0,2.0,1.0,66.0,693.0,728.0,51.2,-1.9,482.0,543.0,53.0,-1.6,45.0,18.0,8.0,4.0,6.0,2.0,154.0,,,callary01,8.1,92.8,100.0,12.0,9.0,2012-13,11.1,11.1,245.0,245.0,23.0,21.31,1,47.7,52.3
122,MTL,27.0,27.0,6.0,3.0,0.0,59.0,624.0,532.0,46.0,-1.0,469.0,375.0,44.4,-0.4,43.0,31.0,2.0,0.0,0.0,0.0,43.0,,,campoch01,8.0,91.9,99.8,8.0,-3.0,2011-12,4.7,4.7,86.0,86.0,12.0,17.12,1,51.0,49.0
129,CGY,27.0,27.0,1.0,0.0,0.0,12.0,103.0,91.0,46.9,4.4,72.0,72.0,50.0,6.9,10.0,3.0,0.0,0.0,0.0,0.0,4.0,,,carsobr01,5.8,91.8,97.6,0.0,-1.0,2012-13,0.0,0.0,13.0,13.0,0.0,10.56,1,36.4,63.6
138,PHX,27.0,27.0,15.0,0.0,0.0,9.0,659.0,696.0,51.4,0.0,502.0,495.0,49.6,-1.4,80.0,12.0,5.0,0.0,0.0,0.0,116.0,,,chipcky01,8.0,93.0,101.0,45.0,3.0,2013-14,10.9,10.9,85.0,85.0,30.0,9.43,1,60.1,39.9
147,WPG,27.0,27.0,11.0,1.0,0.0,54.0,670.0,673.0,50.1,-0.5,518.0,504.0,49.3,-2.1,44.0,27.0,2.0,0.0,2.0,0.0,82.0,,,clitsgr01,11.2,92.2,103.0,18.0,10.0,2012-13,7.1,7.1,118.0,118.0,8.0,18.5,1,50.0,50.0
161,CBJ,27.0,27.0,11.0,0.0,0.0,14.0,529.0,607.0,53.4,3.4,399.0,440.0,52.4,2.4,61.0,15.0,5.0,0.0,0.0,0.0,193.0,,,comeabl01,7.8,91.3,99.0,36.0,-2.0,2013-14,4.7,4.7,193.0,193.0,22.0,12.04,1,53.6,46.4
