,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
683,CHI,19.0,19.0,13.0,15.0,2.0,13.0,684.0,689.0,50.2,-1.9,534.0,543.0,50.4,-2.4,64.0,8.0,17.0,4.0,7.0,0.0,27.0,,,toewsjo01,12.0,90.3,102.0,44.0,11.0,2007-08,16.7,16.7,217.0,217.0,29.0,18.4,1,46.0,54.0
596,CHI,19.0,19.0,13.0,15.0,2.0,13.0,684.0,689.0,50.2,-1.9,534.0,543.0,50.4,-2.4,64.0,8.0,17.0,4.0,7.0,0.0,27.0,,,toewsjo01,12.0,90.3,102.0,44.0,11.0,2007-08,16.7,16.7,217.0,217.0,29.0,18.4,1,46.0,54.0
160,STL,19.0,19.0,14.0,14.0,0.0,64.0,778.0,786.0,50.3,4.0,594.0,626.0,51.3,4.2,69.0,37.0,1.0,3.0,4.0,0.0,87.0,,,johnser01,8.4,90.0,98.5,28.0,-9.0,2007-08,4.8,4.8,224.0,224.0,27.0,18.11,1,48.3,51.7
221,BOS,19.0,19.0,17.0,2.0,0.0,28.0,673.0,732.0,52.1,-0.4,531.0,554.0,51.1,0.1,77.0,14.0,7.0,4.0,1.0,0.0,179.0,,,lucicmi01,7.3,92.1,99.3,89.0,-2.0,2007-08,9.1,9.1,153.0,153.0,21.0,12.07,1,48.6,51.4
253,FLA,19.0,19.0,0.0,0.0,0.0,1.0,50.0,29.0,36.7,-13.0,41.0,22.0,34.9,-14.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,,,matthsh01,6.3,91.4,97.7,2.0,-2.0,2007-08,40.0,40.0,11.0,11.0,1.0,13.08,1,47.1,52.9
300,PHX,19.0,19.0,17.0,15.0,0.0,12.0,1019.0,1000.0,49.5,-0.9,821.0,787.0,48.9,-2.3,81.0,19.0,15.0,3.0,7.0,0.0,30.0,,,muellpe01,7.2,91.5,98.7,32.0,-13.0,2007-08,10.9,10.9,376.0,376.0,21.0,17.16,1,45.9,54.1
317,NYI,19.0,19.0,2.0,0.0,1.0,3.0,128.0,112.0,46.7,2.8,95.0,78.0,45.1,2.5,9.0,1.0,1.0,1.0,1.0,0.0,5.0,,,okposky01,6.9,98.5,105.0,2.0,3.0,2007-08,13.3,13.3,27.0,27.0,4.0,16.28,1,56.9,43.1
370,MIN,19.0,19.0,12.0,3.0,0.0,22.0,604.0,621.0,50.7,1.0,472.0,465.0,49.6,1.0,78.0,20.0,4.0,1.0,0.0,0.0,40.0,,,sheppja01,7.1,93.5,100.0,29.0,0.0,2007-08,7.0,7.0,105.0,105.0,28.0,10.37,1,49.7,50.3
383,PIT,19.0,19.0,11.0,4.0,1.0,57.0,1043.0,896.0,46.2,0.8,784.0,683.0,46.6,-0.1,82.0,37.0,9.0,4.0,3.0,0.0,86.0,,,staaljo01,6.9,93.5,100.0,55.0,-5.0,2007-08,6.6,6.6,301.0,301.0,40.0,18.16,1,61.7,38.3
430,TOR,19.0,19.0,6.0,0.0,0.0,16.0,531.0,547.0,50.7,-1.8,401.0,399.0,49.9,-3.2,58.0,8.0,8.0,2.0,2.0,0.0,39.0,,,tlustji01,7.6,88.8,96.4,14.0,-12.0,2007-08,14.5,14.5,127.0,127.0,17.0,10.55,1,49.8,50.2
443,CHI,19.0,19.0,13.0,15.0,2.0,13.0,684.0,689.0,50.2,-1.9,534.0,543.0,50.4,-2.4,64.0,8.0,17.0,4.0,7.0,0.0,27.0,,,toewsjo01,12.0,90.3,102.0,44.0,11.0,2007-08,16.7,16.7,217.0,217.0,29.0,18.4,1,46.0,54.0
27,CGY,19.0,19.0,0.0,0.0,0.0,0.0,5.0,10.0,66.7,10.8,5.0,8.0,61.5,4.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,backlmi01,0.0,100.0,100.0,0.0,0.0,2008-09,0.0,0.0,3.0,3.0,1.0,10.44,1,40.0,60.0
160,EDM,19.0,19.0,20.0,5.0,0.0,13.0,938.0,911.0,49.3,1.9,740.0,673.0,47.6,0.0,76.0,58.0,10.0,1.0,6.0,0.0,28.0,,,gagnesa01,9.0,92.5,101.0,51.0,-1.0,2008-09,10.3,10.3,249.0,249.0,29.0,16.46,1,45.8,54.2
181,MIN,19.0,19.0,4.0,1.0,0.0,9.0,336.0,239.0,41.6,-8.7,251.0,174.0,40.9,-9.8,45.0,11.0,2.0,1.0,0.0,0.0,55.0,,,gillico01,6.9,94.0,100.0,18.0,-2.0,2008-09,9.1,9.1,49.0,49.0,7.0,8.14,1,56.1,43.9
240,CHI,19.0,19.0,30.0,21.0,0.0,7.0,866.0,963.0,52.7,1.5,688.0,747.0,52.1,0.7,82.0,22.0,14.0,4.0,7.0,0.0,16.0,,,kanepa01,9.9,89.2,99.1,52.0,-5.0,2007-08,11.0,11.0,310.0,310.0,49.0,18.22,1,45.3,54.7
328,CGY,19.0,19.0,1.0,0.0,0.0,3.0,30.0,45.0,60.0,1.7,27.0,35.0,56.5,-0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,negrijo01,4.0,87.0,91.0,2.0,-2.0,2008-09,0.0,0.0,8.0,8.0,1.0,9.59,1,43.8,56.3
360,STL,19.0,19.0,12.0,2.0,0.0,7.0,489.0,497.0,50.4,4.6,381.0,399.0,51.2,4.2,62.0,12.0,10.0,1.0,3.0,0.0,65.0,,,perroda01,11.4,93.8,105.0,38.0,16.0,2007-08,19.1,19.1,120.0,120.0,24.0,12.33,1,49.3,50.7
436,CAR,19.0,19.0,5.0,0.0,0.0,18.0,337.0,300.0,47.1,-6.8,235.0,238.0,50.3,-4.1,50.0,6.0,1.0,0.0,0.0,0.0,37.0,,,suttebr03,6.0,93.1,99.1,16.0,-1.0,2008-09,1.8,1.8,85.0,85.0,22.0,8.5,1,47.1,52.9
464,CHI,19.0,19.0,13.0,15.0,2.0,13.0,684.0,689.0,50.2,-1.9,534.0,543.0,50.4,-2.4,64.0,8.0,17.0,4.0,7.0,0.0,27.0,,,toewsjo01,12.0,90.3,102.0,44.0,11.0,2007-08,16.7,16.7,217.0,217.0,29.0,18.4,1,46.0,54.0
480,PHX,19.0,19.0,4.0,8.0,0.0,13.0,658.0,507.0,43.5,-2.9,486.0,375.0,43.6,-3.7,63.0,17.0,5.0,3.0,3.0,0.0,33.0,,,turriky01,6.3,90.5,96.8,21.0,-15.0,2008-09,8.8,8.8,143.0,143.0,17.0,12.55,1,38.9,61.1
503,CBJ,19.0,19.0,25.0,4.0,0.0,6.0,654.0,735.0,52.9,0.6,504.0,569.0,53.0,0.4,80.0,22.0,9.0,1.0,0.0,0.0,32.0,,,voracja01,10.6,91.5,102.0,44.0,11.0,2008-09,8.9,8.9,156.0,156.0,33.0,12.4,1,35.8,64.2
12,NYI,19.0,19.0,10.0,8.0,0.0,43.0,874.0,717.0,45.1,-5.1,621.0,506.0,44.9,-5.1,68.0,42.0,4.0,0.0,3.0,0.0,47.0,,,bailejo01,8.4,91.0,99.4,16.0,-14.0,2008-09,9.5,9.5,131.0,131.0,36.0,15.29,1,47.4,52.6
32,PHX,19.0,19.0,17.0,0.0,0.0,9.0,924.0,782.0,45.8,0.7,701.0,576.0,45.1,-0.1,78.0,8.0,9.0,3.0,2.0,0.0,76.0,,,boedkmi01,9.3,91.7,101.0,18.0,-6.0,2008-09,9.5,9.5,205.0,205.0,41.0,15.32,1,52.9,47.1
44,ATL,19.0,19.0,9.0,3.0,1.0,124.0,1392.0,1294.0,48.2,-1.8,1076.0,963.0,47.2,-3.0,81.0,52.0,6.0,0.0,3.0,1.0,196.0,,,bogosza01,7.4,91.0,98.5,61.0,-18.0,2009-10,6.5,6.5,339.0,339.0,41.0,21.25,1,55.5,44.5
129,NYR,19.0,19.0,10.0,18.0,0.0,92.0,1116.0,1178.0,51.4,1.6,845.0,878.0,51.0,1.3,80.0,43.0,5.0,1.0,4.0,0.0,162.0,,,delzomi01,8.0,89.5,97.5,32.0,-20.0,2009-10,11.1,11.1,208.0,208.0,24.0,18.58,1,40.5,59.5
154,LAK,19.0,19.0,8.0,13.0,0.0,114.0,1252.0,1251.0,50.0,-2.6,975.0,942.0,49.1,-3.8,81.0,75.0,3.0,1.0,3.0,0.0,90.0,,,doughdr01,7.5,90.9,98.4,56.0,-17.0,2008-09,4.8,4.8,295.0,295.0,36.0,23.5,1,47.8,52.2
179,CBJ,19.0,19.0,0.0,0.0,0.0,2.0,80.0,79.0,49.7,0.6,62.0,64.0,50.8,3.4,13.0,2.0,2.0,1.0,0.0,0.0,5.0,,,filatni01,4.3,95.6,99.8,8.0,0.0,2009-10,18.2,18.2,24.0,24.0,0.0,8.07,1,37.8,62.2
244,OTT,19.0,19.0,12.0,9.0,0.0,48.0,784.0,943.0,54.6,2.5,594.0,668.0,52.9,0.9,60.0,45.0,4.0,0.0,1.0,0.0,43.0,,,karlser01,7.6,90.1,97.6,24.0,-5.0,2009-10,4.5,4.5,250.0,250.0,31.0,20.07,1,39.8,60.2
