,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
7,DAL,22.0,22.0,29.0,8.0,0.0,52.0,980.0,1080.0,52.4,1.3,718.0,805.0,52.9,1.0,71.0,51.0,23.0,7.0,2.0,1.0,136.0,,,bennja01,10.7,90.7,101.0,55.0,15.0,2011-12,12.8,12.8,366.0,366.0,56.0,18.04,1,50.8,49.2
116,ANA,22.0,22.0,26.0,32.0,0.0,46.0,803.0,1069.0,57.1,4.3,651.0,850.0,56.6,4.3,77.0,67.0,19.0,2.0,4.0,1.0,126.0,,,getzlry01,11.8,92.4,104.0,94.0,32.0,2007-08,13.0,13.0,303.0,303.0,44.0,19.39,1,40.7,59.3
533,WSH,22.0,22.0,32.0,15.0,0.0,44.0,1159.0,1610.0,58.1,3.8,875.0,1187.0,57.6,2.6,82.0,93.0,43.0,11.0,22.0,0.0,220.0,,,ovechal01,11.2,90.7,101.0,40.0,28.0,2007-08,14.6,14.6,772.0,772.0,68.0,23.06,1,42.0,58.0
545,ANA,22.0,22.0,19.0,6.0,0.0,11.0,674.0,895.0,57.0,2.8,555.0,703.0,55.9,2.1,70.0,43.0,18.0,4.0,11.0,0.0,95.0,,,perryco01,11.6,90.8,102.0,108.0,12.0,2007-08,14.5,14.5,326.0,326.0,29.0,17.57,1,41.4,58.6
686,CHI,22.0,22.0,28.0,15.0,1.0,28.0,1002.0,1305.0,56.6,4.1,755.0,987.0,56.7,3.7,80.0,30.0,21.0,8.0,10.0,1.0,74.0,,,toewsjo01,10.0,91.6,101.0,26.0,25.0,2010-11,13.7,13.7,344.0,344.0,93.0,20.46,1,37.7,62.3
23,DAL,22.0,22.0,29.0,8.0,0.0,52.0,980.0,1080.0,52.4,1.3,718.0,805.0,52.9,1.0,71.0,51.0,23.0,7.0,2.0,1.0,136.0,,,bennja01,10.7,90.7,101.0,55.0,15.0,2011-12,12.8,12.8,366.0,366.0,56.0,18.04,1,50.8,49.2
599,CHI,22.0,22.0,28.0,15.0,1.0,28.0,1002.0,1305.0,56.6,4.1,755.0,987.0,56.7,3.7,80.0,30.0,21.0,8.0,10.0,1.0,74.0,,,toewsjo01,10.0,91.6,101.0,26.0,25.0,2010-11,13.7,13.7,344.0,344.0,93.0,20.46,1,37.7,62.3
21,BOS,22.0,22.0,3.0,1.0,0.0,5.0,97.0,109.0,52.9,6.0,76.0,88.0,53.7,6.9,10.0,3.0,1.0,0.0,2.0,0.0,6.0,,,bergepa01,8.1,93.9,101.0,2.0,2.0,2007-08,12.5,12.5,45.0,45.0,10.0,18.1,1,53.8,46.2
33,TOT,22.0,22.0,11.0,5.0,0.0,34.0,659.0,717.0,52.1,-1.1,464.0,544.0,54.0,-0.1,76.0,25.0,12.0,0.0,4.0,0.0,156.0,,,bernist01,9.1,89.5,98.6,64.0,-1.0,2007-08,12.2,12.2,207.0,207.0,17.0,13.2,1,44.7,55.3
106,MIN,22.0,22.0,16.0,11.0,1.0,73.0,1202.0,1223.0,50.4,1.7,942.0,925.0,49.5,1.3,82.0,65.0,7.0,4.0,8.0,0.0,99.0,,,burnsbr01,10.6,92.4,103.0,80.0,12.0,2007-08,9.5,9.5,341.0,341.0,61.0,23.06,1,57.0,43.0
118,CHI,22.0,22.0,7.0,10.0,0.0,30.0,596.0,706.0,54.2,2.6,473.0,562.0,54.3,1.2,67.0,28.0,12.0,4.0,7.0,0.0,137.0,,,byfugdu01,7.4,90.5,97.9,59.0,-7.0,2007-08,11.7,11.7,279.0,279.0,30.0,17.02,1,45.6,54.4
