,name,url,height,weight,shot,pos,draft
0,Rick DiPietro,/players/d/dipieri01.html,183,185,a,G,1st
1,Dany Heatley,/players/h/heatlda01.html,190,212,L,L,2nd
2,Marian Gaborik,/players/g/gaborma01.html,185,205,L,R,3rd
3,Rostislav Klesla,/players/k/kleslro01.html,190,223,L,D,4th
4,Raffi Torres,/players/t/torrera01.html,183,210,L,L,5th
5,Scott Hartnell,/players/h/hartnsc01.html,188,215,L,L,6th
6,Lars Jonsson,/players/j/jonssla01.html,185,205,L,D,7th
7,Nikita Alexeev,/players/a/alexeni01.html,196,227,L,R,8th
8,Brent Krahn,/players/k/krahnbr01.html,193,232,a,G,9th
9,Mikhail Yakubov,/players/y/yakubmi01.html,190,202,L,C,10t
10,Pavel Vorobiev,/players/v/vorobpa01.html,183,195,R,R,11t
11,Alexei Smirnov,/players/s/smirnal01.html,190,211,L,L,12t
12,Ron Hainsey,/players/h/hainsro01.html,190,210,L,D,13t
13,Vaclav Nedorost,/players/n/nedorva01.html,185,190,L,C,14t
14,Marcel Hossa,/players/h/hossama02.html,190,220,L,L,16t
15,Alexei Mikhnov,/players/m/mikhnal01.html,196,200,L,L,17t
16,Brooks Orpik,/players/o/orpikbr01.html,190,219,L,D,18t
17,Krys Kolanos,/players/k/kolankr01.html,190,206,R,C,19t
18,Alex Frolov,/players/f/froloal01.html,188,210,R,L,20t
19,Anton Volchenkov,/players/v/volchan01.html,185,220,L,D,21s
20,David Hale,/players/h/haleda01.html,185,215,L,D,22n
21,Nathan Smith,/players/s/smithna02.html,188,190,L,C,23r
22,Brad Boyes,/players/b/boyesbr01.html,183,199,R,R,24t
23,Steve Ott,/players/o/ottst01.html,183,193,L,C,25t
24,Brian Sutherby,/players/s/suthebr01.html,188,208,L,C,26t
25,Martin Samuelsson,/players/s/samuema01.html,188,210,L,R,27t
26,Justin Williams,/players/w/williju01.html,185,188,R,R,28t
27,Niklas Kronwall,/players/k/kronwni01.html,183,194,L,D,29t
28,Jeff Taffe,/players/t/taffeje01.html,190,207,L,C,30t
29,Tomas Kurka,/players/k/kurkato01.html,180,190,L,L,32n
30,Nick Schultz,/players/s/schulni01.html,185,203,L,D,33r
31,Brad Winchester,/players/w/winchbr01.html,196,230,L,L,35t
32,Andy Hilbert,/players/h/hilbean01.html,178,188,L,C,37t
33,Tomas Kopecky,/players/k/kopecto01.html,190,210,L,C,38t
34,Kurtis Foster,/players/f/fosteku01.html,196,225,R,D,40t
35,Matt Pettinger,/players/p/pettima01.html,185,205,L,L,43r
36,Ilya Bryzgalov,/players/b/bryzgil01.html,190,213,a,G,44t
37,Mathieu Chouinard,/players/c/chouima02.html,185,211,a,G,15t
38,Jarret Stoll,/players/s/stollja01.html,185,216,R,C,46t
39,Jared Aulin,/players/a/aulinja01.html,183,192,R,C,47t
40,Gerard Dicaire,/players/d/dicaige01.html,ml>,ml>,a,D,48t
41,Jonas Nordqvist,/players/n/nordqjo01.html,190,202,L,C,49t
42,Kris Vernarsky,/players/v/vernakr01.html,190,201,L,C,51s
43,Shane Endicott,/players/e/endicsh01.html,190,214,L,C,52n
44,Andreas Lilja,/players/l/liljaan01.html,190,220,L,D,54t
45,Antoine Vermette,/players/v/vermean01.html,185,198,L,C,55t
46,Alexander Suglobov,/players/s/sugloal01.html,183,200,L,R,56t
47,Ivan Huml,/players/h/humliv01.html,188,194,L,L,59t
48,Dan Ellis,/players/e/ellisda01.html,185,195,a,G,60t
49,Jakub Cutta,/players/c/cuttaja01.html,190,214,L,D,61s
50,Paul Martin,/players/m/martipa01.html,185,200,L,D,62n
51,Filip Novak,/players/n/novakfi01.html,185,198,L,D,64t
52,Dave Morisset,/players/m/morisda02.html,188,195,R,R,65t
53,Joel Lundqvist,/players/l/lundqjo01.html,185,194,L,C,68t
54,Mikael Tellqvist,/players/t/tellqmi01.html,180,185,a,G,70t
55,Sergei Zinovjev,/players/z/zinovse01.html,178,185,L,C,73r
56,Igor Radulov,/players/r/radulig01.html,185,186,L,L,74t
57,Justin Papineau,/players/p/papinju01.html,180,205,L,C,46t
58,Mike Rupp,/players/r/ruppmi01.html,196,243,L,C,9th
59,Jozef Balej,/players/b/balejjo01.html,185,195,R,R,78t
60,Ryan Bayda,/players/b/baydary01.html,180,185,L,L,80t
61,Alexander Kharitonov,/players/k/kharial01.html,175,169,R,L,81s
62,Peter Hamerlik,/players/h/hamerpe01.html,ml>,ml>,a,G,84t
63,Ramzi Abid,/players/a/abidra01.html,188,210,L,L,28t
64,Yanick Lehoux,/players/l/lehouya01.html,185,200,R,C,86t
65,Kurt Sauer,/players/s/sauerku01.html,193,222,L,D,88t
66,Libor Pivko,/players/p/pivkoli01.html,190,214,L,L,89t
67,Dominic Moore,/players/m/mooredo01.html,183,192,L,C,95t
68,Niclas Wallin,/players/w/wallini01.html,190,220,L,D,97t
69,Jonas Ronnqvist,/players/r/ronnqjo01.html,188,200,R,R,98t
70,Jon DiSalvatore,/players/d/disaljo01.html,185,200,R,R,104
71,Olli Malmivaara,/players/m/malmiol01.html,201,230,L,D,117
72,Lubomir Visnovsky,/players/v/visnolu01.html,178,197,L,D,118
73,Brian Fahey,/players/f/faheybr01.html,185,216,R,D,119
74,Michel Ouellet,/players/o/ouellmi01.html,183,200,R,R,124
75,Matt Hendricks,/players/h/hendrma01.html,183,207,L,C,131
76,Maxim Sushinsky,/players/s/sushima01.html,173,165,L,R,132
77,Petteri Nummelin,/players/n/nummepe01.html,178,188,L,D,133
78,Mike Danton,/players/d/dantomi01.html,175,190,R,C,135
79,Mike Stuart,/players/s/stuarmi01.html,183,200,R,D,137
80,David Koci,/players/k/kocida01.html,198,238,L,L,146
81,Paul Flache,/players/f/flachpa01.html,ml>,ml>,a,D,152
82,Matt Koalska,/players/k/koalsma01.html,185,196,L,C,154
83,Travis Moen,/players/m/moentr01.html,188,215,L,L,155
84,Greg Zanon,/players/z/zanongr01.html,180,201,L,D,156
85,John-Michael Liles,/players/l/lilesjo01.html,178,185,L,D,159
86,Nolan Schaefer,/players/s/schaeno01.html,188,200,a,G,166
87,Craig Weller,/players/w/wellecr01.html,193,220,R,R,167
88,Erik Reitz,/players/r/reitzer01.html,185,222,R,D,170
89,Roman Cechmanek,/players/c/cechmro01.html,190,187,a,G,171
90,Jarno Kultanen,/players/k/kultaja01.html,188,198,L,D,174
91,Jukka Hentunen,/players/h/hentuju01.html,178,194,R,R,176
92,Darcy Hordichuk,/players/h/hordida01.html,185,212,L,L,180
93,Josh Olson,/players/o/olsonjo01.html,196,225,L,L,190
94,Deryk Engelland,/players/e/engelde01.html,188,214,R,D,194
95,Ryan Caldwell,/players/c/caldwry01.html,188,174,L,D,202
96,Henrik Lundqvist,/players/l/lundqhe01.html,185,188,a,G,205
97,Brandon Reid,/players/r/reidbr01.html,173,185,R,C,208
98,Peter Bartos,/players/b/bartope01.html,183,185,R,L,214
99,Matthew Lombardi,/players/l/lombama01.html,180,195,L,C,215
100,Paul Gaustad,/players/g/gaustpa01.html,196,227,L,C,220
101,Antti Miettinen,/players/m/miettan01.html,183,190,R,R,224
102,Brian Eklund,/players/e/eklunbr01.html,196,205,a,G,226
103,Guillaume Lefebvre,/players/l/lefebgu01.html,185,202,L,L,227
104,Lubomir Sekeras,/players/s/sekerlu01.html,183,183,L,D,232
105,Janis Sprukts,/players/s/sprukja01.html,190,235,L,C,234
106,Zdenek Kutlak,/players/k/kutlazd01.html,190,221,L,D,237
107,Adam Berkhoel,/players/b/berkhad01.html,180,185,a,G,240
108,Chad Wiseman,/players/w/wisemch01.html,185,205,L,L,246
109,Darryl Bootland,/players/b/bootlda01.html,185,197,R,R,252
110,Eric Johansson,/players/j/johaner01.html,ml>,ml>,a,C,255
111,Sean McMorrow,/players/m/mcmorse01.html,193,235,R,L,258
112,Reinhard Divis,/players/d/divisre01.html,183,200,a,G,261
113,Thomas Ziegler,/players/z/zieglth01.html,180,174,L,R,263
114,Jean-Philippe Cote,/players/c/coteje01.html,190,213,L,D,265
115,Tomi Pettinen,/players/p/pettito01.html,190,220,L,D,267
116,Pavel Kolarik,/players/k/kolarpa01.html,185,207,L,D,268
117,Micki DuPont,/players/d/duponmi01.html,178,186,R,D,270
118,Reto Von Arx,/players/v/vonarre01.html,178,190,L,C,271
119,Roman Simicek,/players/s/simicro01.html,185,190,L,C,273
120,Andrej Nedorost,/players/n/nedoran01.html,185,199,L,L,286
121,Simon Gamache,/players/g/gamacsi01.html,178,186,L,C,290
