,name,url,height,weight,shot,pos,draft
0,Patrik Stefan,/players/s/stefapa01.html,188,210,L,C,1st
1,Daniel Sedin,/players/s/sedinda01.html,185,187,L,L,2nd
2,Henrik Sedin,/players/s/sedinhe01.html,188,188,L,C,3rd
3,Pavel Brendl,/players/b/brendpa01.html,185,204,R,R,4th
4,Tim Connolly,/players/c/connoti01.html,185,190,R,C,5th
5,Brian Finley,/players/f/finlebr01.html,190,205,a,G,6th
6,Kris Beech,/players/b/beechkr01.html,190,211,L,C,7th
7,Taylor Pyatt,/players/p/pyattta01.html,193,230,L,L,8th
8,Jamie Lundmark,/players/l/lundmja01.html,183,197,R,C,9th
9,Branislav Mezei,/players/m/mezeibr01.html,193,235,L,D,10t
10,Oleg Saprykin,/players/s/sapryol01.html,185,190,L,L,11t
11,Denis Shvidki,/players/s/shvidde01.html,188,210,L,R,12t
12,Jani Rita,/players/r/ritaja01.html,185,206,L,L,13t
13,Jeff Jillson,/players/j/jillsje01.html,190,215,R,D,14t
14,David Tanabe,/players/t/tanabda01.html,185,212,R,D,16t
15,Barret Jackman,/players/j/jackmba01.html,183,203,L,D,17t
16,Konstantin Koltsov,/players/k/koltsko01.html,183,206,L,R,18t
17,Kirill Safronov,/players/s/safroki01.html,188,215,L,D,19t
18,Barrett Heisten,/players/h/heistba01.html,185,200,L,L,20t
19,Nick Boynton,/players/b/boyntni01.html,185,218,R,D,9th
20,Maxime Ouellet,/players/o/ouellma01.html,188,195,a,G,22n
21,Steve McCarthy,/players/m/mccarst01.html,185,210,L,D,23r
22,Mikhail Kuleshov,/players/k/kulesmi01.html,188,205,R,L,25t
23,Martin Havlat,/players/h/havlama01.html,188,210,L,R,26t
24,Kristian Kudroc,/players/k/kudrokr01.html,201,255,R,D,28t
25,Michal Sivek,/players/s/sivekmi01.html,190,213,L,C,29t
26,Luke Sellars,/players/s/sellalu01.html,185,210,L,D,30t
27,Charlie Stephens,/players/s/stephch01.html,190,220,R,C,31s
28,Michael Ryan,/players/r/ryanmi01.html,185,188,L,C,32n
29,Jonas Andersson,/players/a/anderjo02.html,190,204,L,R,33r
30,Ross Lupaschuk,/players/l/lupasro01.html,185,218,R,D,34t
31,Milan Bartovic,/players/b/bartomi01.html,180,200,L,R,35t
32,Alexei Semenov,/players/s/semenal01.html,198,245,L,D,36t
33,Nolan Yonkman,/players/y/yonkmno01.html,198,253,a,D,37t
34,Alex Auld,/players/a/auldal01.html,193,215,a,G,40t
35,Tony Salmelainen,/players/s/salmeto01.html,175,185,R,L,41s
36,Mike Commodore,/players/c/commomi01.html,193,227,R,D,42n
