,name,url,height,weight,shot,pos,draft
0,Taylor Hall,/players/h/hallta02.html,185,201,L,L,1
1,Tyler Seguin,/players/s/seguity01.html,185,200,R,C,2
2,Erik Gudbranson,/players/g/gudbrer01.html,196,216,R,D,3
3,Ryan Johansen,/players/j/johanry01.html,190,218,R,C,4
4,Nino Niederreiter,/players/n/niedeni01.html,188,211,L,R,5
5,Brett Connolly,/players/c/connobr01.html,188,193,R,R,6
6,Jeff Skinner,/players/s/skinnje01.html,180,200,L,C,7
7,Alexander Burmistrov,/players/b/burmial01.html,185,180,L,C,8
8,Mikael Granlund,/players/g/granlmi01.html,178,184,L,C,9
9,Dylan McIlrath,/players/m/mcilrdy01.html,196,220,R,D,10
10,Jack Campbell,/players/c/campbja01.html,190,184,a,G,11
11,Cam Fowler,/players/f/fowleca01.html,185,207,L,D,12
12,Brandon Gormley,/players/g/gormlbr01.html,188,196,L,D,13
13,Jaden Schwartz,/players/s/schwaja01.html,178,190,L,C,14
14,Derek Forbort,/players/f/forbode01.html,193,212,L,D,15
15,Vladimir Tarasenko,/players/t/tarasvl01.html,183,219,L,R,16
16,Joey Hishon,/players/h/hishojo01.html,178,170,a,C,17
17,Austin Watson,/players/w/watsoau01.html,193,204,R,L,18
18,Nick Bjugstad,/players/b/bjugsni01.html,198,218,R,C,19
19,Beau Bennett,/players/b/bennebe01.html,188,195,R,R,20
20,Riley Sheahan,/players/s/sheahri01.html,190,222,L,C,21
21,Jarred Tinordi,/players/t/tinorja01.html,198,230,L,D,22
22,Mark Pysyk,/players/p/pysykma01.html,185,200,R,D,23
23,Kevin Hayes,/players/h/hayeske01.html,196,227,L,R,24
24,Quinton Howden,/players/h/howdequ01.html,188,189,L,C,25
25,Evgeny Kuznetsov,/players/k/kuzneev01.html,183,192,L,C,26
26,Mark Visentin,/players/v/visenma01.html,188,195,a,G,27
27,Charlie Coyle,/players/c/coylech01.html,190,218,R,C,28
28,Emerson Etem,/players/e/etemem01.html,185,212,L,R,29
29,Brock Nelson,/players/n/nelsobr01.html,190,206,L,C,30
30,Tyler Pitlick,/players/p/pitlity01.html,188,192,a,C,31
31,Jared Knight,/players/k/knighja01.html,180,203,a,C,32
32,John McFarland,/players/m/mcfarjo01.html,183,211,R,L,33
33,Dalton Smith,/players/s/smithda03.html,188,206,a,L,34
34,Ludvig Rensfeldt,/players/r/rensflu01.html,ml>,ml>,a,L,35
35,Alex Petrovic,/players/p/petroal01.html,193,206,R,D,36
36,Justin Faulk,/players/f/faulkju01.html,183,215,R,D,37
37,Jonathon Merrill,/players/m/merrijo01.html,190,205,L,D,38
38,Brett Bulmer,/players/b/bulmebr01.html,188,182,R,R,39
39,Christian Thomas,/players/t/thomach01.html,175,178,R,R,40
40,Patrik Nemeth,/players/n/nemetpa01.html,190,230,L,D,41
41,Devante Smith-Pelly,/players/s/smithde06.html,183,214,R,R,42
42,Brad Ross,/players/r/rossbr01.html,ml>,ml>,a,L,43
