,name,url,height,weight,shot,pos,draft
0,Sidney Crosby,/players/c/crosbsi01.html,180,200,L,C,1
1,Bobby Ryan,/players/r/ryanbo01.html,188,209,R,L,2
2,Jack Johnson,/players/j/johnsja02.html,185,230,L,D,3
3,Benoit Pouliot,/players/p/poulibe01.html,190,200,L,L,4
4,Carey Price,/players/p/priceca01.html,190,216,a,G,5
5,Gilbert Brule,/players/b/brulegi01.html,180,187,R,C,6
6,Jack Skille,/players/s/skillja01.html,185,216,R,R,7
7,Devin Setoguchi,/players/s/setogde01.html,183,205,R,R,8
8,Brian Lee,/players/l/leebr01.html,190,200,R,D,9
9,Luc Bourdon,/players/b/bourdlu01.html,190,211,L,D,10
10,Anze Kopitar,/players/k/kopitan01.html,190,224,L,C,11
11,Marc Staal,/players/s/staalma01.html,193,207,L,D,12
12,Marek Zagrapan,/players/z/zagrama01.html,ml>,ml>,a,C,13
13,Sasha Pokulok,/players/p/pokulsa01.html,ml>,ml>,a,D,14
14,Ryan O'Marra,/players/o/omarrry01.html,188,220,R,C,15
15,Alex Bourret,/players/b/bourral01.html,ml>,ml>,a,R,16
16,Martin Hanzal,/players/h/hanzama01.html,198,226,L,C,17
17,Ryan Parent,/players/p/parenry01.html,190,198,L,D,18
18,Jakub Kindl,/players/k/kindlja01.html,190,199,L,D,19
19,Kenndal McArdle,/players/m/mcardke01.html,180,190,L,L,20
20,Tuukka Rask,/players/r/rasktu01.html,190,176,a,G,21
21,Matt Lashoff,/players/l/lashoma01.html,188,204,L,D,22
22,Niclas Bergfors,/players/b/bergfni01.html,183,200,R,R,23
23,T.J. Oshie,/players/o/oshietj01.html,180,189,R,C,24
24,Andrew Cogliano,/players/c/coglian01.html,178,184,L,C,25
25,Matt Pelech,/players/p/pelecma01.html,193,230,R,R,26
26,Joe Finley,/players/f/finlejo01.html,203,249,a,D,27
27,Matt Niskanen,/players/n/niskama01.html,183,200,R,D,28
28,Steve Downie,/players/d/downist01.html,180,191,R,R,29
29,Vladimir Mihalik,/players/m/mihalvl01.html,203,246,L,D,30
30,Brendan Mikkelson,/players/m/mikkebr01.html,190,210,L,D,31
31,Tyler Plante,/players/p/plantty01.html,ml>,ml>,a,G,32
32,James Neal,/players/n/nealja01.html,188,221,L,L,33
33,Ryan Stoa,/players/s/stoary01.html,190,200,L,C,34
34,Marc-Edouard Vlasic,/players/v/vlasima01.html,185,205,L,D,35
35,Taylor Chorney,/players/c/chornta01.html,185,190,L,D,36
36,Scott Jackson,/players/j/jackssc01.html,190,219,L,D,37
37,Jeff Frazee,/players/f/frazeje01.html,183,195,a,G,38
38,Petr Kalus,/players/k/kaluspe01.html,185,201,L,L,39
39,Michael Sauer,/players/s/sauermi01.html,190,213,R,D,40
40,Ondrej Pavelec,/players/p/pavelon01.html,190,215,a,G,41
41,Justin Abdelkader,/players/a/abdelju01.html,188,218,L,L,42
42,Mike Blunden,/players/b/blundmi01.html,193,216,R,R,43
43,Paul Stastny,/players/s/stastpa01.html,183,205,L,C,44
44,Guillaume Latendresse,/players/l/latengu01.html,188,230,L,L,45
45,Dustin Kohn,/players/k/kohndu01.html,185,200,L,D,46
46,Tom Fritsche,/players/f/fritsto01.html,ml>,ml>,a,L,47
47,Philip Gogulla,/players/g/gogulph01.html,ml>,ml>,a,R,48
48,Chad Denny,/players/d/dennych01.html,ml>,ml>,a,D,49
49,Dany Roussin,/players/r/roussda01.html,ml>,ml>,a,C,223
50,Mason Raymond,/players/r/raymoma01.html,185,179,L,L,51
51,Chris Durand,/players/d/duranch01.html,ml>,ml>,a,C,52
52,Andrew Kozek,/players/k/kozekan01.html,ml>,ml>,a,L,53
53,Dan Bertram,/players/b/bertrda01.html,ml>,ml>,a,R,54
54,Adam McQuaid,/players/m/mcquaad01.html,193,212,R,D,55
55,Marc-Andre Cliche,/players/c/clichma01.html,183,202,R,C,56
56,Matt Kassian,/players/k/kassima01.html,193,232,a,L,57
57,Nate Hagemo,/players/h/hagemna01.html,ml>,ml>,a,D,58
