,name,url,height,weight,shot,pos,draft
0,Alexandre Daigle,/players/d/daiglal02.html,183,195,L,C,1st
1,Chris Pronger,/players/p/prongch01.html,198,220,a,D,2nd
2,Chris Gratton,/players/g/grattch01.html,193,226,L,C,3rd
3,Paul Kariya,/players/k/kariypa01.html,178,185,L,L,4th
4,Rob Niedermayer,/players/n/niedero01.html,188,203,L,C,5th
5,Viktor Kozlov,/players/k/kozlovi01.html,193,232,R,C,6th
6,Jason Arnott,/players/a/arnotja01.html,196,220,R,C,7th
7,Niklas Sundstrom,/players/s/sundsni01.html,183,191,L,R,8th
8,Todd Harvey,/players/h/harveto01.html,183,210,R,R,9th
9,Jocelyn Thibault,/players/t/thibajo01.html,180,169,a,G,10t
10,Brendan Witt,/players/w/wittbr01.html,188,223,L,D,11t
11,Kenny Jonsson,/players/j/jonsske01.html,190,217,L,D,12t
12,Denis Pederson,/players/p/pederde01.html,188,205,R,C,13t
13,Adam Deadmarsh,/players/d/deadmad01.html,183,205,R,R,14t
14,Mats Lindgren,/players/l/lindgma01.html,188,202,L,C,15t
15,Nick Stajduhar,/players/s/stajdni01.html,190,200,L,D,16t
16,Jason Allison,/players/a/allisja02.html,190,215,R,C,17t
17,Landon Wilson,/players/w/wilsola02.html,190,224,R,R,19t
18,Mike Wilson,/players/w/wilsomi02.html,198,229,L,D,20t
19,Saku Koivu,/players/k/koivusa01.html,178,182,L,C,21s
20,Anders Eriksson,/players/e/eriksan01.html,190,224,L,D,22n
21,Todd Bertuzzi,/players/b/bertuto01.html,190,229,L,R,23r
22,Kevyn Adams,/players/a/adamske01.html,185,200,R,C,25t
23,Stefan Bergkvist,/players/b/bergkst01.html,188,224,L,D,26t
24,Radim Bicanek,/players/b/bicanra01.html,185,209,L,D,27t
25,Shean Donovan,/players/d/donovsh01.html,190,218,R,R,28t
26,Tyler Moss,/players/m/mossty01.html,183,185,a,G,29t
27,Nikolai Tsulygin,/players/t/tsulyni01.html,190,210,R,D,30t
28,Scott Langkow,/players/l/langksc01.html,180,190,a,G,31s
29,Jay Pandolfo,/players/p/pandoja01.html,185,190,L,L,32n
30,David Vyborny,/players/v/vyborda01.html,178,181,L,R,33r
31,Lee Sorochan,/players/s/sorocle01.html,180,210,L,D,34t
32,Jamie Langenbrunner,/players/l/langeja01.html,185,205,R,R,35t
33,Janne Niinimaa,/players/n/niinija01.html,185,220,L,D,36t
34,Maxim Bets,/players/b/betsma01.html,185,185,L,L,37t
35,Denis Tsygurov,/players/t/tsygude01.html,190,198,L,D,38t
36,Brendan Morrison,/players/m/morribr01.html,180,185,L,C,39t
37,Bryan McCabe,/players/m/mccabbr01.html,188,220,L,D,40t
