,name,url,height,weight,shot,pos,draft
0,Ilya Kovalchuk,/players/k/kovalil01.html,190,230,R,L,1st
1,Jason Spezza,/players/s/spezzja01.html,190,220,R,C,2nd
2,Alexander Svitov,/players/s/svitoal01.html,190,228,L,C,3rd
3,Stephen Weiss,/players/w/weissst01.html,180,190,L,C,4th
4,Stanislav Chistov,/players/c/chistst01.html,178,200,R,L,5th
5,Mikko Koivu,/players/k/koivumi01.html,190,215,L,C,6th
6,Mike Komisarek,/players/k/komismi01.html,193,235,R,D,7th
7,Pascal Leclaire,/players/l/leclapa01.html,188,202,a,G,8th
8,Tuomo Ruutu,/players/r/ruututu01.html,183,200,L,C,9th
9,Dan Blackburn,/players/b/blackda01.html,183,180,a,G,10t
10,Fredrik Sjostrom,/players/s/sjostfr01.html,185,218,L,R,11t
11,Dan Hamhuis,/players/h/hamhuda01.html,185,209,L,D,12t
12,Ales Hemsky,/players/h/hemskal01.html,183,185,R,R,13t
13,Chuck Kobasew,/players/k/kobasch01.html,183,192,R,R,14t
14,Igor Knyazev,/players/k/knyazig01.html,ml>,ml>,a,D,15t
15,R.J. Umberger,/players/u/umberrj01.html,188,214,L,C,16t
16,Carlo Colaiacovo,/players/c/colaica01.html,185,202,L,D,17t
17,Jens Karlsson,/players/k/karlsje01.html,ml>,ml>,a,R,18t
18,Shaone Morrisonn,/players/m/morrish01.html,193,210,L,D,19t
19,Marcel Goc,/players/g/gocma01.html,185,197,L,C,20t
20,Colby Armstrong,/players/a/armstco01.html,188,195,R,R,21s
21,Jiri Novotny,/players/n/novotji01.html,190,204,R,C,22n
22,Tim Gleason,/players/g/gleasti01.html,183,217,L,D,23r
23,Lukas Krajicek,/players/k/krajilu01.html,190,205,L,D,24t
24,Alexander Perezhogin,/players/p/perezal01.html,183,211,L,L,25t
25,Jason Bacashihua,/players/b/bacasja01.html,180,177,a,G,26t
26,Jeff Woywitka,/players/w/woywije01.html,190,227,L,D,27t
27,Adrian Foster,/players/f/fostead01.html,ml>,ml>,a,C,28t
28,Adam Munro,/players/m/munroad01.html,188,219,a,G,29t
29,David Steckel,/players/s/steckda01.html,198,215,L,C,30t
30,Matthew Spiller,/players/s/spillma01.html,196,235,L,D,31s
31,Derek Roy,/players/r/royde01.html,175,184,L,C,32n
32,Timofei Shishkanov,/players/s/shishti01.html,185,209,R,L,33r
33,Greg Watson,/players/w/watsogr01.html,ml>,ml>,a,C,34t
34,Mark Popovic,/players/p/popovma01.html,185,205,L,D,35t
35,Kyle Wanvig,/players/w/wanviky01.html,188,210,R,R,89t
36,Duncan Milroy,/players/m/milrodu01.html,183,198,R,R,37t
37,Tim Jackman,/players/j/jackmti01.html,188,224,R,R,38t
38,Karel Pilar,/players/p/pilarka01.html,190,210,R,D,39t
39,Fedor Tyutin,/players/t/tyutife01.html,188,221,L,D,40t
40,Andrei Taratukhin,/players/t/taratan01.html,ml>,ml>,a,C,41s
41,Tomas Slovak,/players/s/slovato01.html,ml>,ml>,a,D,42n
42,Doug Lynch,/players/l/lynchdo01.html,190,214,L,D,43r
43,Igor Pohanka,/players/p/pohanig01.html,ml>,ml>,a,C,44t
44,Martin Podlesak,/players/p/podlema01.html,ml>,ml>,a,C,45t
45,Mike Zigomanis,/players/z/zigommi01.html,183,200,R,C,64t
46,Alexander Polushin,/players/p/polusal01.html,ml>,ml>,a,C,47t
47,Tuomas Pihlman,/players/p/pihlmtu01.html,188,215,L,L,48t
48,Mike Cammalleri,/players/c/cammami01.html,175,185,L,C,49t
49,Chris Thorburn,/players/t/thorbch01.html,190,235,R,R,50t
50,Jaroslav Bednar,/players/b/bednaja01.html,183,198,R,R,51s
51,Ed Caron,/players/c/caroned01.html,ml>,ml>,a,C,52n
52,Kiel McLeod,/players/m/mcleoki01.html,ml>,ml>,a,C,53r
53,Noah Welch,/players/w/welchno01.html,193,215,L,D,54t
54,Jason Pominville,/players/p/pominja01.html,183,184,R,R,55t
55,Andrei Medvedev,/players/m/medvean01.html,ml>,ml>,a,G,56t
56,Jay McClement,/players/m/mccleja01.html,185,205,L,C,57t
57,Nathan Paetsch,/players/p/paetsna01.html,183,195,L,D,58t
58,Matt Keith,/players/k/keithma01.html,188,200,R,R,59t
59,Victor Uchevatov,/players/u/uchevvi01.html,ml>,ml>,a,D,60t
60,Andreas Holmqvist,/players/h/holmqan01.html,ml>,ml>,a,D,61s
61,Igor Grigorenko,/players/g/grigoig01.html,ml>,ml>,a,R,62n
62,Peter Budaj,/players/b/budajpe01.html,185,192,a,G,63r
63,Tomas Malec,/players/m/malecto01.html,188,193,L,D,64t
64,Brendan Bell,/players/b/bellbr02.html,188,205,L,D,65t
65,Fedor Fedorov,/players/f/fedorfe01.html,193,230,L,C,182
66,Robin Leblanc,/players/l/leblaro01.html,ml>,ml>,a,R,67t
67,Grant McNeill,/players/m/mcneigr01.html,188,220,L,D,68t
68,Joel Stepp,/players/s/steppjo01.html,ml>,ml>,a,C,69t
69,Yared Hagos,/players/h/hagosya01.html,ml>,ml>,a,C,70t
70,Tomas Plekanec,/players/p/plekato01.html,188,213,L,C,71s
71,Brandon Nolan,/players/n/nolanbr01.html,178,185,L,C,72n
72,Craig Anderson,/players/a/andercr01.html,188,184,a,G,77t
73,Chris Heid,/players/h/heidch01.html,ml>,ml>,a,D,74t
74,Denis Platonov,/players/p/platode01.html,ml>,ml>,a,R,75t
75,Oliver Setzinger,/players/s/setziol01.html,ml>,ml>,a,C,76t
76,Darren McLachlan,/players/m/mclacda01.html,ml>,ml>,a,L,77t
77,Beat Forster,/players/f/forstbe01.html,ml>,ml>,a,D,78t
78,Garth Murray,/players/m/murraga01.html,188,210,L,C,79t
79,Michael Garnett,/players/g/garnemi01.html,185,205,a,G,80t
80,Neil Komadoski,/players/k/komadne02.html,ml>,ml>,a,D,81s
81,Jay Harrison,/players/h/harrija01.html,193,220,L,D,82n
82,Henrik Juntunen,/players/j/juntuhe01.html,ml>,ml>,a,R,83r
83,Kenny Smith,/players/s/smithke02.html,ml>,ml>,a,D,84t
84,Aaron Johnson,/players/j/johnsaa01.html,185,204,L,D,85t
85,Drew Fata,/players/f/fatadr01.html,185,220,L,D,86t
86,Per Mars,/players/m/marspe01.html,ml>,ml>,a,C,87t
87,Nicolas Corbeil,/players/c/corbeni01.html,ml>,ml>,a,C,88t
88,Tuomas Nissinen,/players/n/nissitu01.html,ml>,ml>,a,G,89t
89,Owen Fussey,/players/f/fusseow01.html,183,195,L,R,90t
90,Kevin Estrada,/players/e/estrake01.html,ml>,ml>,a,R,91s
91,Anthony Aquino,/players/a/aquinan01.html,ml>,ml>,a,R,92n
92,Stephane Veilleux,/players/v/veillst01.html,185,200,L,L,93r
93,Evgeny Artyukhin,/players/a/artyuev01.html,193,255,L,R,94t
94,Patrick Sharp,/players/s/sharppa01.html,185,195,R,L,95t
95,Alexandre Rouleau,/players/r/rouleal01.html,ml>,ml>,a,D,96t
96,Danny Bois,/players/b/boisda01.html,183,196,R,R,97t
97,Jordin Tootoo,/players/t/tootojo01.html,175,195,R,R,98t
98,Ray Emery,/players/e/emeryra01.html,188,196,a,G,99t
99,Brian Sipotz,/players/s/sipotbr01.html,ml>,ml>,a,D,100
100,Cory Stillman,/players/s/stillco02.html,ml>,ml>,a,C,101
101,Timo Parssinen,/players/p/parssti01.html,178,185,L,L,102
102,Tony Virta,/players/v/virtato01.html,178,196,L,R,103
103,Brent MacLellan,/players/m/maclebr03.html,ml>,ml>,a,D,104
104,Vladimir Korsunov,/players/k/korsuvl01.html,ml>,ml>,a,D,105
105,Christian Ehrhoff,/players/e/ehrhoch01.html,188,201,L,D,106
106,Dimitri Patzold,/players/p/patzodi01.html,183,195,a,G,107
107,Tomi Maki,/players/m/makito01.html,180,193,L,R,108
108,Martti Jarventie,/players/j/jarvema01.html,180,196,L,D,109
109,Rob Zepp,/players/z/zeppro01.html,185,194,a,G,99t
110,Matti Kaltiainen,/players/k/kaltima01.html,ml>,ml>,a,G,111
111,Milan Gajic,/players/g/gajicmi01.html,ml>,ml>,a,C,112
112,Bryce Lampman,/players/l/lampmbr01.html,185,205,L,D,113
113,Evgeny Gladskikh,/players/g/gladsev01.html,ml>,ml>,a,R,114
114,Vladimir Gusev,/players/g/gusevvl01.html,ml>,ml>,a,D,115
115,Richard Petiot,/players/p/petiori01.html,190,215,L,D,116
116,Mike Woodford,/players/w/woodfmi01.html,ml>,ml>,a,R,117
117,Brandon Rogers,/players/r/rogerbr01.html,ml>,ml>,a,D,118
118,Alexei Zotkin,/players/z/zotkial01.html,ml>,ml>,a,L,119
119,Tomas Surovy,/players/s/surovto01.html,185,205,L,C,120
120,Drew MacIntyre,/players/m/macindr01.html,185,190,a,G,121
121,Igor Valeev,/players/v/valeeig01.html,ml>,ml>,a,R,122
122,Aaron Lobb,/players/l/lobbaa01.html,ml>,ml>,a,R,123
123,Yegor Shastin,/players/s/shastye01.html,ml>,ml>,a,L,124
124,Jeff Lucky,/players/l/luckyje01.html,ml>,ml>,a,R,125
125,Daniel Volrab,/players/v/volrada01.html,ml>,ml>,a,C,126
126,Christoph Schubert,/players/s/schubch01.html,190,230,L,D,127
127,Andrei Posnov,/players/p/posnoan01.html,ml>,ml>,a,R,128
128,Miroslav Blatak,/players/b/blatami01.html,ml>,ml>,a,D,129
129,Colt King,/players/k/kingco01.html,ml>,ml>,a,L,130
130,Ben Eaves,/players/e/eavesbe01.html,ml>,ml>,a,C,131
